seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,KPCQUEL2,CodeIPPrompt: intellectual property infringement assessment of code language models,2023,conferencePaper,"Recent advances in large language models (LMs) have facilitated their ability to synthesize programming code. However, they have also raised concerns about intellectual property (IP) rights violations. Despite the significance of this issue, it has been relatively less explored. In this paper, we aim to bridge the gap by presenting CodeIPPrompt, a platform for automatic evaluation of the extent to which code language models may reproduce licensed programs. It comprises two key components: prompts constructed from a licensed code database to elicit LMs to generate IP-violating code, and a measurement tool to evaluate the extent of IP violation of code LMs. We conducted an extensive evaluation of existing open-source code LMs and commercial products and revealed the prevalence of IP violations in all these models. We further identified that the root cause is the substantial proportion of training corpus subject to restrictive licenses, resulting from both intentional inclusion and inconsistent license practice in the real world. To address this issue, we also explored potential mitigation strategies, including fine-tuning and dynamic token filtering. Our study provides a testbed for evaluating the IP violation issues of the existing code generation platforms and stresses the need for a better mitigation strategy.",,,,
2,DYKE748V,The role of firm AI capabilities in generative AI-pair coding,2024,journalArticle,"Generative Artificial Intelligence (genAI) is the latest evidence of the transformative value of AI in organisations. One promising avenue is in software engineering, where genAI can contribute to coding by pairing with developers. Based on a sample of global companies, two key findings emerge from an analysis of the productivity impact of genAI pair coding. Coding quality is negatively correlated with productivity throughput gains, while quality-adjusted productivity gains depend on the extent to which firms have deployed AI capabilities in the form of data, skills upgrading and AI governance. As observed with other digital technologies, the success of using genAI is closely linked to complementary technical skills and organisational resources. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",,,,
3,EZ7SAJ2A,Enterprise AI adoption decisioning,2026,journalArticle,"Enterprise AI adoption is not a technology decision, it is an operating model transformation. / This paper presents a structured executive framework for navigating the full spectrum of Enterprise AI adoption, from traditional machine learning through / Artificial Intelligence, Enterprise AI, AI adoption, agentic systems, AI maturity model, AI governance, large language models, copilots, autonomous agents / , AI risk management, organizational transformation, AI operating model, prompt injection, vendor lock-in, AI cost model, Executive decision framework,",,,,
4,Z4SZM266,The AI-driven vendor: impact of AI on offshore software outsourcing,2026,conferencePaper,"The paper examines the transformative impact of artificial intelligence (AI) on offshore software outsourcing, with a focus on how AI-driven tools like GitHub Copilot and ChatGPT are reshaping development practices and vendor dynamics. These tools automate routine coding tasks, improve code quality, and accelerate development timelines, creating new value propositions for offshore vendors. This paper argues that the shift to AI demands a redefinition of vendor roles, emphasizing adaptability, knowledge integration, and higher-value contributions beyond traditional coding. Offshore vendors should now move up the value chain and embrace innovation, design, and consultancy roles to remain competitive. In combining theoretical insights with case-based observations, this paper proposes a future framework for AI-integrated outsourcing ecosystems. This framework addresses key challenges such as talent reskilling, collaboration models, and governance structures. Ultimately, the paper highlights that while AI presents efficiency gains, it also compels offshore vendors to evolve strategically and organizationally to sustain their relevance in an AI-dominated software industry.",,,,
5,3EQ6PLAW,Comparing socio-technical design principles with guidelines for human-centered AI,2024,conferencePaper,"Human-centered AI (HCAI) refers to guidelines or principles that aim on ethically oriented design of systems. We compare HCAI-guidelines with principles of socio-technical systems that emerged in the context of conventional information technology. The comparison leads to a revision of socio-technical heuristics by including aspects of AI-usage. The comparison reveals that continuous evolution is a basic characteristic of socio-technical systems, and that human oversight or interventions and the subsequent appropriation of AI-systems lead to continuous adaptation and re-design of the systems, if autonomy is collaboratively exercised. From a socio-technical point of view, the crucial requirement of transparency has not only to be fulfilled with technical features, but also by contributions of the whole system including human actors. It will be promising for using AI, if not only technical features, but organizational and social practices are socio-technically designed in a way that compensates shortcomings of AI.",,,,
6,M26XRCRE,"Sycophancy, automation bias, and compressed diffusion: an unaddressed convergence in AI governance",2026,journalArticle,"in use -- including the NIST AI RMF, ISO/IEC 42001, COSO ERM, and the EU AI Act -- provides organizational structures that could accommodate individual / Four governance mechanisms are proposed: AI tool literacy as a compliance competency, constraints engineering, evaluation-first training, and retrospective",,,,
7,5IZXVQS6,Biased AI improves human decision-making but reduces trust,2025,preprint,"Current AI systems minimize risk by enforcing ideological neutrality, yet this may introduce automation bias by suppressing cognitive engagement in human decision-making. We conducted randomized trials with 2,500 participants to test whether culturally biased AI enhances human decision-making. Participants interacted with politically diverse GPT-4o variants on information evaluation tasks. Partisan AI assistants enhanced human performance, increased engagement, and reduced evaluative bias compared to non-biased counterparts, with amplified benefits when participants encountered opposing views. These gains carried a trust penalty: participants underappreciated biased AI and overcredited neutral systems. Exposing participants to two AIs whose biases flanked human perspectives closed the perception-performance gap. These findings complicate conventional wisdom about AI neutrality, suggesting that strategic integration of diverse cultural biases may foster improved and resilient human decision-making.",,,,
8,ZG9B7UN2,Impact of LLMs on team collaboration in software development,2025,preprint,"Large Language Models (LLMs) are increasingly being integrated into software development processes, with the potential to transform team workflows and productivity. This paper investigates how LLMs affect team collaboration throughout the Software Development Life Cycle (SDLC). We reframe and update a prior study with recent developments as of 2025, incorporating new literature and case studies. We outline the problem of collaboration hurdles in SDLC and explore how LLMs can enhance productivity, communication, and decision-making in a team context. Through literature review, industry examples, a team survey, and two case studies, we assess the impact of LLM-assisted tools (such as code generation assistants and AI-powered project management agents) on collaborative software engineering practices. Our findings indicate that LLMs can significantly improve efficiency (by automating repetitive tasks and documentation), enhance communication clarity, and aid cross-functional collaboration, while also introducing new challenges like model limitations and privacy concerns. We discuss these benefits and challenges, present research questions guiding the investigation, evaluate threats to validity, and suggest future research directions including domain-specific model customization, improved integration into development tools, and robust strategies for ensuring trust and security.",,,,
9,9CP6AU7D,Clawed and dangerous: can we trust open agentic systems?,2026,preprint,"Open agentic systems combine LLM-based planning with external capabilities, persistent memory, and privileged execution. They are used in coding assistants, browser copilots, and enterprise automation. OpenClaw is a visible instance of this broader class. Without much attention yet, their security challenge is fundamentally different from that of traditional software that relies on predictable execution and well-defined control flow. In open agentic systems, everything is ''probabilistic'': plans are generated at runtime, key decisions may be shaped by untrusted natural-language inputs and tool outputs, execution unfolds in uncertain environments, and actions are taken under authority delegated by human users. The central challenge is therefore not merely robustness against individual attacks, but the governance of agentic behavior under persistent uncertainty. This paper systematizes the area through a software engineering lens. We introduce a six-dimensional analytical taxonomy and synthesize 50 papers spanning attacks, benchmarks, defenses, audits, and adjacent engineering foundations. From this synthesis, we derive a reference doctrine for secure-by-construction agent platforms, together with an evaluation scorecard for assessing platform security posture. Our review shows that the literature is relatively mature in attack characterization and benchmark construction, but remains weak in deployment controls, operational governance, persistent-memory integrity, and capability revocation. These gaps define a concrete engineering agenda for building agent ecosystems that are governable, auditable, and resilient under compromise.",,,,
10,PIYZKWWA,Randomized controlled trials for Microsoft copilot for security,2023,journalArticle,"We found that Copilot for Security delivered large improvements on both speed and accuracy. / Copilot brought improvements for both novices and security professionals. / security, AI, RCT",,,,
