key,title,role,canonical_key,current_tags,tags_to_add,has_human_decision,flagged
P868GNU7,On the use of agentic coding: an empirical study of pull requests on GitHub,CANONICAL,P868GNU7,Agentic Coding|Coding Agent|Large Language Models|Model Context Protocol|Pull Requests|s1:human:keep|source:acm|source:arxiv,,yes,
ZM9G7Z4C,On the use of agentic coding: an empirical study of pull requests on GitHub,SUPERSEDED,P868GNU7,source:acm,superseded-by:P868GNU7,,
YKLEPERJ,On the use of agentic coding: an empirical study of pull requests on GitHub,SUPERSEDED,P868GNU7,source:acm,superseded-by:P868GNU7,,
6WUJUVEI,On the use of agentic coding: an empirical study of pull requests on GitHub,SUPERSEDED,P868GNU7,source:acm,superseded-by:P868GNU7,,
JRQ6GRWE,On the use of agentic coding: an empirical study of pull requests on GitHub,SUPERSEDED,P868GNU7,arxiv|cs.SE,superseded-by:P868GNU7,,
UYXDHXD6,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,CANONICAL,UYXDHXD6,Agency|Agentic AI|Code Review|Experience Levels|Human-AI Interaction|Mentorship|Professional Growth|Software Engineering|Tacit Knowledge|s1:human:discard|source:acm|source:arxiv,,yes,
7B57A9X6,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,SUPERSEDED,UYXDHXD6,source:acm,superseded-by:UYXDHXD6,,
75NTPCPP,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,SUPERSEDED,UYXDHXD6,source:acm,superseded-by:UYXDHXD6,,
SF7I2JD4,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,SUPERSEDED,UYXDHXD6,source:acm,superseded-by:UYXDHXD6,,
DJP2Q7FJ,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,SUPERSEDED,UYXDHXD6,arxiv|cs.HC,superseded-by:UYXDHXD6,,
5YILFYU7,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark qual",CANONICAL,5YILFYU7,Automated clustering|Benchmarking|Codegeneration|Codes (symbols)|Current practices|Dimensionality reduction|Dual approach|Embeddings|Errors|Reproducibilities|Search tools|Semantic search|Semantics|Software engineering|Unified approach|User study|s1:human:discard|source:arxiv,,yes,
TD6DKXGS,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark qual",SUPERSEDED,5YILFYU7,Automated clustering|Benchmarking|Codegeneration|Codes (symbols)|Current practices|Dimensionality reduction|Dual approach|Embeddings|Errors|Reproducibilities|Search tools|Semantic search|Semantics|Software engineering|Unified approach|User study|source:scopus,superseded-by:5YILFYU7,,
EYB6CT6R,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark qual",SUPERSEDED,5YILFYU7,Benchmark testing|Biological system modeling|Codes|Maintenance|Maintenance engineering|Navigation|Reproducibility of results|Reviews|Software engineering|Taxonomy|s1:human:discard|source:ieee,review:superseded-has-decision|superseded-by:5YILFYU7,yes,yes
NBI28MX6,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark qual",SUPERSEDED,5YILFYU7,source:arxiv,superseded-by:5YILFYU7,,
8CA6RHDS,"Can GenAI move from individual use to collaborative work? Experiences, challenges, and opportunities of coordinating Gen",CANONICAL,8CA6RHDS,s1:human:keep|source:wos,,yes,
X5DY3J3G,"Can GenAI move from individual use to collaborative work? Experiences, challenges, and opportunities of coordinating Gen",SUPERSEDED,8CA6RHDS,GenAI|collaborative work|human-AI collaboration|journalism|organizations|teamwork,superseded-by:8CA6RHDS,,
H4YI7TYL,"Can GenAI move from individual use to collaborative work? Experiences, challenges, and opportunities of coordinating Gen",SUPERSEDED,8CA6RHDS,GenAI|collaborative work|human-AI collaboration|journalism|organizations|teamwork,superseded-by:8CA6RHDS,,
DWRKQG4L,"Can GenAI move from individual use to collaborative work? Experiences, challenges, and opportunities of coordinating Gen",SUPERSEDED,8CA6RHDS,GenAI|collaborative work|human-AI collaboration|journalism|organizations|teamwork,superseded-by:8CA6RHDS,,
HJGKKX9S,Human-In-the-loop software development agents: challenges and future directions,CANONICAL,HJGKKX9S,Atlassian|Code quality|Codegeneration|Driven system|Hulum|Human-in-the-loop|Information systems|Intelligent agents|Jira|Llm|Multi agent|Multi agent systems|Software design|Software quality|Software testing|Work items|atlassian|code-generation|hula|human-in-the-loop|jira|llm|source:arxiv,,,
PYIYRM5L,Human-In-the-loop software development agents: challenges and future directions,SUPERSEDED,HJGKKX9S,Atlassian|Code quality|Codegeneration|Driven system|Hulum|Human-in-the-loop|Information systems|Intelligent agents|Jira|Llm|Multi agent|Multi agent systems|Software design|Software quality|Software testing|Work items|atlassian|code-generation|hula|human-in-the-loop|jira|llm|source:scopus,superseded-by:HJGKKX9S,,
B7APR28B,Human-In-the-loop software development agents: challenges and future directions,SUPERSEDED,HJGKKX9S,arxiv|cs.SE|source:arxiv,superseded-by:HJGKKX9S,,
