item_key,bin,centrality,reason_code,rationale,title
24ZVGAAA,context,58,,Empirical public-sector AI risk-management study with a concrete Three Lines of Defense oversight model that is transferable but not code-specific.,Embedding ethical AI risks in public sector risk management practice an explorative analysis using the three lines of defense risk management model
6EKVYBCD,context,45,,"Provides a managerial governance framework for responsible GenAI-enabled conversational agents, adjacent to AI oversight but outside AI-generated code.",Generative AI in responsible conversational agent integration: guidelines for service managers
ZVDJ5J88,context,43,,"Broad responsible-AI adoption framework includes human oversight and process-level governance, but remains general rather than software-code focused.",Towards a responsible AI adoption/adaptation (RAA) ecosystem: vision and model to keep socio-technological balance
JZ64WDLQ,context,35,,"Thin abstract suggests an organizational human-agent governance model, but evidence and operational detail are unclear.",The fluid triad: a decision-first organizational model for human-agent teams
Q8F6WBGU,discard,20,wrong-type,The abstract is a brief position on AI audit washing without an evident empirical base or operational oversight mechanism.,AI audit washing and accountability
WXBMMVX9,context,40,,"Thin abstract points to a behavioral human-in-the-loop governance framework for agentic AI, transferable but domain-specific to private equity.",Agentic AI governance in private equity: a behavioral framework for autonomous decision systems
52PTUFU8,core,74,,"Multivocal review directly addresses GenAI-era software artifacts, governance, maintainability, and scalable technical-debt management in software engineering.",The evolution of technical debt from DevOps to generative AI: a multivocal literature review
ZKKBHG9W,context,59,,"Offers an operational transparency assessment framework for AI development governance, transferable though not specific to generated code.",Evaluating transparency in artificial intelligence systems with the Z-inspection® process for trustworthy assessment
PH6HQ5XG,discard,22,wrong-level,Corporate-law accountability for algorithmic misconduct is too broad and lacks a clear operational link to software-engineering oversight.,Algorithms acting badly: a solution from corporate law
MFSG8J76,context,40,,"ISO/IEC 42001 is a relevant AI management-system governance standard, but the missing abstract leaves code-specific relevance uncertain.",ISO/IEC 42001:2023 — Artificial Intelligence Management System
LBACUG6X,context,38,,Agentic-AI liability analysis is relevant to governance accountability but remains legal and non-code-specific with a thin abstract.,Inherent and emergent liability issues in LLM-based agentic systems: a principal-agent perspective
BC33U2MU,context,46,,"AI audit-trail accountability is transferable to oversight governance, but the thin abstract does not establish a software-code pipeline focus.",AI audit trails and the architecture of accountability
5257HHP3,context,39,,"Trust-and-safety auditing practices may transfer to AI oversight, but the item appears broad and only lightly operationalized.","Intersections between trust, safety, and responsible AI how trust & safety and AI auditing can learn and evolve together"
4CR8GVNV,context,50,,"Provides human-in-the-loop calibration strategies and metrics for persistent agents, relevant to oversight triggers but not code-specific.",Recalibrate: metacognitive monitoring for persistent AI agents
2Z4PZABF,core,88,,Directly addresses governance gaps for AI-driven code transformation using regulatory and SDLC control frameworks.,Regulatory gap: why model risk management is structurally ill-suited to govern AI-driven code transformation
NKY6T5G9,context,44,,"Enterprise AI input-quality governance and liability are relevant to oversight and technical debt, but not focused on generated code.",Negligent poisoned environments: how cumulative input negligence undermines enterprise AI
BISE8375,core,86,,"Industrial case study of AI-generated regression-test scripts includes pipeline integration, human review, throughput, governance, and quality limits.",Human-AI collaboration for scaling agile regression testing: an agentic-AI teammate from manual to automated testing
MVWFAXDW,core,76,,Directly targets AI code-generation security risk with an evaluated prompt-risk detection and rectification mechanism.,Securing AI code generation - a prompt rectification approach for mitigating cyber risks
L28YKLVD,context,56,,Artifact authenticity governance offers technical compliance-record verification mechanisms transferable to AI-code auditability.,Artifact authenticity governance
QMKQC7SC,context,62,,"Large-scale delegated-work benchmark, including coding, provides evidence on silent corruption risks relevant to oversight load but not a governance framework.",LLMs corrupt your documents when you delegate
VEEEW3K9,core,82,,"Presents and evaluates a GenAI-assisted secure SDLC framework spanning code generation, vulnerability detection, testing, and quality metrics.",Generative AI-assisted framework for secure and autonomous software development lifecycle optimization
CAXNTRJF,core,78,,Describes automated code governance and compliance analysis integrated into the software lifecycle to reduce audit burden and human error.,Machine learning solutions to automated governance and code analysis to compliance
C2K75UGE,context,64,,"Empirical case study explains automation reliance, complacency, and skill erosion mechanisms highly transferable to AI-code oversight capacity.",The vicious circles of skill erosion: a case study of cognitive automation
8PPIW9Q5,core,72,,Software-engineering SLR proposes human-in-the-loop prompt-engineering and version-control mechanisms relevant to governing AI-assisted code work.,Unlocking the potential of the prompt engineering paradigm in software engineering: a systematic literature review
TLJPGLK9,context,47,,"Workshop abstract centers on operationalizing human oversight of AI systems, but it is broad and agenda-setting rather than code-specific evidence.",AI CHAOS! 2nd workshop on the challenges for human oversight of AI systems
