item_key,title,abstract,authors,year,item_type,sources,source_queue
TEQBXMCZ,VWAB: vibe write app build a framework for domain-expert-driven application development in the age of generative AI,"Distinct from Vibe Coding, which describes LLM-assisted acceleration of developer workflows, VWAB addresses the emergent phenomenon wherein practitioners / large language models, human-AI collaboration, low-code development, domain expertise, Builder Era, Vibe Coding, enterprise AI, knowledge worker productivity",Raghu Kundurthi,2026,journalArticle,ssrn,keep_queue
AH5N3JDT,"Short-term gain, long-term fragility: AI labor substitution and the erosion of sustainable capability","Empirical studies of AI-assisted coding show that generated output still requires substantial human verification and remains uneven in correctness, maintainability",,2026,journalArticle,ssrn,keep_queue
J7D3EN5T,ThreatPrism: multi-framework threat intelligence for AI-assisted software development via model context protocol,"The rapid adoption of AI coding assistants has introduced ""vibe coding""-a development paradigm where developers describe intent in natural language and / threat modeling, security frameworks, model context protocol, AI-assisted development, STRIDE, DREAD, LINDDUN, PASTA, vibe coding",Manam Bharadwaj,2026,journalArticle,ssrn,keep_queue
RXGCTGDW,Vibe coding authorship,"""Vibe coding""-or a person's use of natural-language prompts to an AI generator for it to write the actual lines of computer code-has led to a copyright / Copyright Office, both the availability and the scope of copyright for computer programs have dramatically narrowed with the greater adoption of vibe coding",Edward Lee,2026,journalArticle,ssrn,keep_queue
UATJUWX5,"From coding to directing: vibe coding, machine creativity, and the reconfiguration of authorship and creative labour in software as a creative industry","Generative artificial intelligence (GenAI) is increasingly embedded in software development through practices commonly referred to as vibe coding, in which / This paper presents a conceptual framework that theorizes vibe coding as AI-mediated creative direction, a mode of innovation in which creative / This paper presents a conceptual framework that theorizes vibe coding as AI-mediated creative direction, a mode of innovation in which creative / Generative Artificial Intelligence, Vibe Coding, AI-Mediated Creative Direction, Machine Creativity, Creative Agency, Software Development as Creative",Krishna Reddy Kovvuri; Sushil Kumar,2026,journalArticle,ssrn,keep_queue
YFGUL6E5,From syntax to semantics: the rise of the taste-based economy and viral creation loops in intent-driven software generation,"The emergence of ""Vibe Coding""-a paradigm where developers guide AI systems through natural language intent rather than explicit syntax-represents a fundamental / Vibe Coding, Taste-based Economy, Generative AI, Go-to-Market Strategy, Viral Creation Loops, SaaS Growth",Jiekun Liu,2026,journalArticle,ssrn,keep_queue
WUIBEP42,The evolution of programming,"Special attention is given to recent advances in large language models and AI-assisted coding, which enable users to generate software through natural / language descriptions, a practice often referred to as ""vibe coding."" / Programming, Coding, Vibe Coding, AI",Kelvin Leong; Anna Sung,2026,journalArticle,ssrn,keep_queue
ZZLFGHQX,AI-assisted coding (vibe coding): the paradox of productivity as aesthetic homogenization,,Ramon Christian Bustamante,2026,journalArticle,ssrn,keep_queue
UAIILG4K,AI-native software engineering and vibe coding: a strategic technical survey for modern engineering leadership(2025-2035),"This academic survey synthesizes the emerging discipline of AI-native software engineering, focusing on the evolution of vibe coding, agentic programming / AI-native, AI-native engineering, vibe coding, multi-agent systems, software engineering 3.0, trust-native governance, Agentic DevSecOps, autonomous systems",Freeman Jackson,2025,journalArticle,ssrn,keep_queue
W9NG99CY,Software development and modeling in the age of artificial intelligence manifesto,"At the same time, approaches that align with the intellectual tradition of agile, including code-first methods, rapid prototyping, and vibe coding, have / Artificial intelligence, software development, agile development, conceptual modeling, SAFE-AI, MADE with AI, model-driven development, vibe coding",Roman Lukyanenko; Binny M. Samuel; David P. Tegarden; Kai R. Larsen; Araz Jabbari,2025,journalArticle,ssrn,keep_queue
FYU7H5WR,Beyond productivity: evaluating the hidden costs of generative AI in software development,"AI-assisted programming tools are increasingly adopted to enhance developer productivity by automating routine tasks and accelerating software development / Drawing on interviews with software engineers and insights from the literature, we build a dynamic simulation model to examine the long-term impacts of AI-assisted / Human-AI Interaction, AI-Assisted Coding, Software Development, Technical Debt, System Atrophy, Dynamics, Software Supply Chains",Edward Anderson; Geoffrey Parker; Burcu Tan,2025,journalArticle,ssrn,keep_queue
A2WZES7C,AI agents and higher-order work,This paper studies the effects of agents on software development by analyzing the impacts of an AI-assisted programming platform.,Suproteem K. Sarkar,2025,journalArticle,ssrn,keep_queue
HCPRUGB6,AICa (AI cadence) and CodaAI: AI-first software development principles and methodology,The rapid rise of AI-assisted coding is transforming how software is built.,Prashant Preetam,2025,journalArticle,ssrn,keep_queue
HWNGLVXT,Large language model developments,"This also includes ""Vibe Coding"" [Kumar, 2025]. 5.",Ed Sharkey; Philip Treleaven,2025,journalArticle,ssrn,keep_queue
