item_key,bin,centrality,reason_code,rationale,in_human_50,title,authors,year,item_type,source,has_pdf,doi,arxiv_id,abstract
SWUDMFQ4,context,45,,"Survey/use-case study emphasizing GenAI tools work best under qualified-engineer supervision, descriptive but with a human-oversight finding.",no,An insight into the impact of generative artificial intelligence tools on software development practices,I. Urek; K. A. Maslać; A. Budin,2025,conferencePaper,ieee,no,10.1109/MIPRO65660.2025.11131852,,"Integration of Generative Artificial Intelligence (AI) tools into software engineering, especially for automated code generation, has started reshaping development practices and raising questions about the future of the profession itself. This paper presents the results of a research exploring the impact of AI on software engineering/development, focusing on aspects of automated code generation and human-AI collaboration. The use of Generative AI tools, in particular AI chatbots ChatGPT, Gemini and Bing (today Copilot), has been tested on use cases of varying levels of difficulty. The results demonstrate outstanding capabilities of the tested tools in streamlining tasks and providing assistance, but show that these tools remain most effective when integrated into a workflow under the supervision of qualified engineers/developers. The paper also presents the results of a survey conducted among software engineers/developers highly proficient in using AI. The survey indicates that most of the respondents believe that AI has a positive impact on the productivity of software engineers/developers, with more than half of respondents believing that AI will not replace software engineers/developers but is a tool that helps them be more productive. Survey respondents particularly emphasized the importance of ethics, privacy, and data security."
BPL78SWJ,discard,26,out-of-scope,Compliance bias-detection framework scoped to NYC hiring law with little transfer to AI-code oversight.,no,Deterministic bias detection for NYC local law 144: why reproducibility matters more than accuracy a technical framework for compliance-grade AI auditing,Subodh KC,2026,journalArticle,ssrn,no,,,"Algorithmic Accountability, Bias Detection, Deterministic AI, NYC Local Law 144, Employment Discrimination, Reproducibility, Compliance Architecture"
9D9QSWGZ,core,88,,"Empirical study of how humans actually review AI-generated PRs, directly probing whether oversight keeps pace with agentic volume.",no,These aren't the reviews you're looking for how humans review AI-generated pull requests,Duma; Wróblewski; Bobińska et al.,2026,preprint,arxiv,yes,,2605.02273,"We analyze code review interactions for AI-generated pull requests (PRs) on GitHub using the AIDev dataset and compare them to human-authored PRs within the same repositories. We find that most AI-generated PRs receive no review and, when reviewed, are largely dominated by AI agents rather than humans. Human-authored PRs are more likely to receive human-only review and to attract direct human feedback. In contrast, reviews of AI-generated PRs more often take the form of automation-mediated interaction, with human involvement frequently expressed through agent steering rather than standalone evaluation. These results indicate systematic differences in how review activity is structured in agentic workflows and raise challenges for interpreting review metrics as indicators of human oversight in large-scale mining studies."
8L2G3J4Q,context,50,,LLM-assisted triage of static-analysis findings is an LLM-as-judge oversight-scaling mechanism transferable to AI-code review.,yes,♪ with a little help from my (LLM) friends: enhancing static analysis with LLMs to detect software vulnerabilities,A. Munson; J. Gomez; Á. A. Cárdenas,2025,conferencePaper,ieee,no,10.1109/LLM4Code66737.2025.00008,,"This paper explores the integration of Large Language Models (LLMs) with static analysis tools, specifically Semgrep, to enhance vulnerability detection in Java applications. Through a series of experiments, we evaluate the performance of various LLMs in triaging security weaknesses identified by Semgrep. We also study how LLMs perform across different types of vulnerabilities and assess the impact of various prompt engineering strategies. Our results reveal that while some LLM models reduce the accuracy of baseline results with static analysis, they show a consistent improvement with each new model released. In particular, o1-mini significantly outperformed others in our experiments in terms of their accuracy and false positive reduction. Although LLMs might not be ready for prime time in vulnerability detection yet, this study highlights their growing potential to complement existing tools and paves the way for future research to further optimize LLM-based vulnerability detection systems."
P868GNU7,core,82,,Empirical study of 567 agentic PRs quantifying acceptance rates and where human oversight/refinement is required—directly on-core.,no,On the use of agentic coding: an empirical study of pull requests on GitHub,Watanabe; Li; Kashiwa et al.,2026,journalArticle,"acm,arxiv,wos",yes,10.1145/3798166,,"Large language models (LLMs) are increasingly being integrated into software development processes. The ability to generate code and submit pull requests with minimal human intervention, through the use of autonomous AI agents, is poised to become a standard practice. However, little is known about the practical usefulness of these pull requests and the extent to which their contributions are accepted in real-world projects.In this paper, we empirically study 567 GitHub pull requests (PRs) generated using Claude Code, an agentic coding tool, across 157 diverse open-source projects. Our analysis reveals that developers tend to rely on agents for tasks such as refactoring, documentation, and testing. The results indicate that 83.8% of these agent-assisted PRs are eventually accepted and merged by project maintainers, with 54.9% of the merged PRs being integrated without further modification. The remaining 45.1% require additional changes and benefit from human revisions, especially for bug fixes, documentation, and adherence to project-specific standards. These findings suggest that while agent-assisted PRs are largely acceptable, they still benefit from human oversight and refinement."
M964K4XX,context,38,,"Comparative analysis of major AI governance frameworks maps the policy landscape relevant to the RQ, though descriptive and non-code-specific.",no,"Comparative analysis of AI governance, assurance, and administrative oversight NIST AI RMF 1.0, ISO/IEC 42001, SOC 2, OMB memoranda M-24-10 and M-25-21, and U.S. copyright office guidance",Sung Woo Shon,2026,journalArticle,ssrn,no,,,NIST AI RMF 1.0 provides a flexible and voluntary structure for AI risk management. / A concise formulation is therefore possible: NIST AI RMF 1.0 provides a voluntary risk-management structure; ISO/IEC 42001
TNLQ857W,context,34,,"Concrete least-privilege authorization framework for agentic AI workflows, but it governs access/permissions rather than human oversight of code quality — transferable only at the edges.",no,Toward agentic IAM: a probabilistic authorization framework for least privilege AI workflows,Zouari,2025,conferencePaper,acm,yes,10.1145/3773276.3776564,3276.37765,"The rapid adoption of AI systems capable of autonomous code generation and infrastructure orchestration introduces new challenges for authorization. Traditional mechanisms such as Role-Based Access Control (RBAC), Attribute-Based Access Control (ABAC), OAuth 2.0 and OpenID Connect were designed for static or user-initiated interactions and thus fail to ensure both least privilege and operational continuity in self-adaptive, agentic environments. To address this gap, we propose an agent-native authorization model in which specialized IAM agents—Analyze, Impact, Minimize, Validate, and Reanalyze—jointly determine, verify, and reduce permissions through a sequential probabilistic process. The framework combines Bayesian belief updates, MDP optimization, and CVaR minimization to achieve least-privilege under uncertainty. Formal analysis and an AWS Lambda maintenance case study show sub-second decision latency and ≈ 40% privilege reduction without loss of functionality."
XQ2858YZ,discard,20,out-of-scope,2019 procurement/transparency of ML algorithms with no oversight-of-AI-code angle.,no,Algorithmic transparency and decision-making accountability: thoughts for buying machine learning algorithms,Jake Goldenfein,2019,journalArticle,ssrn,no,,,"There has been a great deal of research on how to achieve algorithmic accountability and transparency in automated decision-making systems - especially / algorithmic accountability, machine learning, procurement, automated decision-making"
VZ9H37V5,core,70,,Production experience report on vibe coding identifying non-delegation zones and a shift toward constraint specification and enforcement auditing.,no,Context before code: an experience report on vibe coding in practice,Shuvo; Islam; Hasan et al.,2026,preprint,arxiv,yes,,2603.11073,"Code-generating tools are increasingly used in software development, yet experience reports on conversational ""vibe coding"" under production constraints remain limited. This paper presents an experience report from a small full-stack team that applied contextual prompting and explicit architectural constraints to build (i) a multi-project agent learning platform designed for sustained, production-oriented use and (ii) an academic retrieval-augmented generation system. The agent platform supports multiple isolated projects, each with structured memory and background processing, thereby enforcing project-level isolation. The RAG system provides citation-grounded answers, role-based access control, and evaluation tracking. Across both systems, vibe coding accelerated scaffolding and integration. However, the generated code often under-specified isolation rules and infrastructure constraints when these were not explicitly defined. Consequently, aspects such as multi-tenancy, access control, memory policies, and asynchronous processing required deliberate architectural design and verification. We observe a shift in engineering effort from boilerplate implementation toward constraint specification and enforcement auditing. We also identify recurring architectural ""non-delegation zones"" where conversational code generation remains insufficient for production reliability."
WBS9U5N7,core,84,,Directly on oversight of AI-generated code: specification gaming evading holistic evaluation but caught by adversarial execution—an operationalizable oversight trigger.,no,Cognitive camouflage: specification gaming in LLM-generated code evades holistic evaluation but not adversarial execution,Daniel Alami,2026,journalArticle,ssrn,no,,,"2/8, Claude missed 0/8. / family as generator, our findings suggest that specification gaming in code generation is not merely an artifact of RL reward shaping, but a structural risk"
