item_key,decision,confidence,rationale,prior_decision,prior_confidence
LL3MSMUB,keep,medium,"Maps EU AI Act to ISO 42001 providing operationalizable compliance framework for AI management systems; software orgs deploying AI coding tools need this regulatory-to-operational translation directly",maybe,medium
B5LIQ844,keep,medium,"Five-stage lifecycle governance schema (design through feedback) for generative AI is domain-agnostic and transfers to software organizations without re-derivation; critical infrastructure is validation context not constraint",maybe,medium
ZFMEWNXZ,keep,medium,"Enterprise AI governance framework addressing NIST/EU AI Act gaps is directly applicable to software organizations managing AI coding tools; enterprise context matches SE org adoption needs",maybe,medium
3YPJ63ZW,discard,medium,"While measurement dimensions (trust, automation bias, workload) are relevant, the clinical huddle intervention design and domain-specific metrics require substantial re-derivation; findings are descriptive of their context not generalizable detection mechanisms",maybe,medium
SQGWEB56,discard,high,"Empty abstract prevents any assessment of operationalizability; sustainability framing in title suggests domain outside software engineering governance",discard,low
4D4DBZ3R,keep,medium,"Tool-call interception mechanism for last-mile oversight of agentic AI systems is directly applicable to governing AI coding agents; the virtue-ethics framing is the philosophical grounding not the technical architecture which is deployable",maybe,medium
BBNEFGN9,discard,medium,"Despite direct vibe coding topic the abstract emphasizes definition and research agenda rather than operationalizable findings; per tier criteria definitional work without actionable governance output is discard",maybe,medium
3LJCSWBK,keep,medium,"Third-party risk management framework for AI systems transfers directly to SE organizations evaluating AI coding tool vendors; supply chain accountability mechanisms are domain-agnostic",maybe,medium
99MDCADU,keep,high,"Authority illusion framework diagnosing how HITL nominally preserves control while deferring actual authority directly addresses rubber-stamp code review failure patterns; authority mapping is operationalizable",maybe,medium
TW9IB9DE,keep,medium,"Enterprise AI risk quantification with regulatory mapping (EU AI Act, NIST, ISO) provides measurable risk framework SE organizations can adopt for AI coding tool assessment",maybe,medium
SP7IN769,discard,medium,"Abstract too sparse to confirm operationalizable mechanism; keywords mention relevant concepts but inference routing for heterogeneous compute doesn't establish governance contribution",maybe,low
E89ASTEW,keep,medium,"DARPA ARCOS-aligned automated software certification with formal verification methodology addresses scalable code quality assurance; aerospace regulations are the validation domain but the logic-based verification pattern transfers",maybe,medium
BIWDG2AL,discard,high,"Empty abstract prevents assessment; title indicates theoretical thermodynamic analysis of alignment scaling limits with no apparent software engineering application",discard,low
N9825KAC,keep,high,"Reconstructability framework and AI reliance logging for audit trails transfers directly to AI-generated code provenance tracking; the mechanism is output-agnostic and banking/pharma are validation contexts",maybe,medium
XC4DI5Y3,discard,medium,"Vision paper outlining concepts and open challenges for future work; lacks operationalizable framework despite directly addressing vibe coding risks—the actionable contribution is future research agenda not present findings",maybe,medium
LEXRXNNR,discard,medium,"Abstract lacks explicit code generation angle and legal copyright analysis doesn't provide adoptable mechanism; generative AI copyright discourse typically centers creative content not code",maybe,medium
P9F4Z8ND,keep,medium,"Decentralized malicious agent detection with strong empirical validation (near-perfect detection 95% accuracy recovery) directly applicable to securing multi-agent AI coding pipelines; the mechanism is domain-agnostic",maybe,medium
HLMH49XE,keep,medium,"Empirical findings on overreliance, role distribution and feedback loops in human-AI hybrid systems transfer to code review oversight design; the identified challenges and recommendations are structurally parallel",maybe,medium
9U8PK4ZP,keep,high,"Agency reversal framework with Work System Theory design principles directly addresses core challenge of humans becoming passive reviewers of AI-generated code; the mechanism for counteracting passive execution is the contribution",maybe,medium
QIV7DL7L,keep,high,"Decision-state isolation architecture preventing automation surprise and preserving decision traceability is an architectural pattern that transfers to code review pipelines without domain re-derivation",maybe,medium
