item_key,decision,category,title,authors,year,url,rationale,abstract,human,human_decision,chatgpt,chatgpt_decision,chatgpt_batch,gemini,gemini_decision,gemini_batch
67PUNADJ,discard,K12pedagogy,OpenAI ChatGPT generated results: similarity index of artificial intelligence-based contents,Randy Joy Magno Ventayen,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4332664,"Focuses on ChatGPT-generated essays and academic integrity/cheating detection in higher education, with no governance or oversight angle transferable to the SLR topic.","The study discovered that ChatGPT poses a potential risk to the integrity of essay submissions, particularly in higher education settings where such requirements / Research paper titles published by Pangasinan State University authors will be used in the chat session using ChatGPT. / chatGPT, artificial intelligence, paraphrasing tool, academic integrity, cheating",FALSE,,FALSE,,,TRUE,discard,3
G8J7KV6A,discard,K12pedagogy,ChatGPT by OpenAI: students' viewpoint on cheating using artificial intelligence-based application,Randy Joy Magno Ventayen,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4361548,"Purely about student cheating and academic integrity using ChatGPT, with no governance, oversight, or code-generation angle.","The study described that ChatGPT, as a recently developed AI model, may be used to generate essays and topics, thus posing a potential risk to the integrity / While most students didn't admit to using ChatGPT in their writing, It is important to note that ChatGPT can generate text where academic integrity can / chatGPT, artificial intelligence, paraphrasing tool, academic integrity, cheating",FALSE,,FALSE,,,FALSE,,
N87VFJVS,discard,FinanceTrading,From data to trade: a machine learning approach to quantitative trading,Gautier Marti,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4315362,Purely about ML for quantitative/algorithmic trading with no governance or oversight angle.,"discuss the challenges and best practices of implementing machine learning models in the live market, including the role of data quality, the importance of risk / Book essentially written by ChatGPT. / machine learning, quantitative trading, ChatGPT, artificial intelligence",FALSE,,FALSE,,,FALSE,,
KL56W4I8,maybe,,Decoding US tort liability in healthcare’s black-box AI era: lessons from the EU,Mindy Duffourc; Sara Gerke,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4569698,"Examines AI liability frameworks (tort, product liability) for black-box AI in healthcare — the comparative US/EU legal analysis and responsibility-gap discussion is transferable to AI-generated code liability questions even though the domain is clinical.","perform a wide range of health-related tasks, from specialized autonomous systems that diagnose diabetic retinopathy to general-use generative models like ChatGPT / face similar liability challenges. / Artificial Intelligence, Medical Liability, Product Liability, Black-Box AI, Comparative Law, US Law, EU Law, Law and Technology, AI Liability, Health / Law, ChatGPT",FALSE,,FALSE,,,TRUE,keep,4
46Y7SU3S,discard,OffTopicOther,That newtime religion: breaking another false idol - the coss,Alvin D. Lurie,2004,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=532764,"This appears to be a commentary on tax shelters using a Casablanca film reference, with no connection to AI, code generation, oversight, or any relevant topic.","It sort of reminds one of the retort of Claude Raines, ""I'm shocked, shocked,"" on being told, as the police inspector in ""Casablanca"" (the movie), of corruption / associated with any tax shelter that promises such wondrous results, presumably they were assured there was nothing illegal about the attempt to reduce tax liability",FALSE,,FALSE,,,FALSE,,
AWECC8GZ,discard,OffTopicOther,Occupational exposure to asbestos: mortality and liability issues arising in Hong Kong's shipping industry,Rohan Price; Jack Burke,2010,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1693763,"Paper is about asbestos exposure liability in the shipping industry with no connection to AI, code generation, or software oversight.","system and (2) the high level of personal and corporate bankruptcy mean that stringent English compensation approaches to mesothelioma in cases of pre-cursor / conditions and multiple employer apportionment of liability (respectively) are not a good fit for Hong Kong. / mesothelioma, causation, compensation, joint and several liability",FALSE,,FALSE,,,FALSE,,
P2LQVLIA,discard,OffTopicOther,Trichet bonds to resolve the European sovereign debt problem,Nicholas Economides; Roy C. Smith,2011,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1746124,"Paper is about European sovereign debt restructuring mechanisms with no connection to AI, code generation, or technology governance.","“Trichet Bonds,” to be named after the ECB president Jean-Claude Trichet, will be similar to “Brady Bonds” that resolved the Latin American debt crisis / Debt holders not accepting the exchange will be at risk of a forced restructuring at a later date at terms less favorable.",FALSE,,FALSE,,,FALSE,,
K3LVUMXM,discard,OffTopicOther,Anthropological criticism,Brian Coates,2011,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1808846,"This is a humanities paper on anthropological theory and postcolonial criticism, with no connection to AI, code, software oversight, or any topic relevant to the SLR.","One critic has referred to its ‘history of complicity variously with racism and slavery … its readiness to facilitate colonial governance’. / These questions have occupied prominent thinkers such as Jean-Paul Sartre, Claude Lévi-Strauss, Edward Said and Jacques Derrida.",FALSE,,FALSE,,,FALSE,,
WUYYL4WT,discard,OffTopicOther,More than two decades of indian school education: the history that sounds higher than actions,Sanjaya Das,2013,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2329858,"Paper is about Indian school education history and equity policy with no connection to AI, code generation, or any relevant governance/oversight topic.","While governance was found to be major goal of EFA in 2009, marginalization was prioritized in 2010. / It is ironic that EFA begun its history in 1990 on the issue of equal opportunities and after glorious achievements of 20 years, cursor is fixed at marginalization",FALSE,,FALSE,,,TRUE,keep,6
XUXPK5JS,discard,OffTopicOther,Eye of the beholder: how perception management can counter stereotype threat among struggling law students,Catherine Martin Christopher,2015,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2573063,"Paper is about stereotype threat and academic support for law students preparing for bar exams, with no connection to AI, code generation, or governance topics.","Law students with low grade point averages (GPAs) are at greater risk than their higher GPA peers of failing the bar exam, and they know it. / Academic Support, Bar Examination, Bar Exam, Law school, Stereotype threat, Negative stereotypes, Claude M. Steele, Scholar-baller",FALSE,,FALSE,,,FALSE,,
U65KBBH7,discard,OffTopicOther,The political science of british politics: institutions are back (again),Peter John,2016,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2846736,"Paper is about political science and institutional theory in British politics, with no connection to AI, code generation, or software governance.","from these older institutional studies, to critiques of British politics, new institutionalism, interpretative work, and US-inspired studies, which pre-cursor / the current re-engagement with institutions, returned to after the dominance of governance theories.",FALSE,,FALSE,,,FALSE,,
