item_key,opus_bin,centrality,title,authors,year,item_type,source,has_pdf,doi,arxiv_id,opus_rationale,abstract,human_bin,human_note,new tags
9HPPSFM6,context,66,The flaws of policies requiring human oversight of government algorithms,Ben Green,2021,journalArticle,ssrn,no,,,Empirical survey of 41 policies exposing flaws in mandated human oversight—directly on limitations of oversight practices but for government algorithms.,"One mechanism that has become a centerpiece of global efforts to regulate government algorithms is to require human oversight of algorithmic decisions. / In this article, I survey 41 policies that prescribe human oversight of government algorithms and find that they suffer from two significant flaws. / Human oversight; Human in the loop; Algorithmic governance; Automated decision-making; Artificial intelligence; AI regulation&",,,
4K8J6X33,context,65,Institutionalised distrust and human oversight of artificial intelligence: towards a democratic design of AI governance under the European union AI act,Laux,2024,journalArticle,"scopus,wos",yes,10.1007/s00146-023-01777-z,,"Strong taxonomy and normative framework on effectiveness of human oversight under the EU AI Act—core oversight mechanism, general rather than code-specific.","Human oversight has become a key mechanism for the governance of artificial intelligence (“AI”). Human overseers are supposed to increase the accuracy and safety of AI systems, uphold human values, and build trust in the technology. Empirical research suggests, however, that humans are not reliable in fulfilling their oversight tasks. They may be lacking in competence or be harmfully incentivised. This creates a challenge for human oversight to be effective. In addressing this challenge, this article aims to make three contributions. First, it surveys the emerging laws of oversight, most importantly the European Union’s Artificial Intelligence Act (“AIA”). It will be shown that while the AIA is concerned with the competence of human overseers, it does not provide much guidance on how to achieve effective oversight and leaves oversight obligations for AI developers underdefined. Second, this article presents a novel taxonomy of human oversight roles, differentiated along whether human intervention is constitutive to, or corrective of a decision made or supported by an AI. The taxonomy allows to propose suggestions for improving effectiveness tailored to the type of oversight in question. Third, drawing on scholarship within democratic theory, this article formulates six normative principles which institutionalise distrust in human oversight of AI. The institutionalisation of distrust has historically been practised in democratic governance. Applied for the first time to AI governance, the principles anticipate the fallibility of human overseers and seek to mitigate them at the level of institutional design. They aim to directly increase the trustworthiness of human oversight and to indirectly inspire well-placed trust in AI governance. © The Author(s) 2023.",,,
DN9R4PDQ,context,64,Vibe coding for product design: understanding product team members' perceptions of AI-assisted design and development,Li; Hou; Lin et al.,2025,preprint,"arxiv,committee",yes,,2509.10652,"Empirical interview study surfacing AI over-reliance, review/debugging stages, and trust/responsibility asymmetries in vibe coding — relevant over-reliance evidence, though perception-focused rather than a governance mechanism.","Generative AI is reshaping product design practices through ""vibe coding"", where product team members express intent in natural language and AI translates it into functional prototypes and code. Despite rapid adoption, little research has examined how vibe coding reconfigures product development workflows and collaboration. Drawing on interviews with 22 product team members across enterprises, startups, and academia, we show how vibe coding follows a four-stage workflow of ideation, generation, debugging, and review. This accelerates iteration, supports creativity, and lowers participation barriers. However, participants reported challenges of code unreliability, integration, and AI over-reliance. We find tensions between efficiency-driven prototyping (""intending the right design"") and reflection (""designing the right intention""), introducing new asymmetries in trust, responsibility, and social stigma within teams. Through a responsible human-AI collaboration lens for AI-assisted product design and development, we contribute a deeper understanding of deskilling, ownership and disclosure, and creativity safeguarding in the age of vibe coding.",,,
84D2AMVM,context,64,Realizing the promise of AI governance involving humans-in-the-loop,McKay,2024,conferencePaper,scopus,no,10.1007/978-3-031-76827-9_7,,"Surveys HITL effectiveness factors (complacency, workload, measurement) directly transferable to human oversight of AI code.","Human-in-the-loop (“HITL”) approaches have been proposed as an important element to ensure safety and fairness for higher-risk applications of artificial intelligence (“AI”) enabled decision-making. This paper examines the question: To what extent does the current state of knowledge enable the definition of factors and mitigations necessary for the effective implementation of HITL approaches? Previous research examining internal (individual) and external (implementation-related structural and contextual) factors in human decision-making are surveyed and assessed for potential relevance. This analysis highlights factors likely to be of relevance and reveals gaps which hinder the elaboration of factors and mitigations relevant to the effectiveness of HITL approaches. In order to realize the potential for HITL approaches to enhance safety for those reliant on or subject to AI systems, governance implementation will need to include minimum requirements applicable to both human overseers and to the context in which they work and are assessed. Factors identified as relevant include: complacency, persuasion, workload, conformity, unequal treatment of different kinds of error, and organizational polices and norms which may deter thorough review and human challenge of AI recommendations. There is also a need for further research: to enhance understanding of the practical significance of HITL effectiveness risks factors and their management; to enable the classification of HITL-implementation environments; and, to provide robust measurement methodologies to enable the identification of the most promising human candidates for HITL overseer roles. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",core,Explains issues of human oversight,
6Z82ABMA,context,63,When is generated code difficult to comprehend? Assessing AI agent python code proficiency in the wild,Temkulkiat; Ragkhitwetsagul; Choetkiertikul et al.,2026,preprint,arxiv,yes,,2604.00299,"Measures comprehension difficulty of AI-generated code as developers shift to reviewers, bearing on review scalability and skill requirements.","The rapid adoption of AI coding agents is fundamentally shifting software developers' roles from code authors to code reviewers. While developers spend a significant portion of their time reading and comprehending code, the linguistic proficiency and complexity of the Python code generated by these agents remain largely unexplored. This study investigates the code proficiency of AI agents to determine the skill level required for developers to maintain their code. Leveraging the AIDev dataset, we mined 591 pull requests containing 5,027 Python files generated by three distinct AI agents and employed pycefr, a static analysis tool that maps Python constructs to six proficiency levels, ranging from A1 (Basic) to C2 (Mastery), to analyze the code. Our results reveal that: AI agents predominantly generate Basic-level code, with over 90% of constructs falling into the A1 and A2 categories, and less than 1% classified as Mastery (C2); AI agents' and humans' pull requests share a broadly similar proficiency profile; High-proficiency code by AI agents are from feature addition and bug fixing tasks. These findings suggest that while AI-generated code is generally accessible to developers with basic Python skills, specific tasks may require advanced proficiency to review and maintain complex, agent-generated constructs.",,,
8IQR9PNB,context,63,Code with me or for me? How increasing AI automation transforms developer workflows,Chen; Talwalkar; Brennan et al.,2026,conferencePaper,acm,yes,10.1145/3772318.3790850,2318.37908,"Controlled empirical study of how increasing coding-agent autonomy shifts workflows, surfacing the over-reliance/understanding-agent-behavior oversight challenge.","Developers now have access to a growing array of increasingly autonomous AI tools for software development. While many studies examine copilots that provide chat assistance or code completions, evaluations of coding agents—which can automatically write files and run code—still rely on static benchmarks. We present the first controlled study of developer interactions with coding agents, characterizing how more autonomous AI tools affect productivity and experience. We evaluate two leading copilot and agentic coding assistants, recruiting participants who regularly use the former. Our results show agents can assist developers in ways that surpass copilots (e.g., completing tasks humans may not have accomplished) and reduce the effort required to finish tasks. Yet challenges remain for broader adoption, including ensuring users adequately understand agent behaviors. Our findings reveal how workflows shift with coding agents and how interactions differ from copilots, motivating recommendations for researchers and highlighting challenges in adopting agentic systems.",,,
4XV5EN3P,context,63,AgentSight: system-level observability for AI agents using eBPF,Zheng; Hu; Yu et al.,2025,conferencePaper,acm,yes,10.1145/3766882.3767169,6882.37671,"Concrete observability framework to monitor AI coding agents (Claude Code, etc.) and detect failures/attacks — an oversight tooling mechanism, though security/monitoring-oriented rather than code-quality review.","Modern software infrastructure increasingly relies on LLM agents for development and maintenance, such as Claude Code and Gemini-cli. However, these AI agents differ fundamentally from traditional deterministic software, posing a significant challenge to conventional monitoring and debugging. This creates a critical semantic gap: existing tools observe either an agent's high-level intent (via LLM prompts) or its low-level actions (e.g., system calls), but cannot correlate these two views. This blindness makes it difficult to distinguish between benign operations, malicious attacks, and costly failures. We introduce AgentSight, an AgentOps observability framework that bridges this semantic gap using a hybrid approach. Our approach, boundary tracing, monitors agents from outside their application code at stable system interfaces using eBPF. AgentSight intercepts TLS-encrypted LLM traffic to extract semantic intent, monitors kernel events to observe system-wide effects, and causally correlates these two streams across process boundaries using a real-time engine and secondary LLM analysis. This instrumentation-free technique is framework-agnostic, resilient to rapid API changes, and incurs less than 3% performance overhead. Our evaluation shows AgentSight detects prompt injection attacks, identifies resource-wasting reasoning loops, and reveals hidden coordination bottlenecks in multi-agent systems. AgentSight is released as an open-source project at https://github.com/eunomia-bpf/agentsight.",,,
EJRHHVTN,context,63,Software testing with large language models: an interview study with practitioners,Santana; Magalhaes; Santos,2025,preprint,arxiv,no,,2510.17164,"Practitioner interview study yielding guidelines for LLM use in testing with emphasis on human oversight/validation, transferable to AI-code oversight.","\textit{Background:} The use of large language models in software testing is growing fast as they support numerous tasks, from test case generation to automation, and documentation. However, their adoption often relies on informal experimentation rather than structured guidance. \textit{Aims:} This study investigates how software testing professionals use LLMs in practice to propose a preliminary, practitioner-informed guideline to support their integration into testing workflows. \textit{Method:} We conducted a qualitative study with 15 software testers from diverse roles and domains. Data were collected through semi-structured interviews and analyzed using grounded theory-based processes focused on thematic analysis. \textit{Results:} Testers described an iterative and reflective process that included defining testing objectives, applying prompt engineering strategies, refining prompts, evaluating outputs, and learning over time. They emphasized the need for human oversight and careful validation, especially due to known limitations of LLMs such as hallucinations and inconsistent reasoning. \textit{Conclusions:} LLM adoption in software testing is growing, but remains shaped by evolving practices and caution around risks. This study offers a starting point for structuring LLM use in testing contexts and invites future research to refine these practices across teams, tools, and tasks.",,,
RBQZMXWT,context,62,Does pass rate tell the whole story? Evaluating design constraint compliance in LLM-based issue resolution,Yu; Zhou; Zeng et al.,2026,preprint,arxiv,yes,,2604.05955,"Measures whether AI-generated patches meet implicit design constraints beyond test pass rates, an operationalizable quality-oversight gap.","Repository-level issue resolution benchmarks have become a standard testbed for evaluating LLM-based agents, yet success is still predominantly measured by test pass rates. In practice, however, acceptable patches must also comply with project-specific design constraints, such as architectural conventions, error-handling policies, and maintainability requirements, which are rarely encoded in tests and are often documented only implicitly in code review discussions. This paper introduces \textit{design-aware issue resolution} and presents \bench{}, a benchmark that makes such implicit design constraints explicit and measurable. \bench{} is constructed by mining and validating design constraints from real-world pull requests, linking them to issue instances, and automatically checking patch compliance using an LLM-based verifier, yielding 495 issues and 1,787 validated constraints across six repositories, aligned with SWE-bench-Verified and SWE-bench-Pro. Experiments with state-of-the-art agents show that test-based correctness substantially overestimates patch quality: fewer than half of resolved issues are fully design-satisfying, design violations are widespread, and functional correctness exhibits negligible statistical association with design satisfaction. While providing issue-specific design guidance reduces violations, substantial non-compliance remains, highlighting a fundamental gap in current agent capabilities and motivating design-aware evaluation beyond functional correctness.",,,
74UAHJ47,context,62,Exploring automation bias in human–AI collaboration: a review and implications for explainable AI,Romeo; Conti,2026,journalArticle,scopus,yes,10.1007/s00146-025-02422-7,,"PRISMA review of automation bias/over-reliance with intervention strategies (verification, engagement) — strong transferable theory foundation for AI-code overtrust, though not code-specific.","As Artificial Intelligence (AI) becomes increasingly embedded in high-stakes domains such as healthcare, law, and public administration, automation bias (AB)—the tendency to over-rely on automated recommendations—has emerged as a critical challenge in human–AI collaboration. While previous reviews have examined AB in traditional computer-assisted decision-making, research on its implications in modern AI-driven work environments remains limited. To address this gap, this research systematically investigates how AB manifests in these settings and the cognitive mechanisms that influence it. Following PRISMA 2020 guidelines, we reviewed 35 peer-reviewed studies from SCOPUS, ScienceDirect, PubMed, and Google Scholar. The included literature, published between January 2015 and April 2025, spans fields such as cognitive psychology, human factors engineering, human–computer interaction, and neuroscience, providing an interdisciplinary foundation for our analysis. Traditional perspectives attribute AB to over-trust in automation or attentional constraints, resulting in users perceiving AI-generated outputs as reliable. However, our review presents a more nuanced view. While confirming some prior findings, it also sheds light on additional interacting factors such as, AI literacy, level of professional expertise, cognitive profile, developmental trust dynamics, task verification demands, and explanation complexity. Notably, although Explainable AI (XAI) and transparency mechanisms are designed to mitigate AB, overly technical, cognitively demanding, or even simplistic explanations may inadvertently reinforce misplaced trust, especially among less experienced professionals with low AI literacy. Taken together, these findings suggest that although explanations may increase perceived system acceptability, they are often insufficient to improve decision accuracy or mitigate AB. Instead, user engagement emerges as the most feasible and impactful point of intervention. As increased verification effort has been shown to reduce complacency toward AI mis-recommendations, we propose explanation design strategies that actively promote critical engagement and independent verification. These conclusions offer both theoretical and practical contributions to bias-aware AI development, underscoring that explanation usability is best supported by features such as understandability and adaptiveness. © The Author(s) 2025.",,,
