item_key,citation,evidence_type,problem_statement,magnitude_evidence,risk_types,insufficiency_evidence,solution_mechanisms,mechanism_keywords,oversight_locus,human_role,key_constructs,governance_refs,scope_fit,notes,_truncated
22JBEZNK,Virk 2025,empirical | case-study | controlled-experiment,Non-programmer business users increasingly rely on AI-generated code for data analysis but it is unclear whether they can detect the LLM's errors; the paper tests whether such end-users can serve as effective human oversight of AI-generated analyses.,18 of 26 marketing/sales professionals reported using tools like ChatGPT to analyze data daily or weekly (which often involves code generation),quality | unsound-decisions | hallucination | unreliable-AI | safety-critical-flaws | insufficient-human-oversight,"Participants frequently failed to detect critical flaws that could compromise decision-making, many of which required no technical knowledge to recognize; 'none were consistently detected; some safety-critical issues were missed entirely by all participants.'",natural-language explanation of code | restructuring responses into delineated steps | presenting plausible alternatives per decision | priming users to distrust AI | monetary incentives for thoroughness | restate-the-methods engagement step | verification reminders,hitl | explanation | verification-prompt | distrust-priming | step-decomposition | alternatives | critical-evaluation | trust-calibration,post-generation | code-review | pre-decision,in-the-loop,approach-level vs implementation-level flaws | safety-critical flaw | technical/domain/neither flaw categories | verifiability for non-programmers,,both,,0
27YULT5I,Sharma 2026,conceptual-position | framework-model | case-study,"The document addresses how to responsibly oversee LLM-driven large-scale code migration in regulated financial systems, where AI rewrites legacy code and human review struggles to verify functional equivalence and preserve accountability.","""A 2025 industry survey found that over 97% of software companies have adopted AI tools in their engineering processes, with code generation representing the dominant use case (Techreviewer, 2025).""",accountability-gap | transparency | compliance | automation-bias | quality | functional-equivalence | rounding/edge-case errors | auditability | legal-regulatory | maintainability,"""Developers may scan the converted code for obvious errors but lack the time or institutional mandate to perform the deep, line-by-line comparison against the original that would be necessary to catch subtle semantic differences""; standard testing tests converted code in isolation and does not compare behavior against the original across full input range.","mandatory human review checkpoints (pre-migration scoping, mid-migration validation, post-migration certification) | provenance documentation for AI-generated components | differential testing verifying functional equivalence against original system | engineer certification/sign-off of converted code | risk-commensurate verification standard",hitl | review-checkpoints | provenance | differential-testing | functional-equivalence | sign-off | certification | human-review | risk-routing | audit-trail | spec-driven,pre-migration | mid-migration | post-migration | code-review | testing | pre-deployment,in-command,accountability gap | transparency deficit | automation bias | practitioner-grounded ethical framework | mandatory human review checkpoints | provenance documentation | differential testing protocols,Sarbanes-Oxley Act | MiFID II | ACM Code of Ethics | banking supervisory guidelines,both,,0
2CKL96B8,Sarkar 2025,secondary-review | empirical,"The document examines how AI coding tools affect frontend software development, with particular attention to the security vulnerabilities, quality defects, and mixed real-world productivity of AI-generated code that create a need for governance and human oversight.","AI tools 'achieve 62-84% adoption rates globally' and GitHub Copilot leads adoption at '76% among frontend developers according to Stack Overflow's 2025 Developer Survey of 49,000+ professionals'; '50% of code characters now AI-assisted' at Google",security | vulnerability | cross-site-scripting | code-quality | correctness | technical-debt | bias | intellectual-property | legal | framework-inequity | delivery-stability,"Stanford evaluation of 1,689 Copilot programs: '~40% contained security flaws'; Georgetown CSET: 'almost 50% of AI-generated snippets containing exploitable bugs'; Veracode: '45% of AI code samples failed security tests, with 86% failure rates for Cross-Site Scripting defenses'; 'security performance remains flat across model generations, with vulnerability rates consistently 40-50%'; Yetistiren et al.: 'only 28.7% fully correct solutions, with 51.2% requiring developer intervention'",mandatory security scanning of AI code | governance frameworks before adoption | rigorous human code review regardless of AI | developer training in AI collaboration | AI output evaluation skills | security-first AI training approaches | algorithmic bias detection/mitigation | clear IP/attribution/liability policies | continuous monitoring and human validation,security-gate | security-scanning | governance | policy | code-review | hitl | human-validation | monitoring | training | bias-mitigation | provenance | quality-assurance,code-review | CI | pre-commit | generation-time,in-the-loop,perception-reality gap | almost right pattern | assistants to agents,MITRE Top 25 CWE | SWE-bench Verified,both,,0
2KPHQ5IV,Wang 2026,conceptual-position | framework-model,"Vibe coding produces correct executable code but records none of the structural commitments, dependencies, or evidence behind it, so reviewers cannot audit AI-generated changes and are demoted to rubber-stamping opacity as agent throughput scales.","AIDev's large-scale dataset of 456,000 agent-produced PRs reveals that agent changes are accepted significantly less often than human ones [17]",opacity | silent-regression | auditability | maintainability | traceability-loss | control-failure | feature-leakage | causal-invalidity | coordination-failure,reviewers are not empowered by better interfaces or more capable models. They are progressively demoted to rubber-stamping opacity; also 'a more capable model would have produced the same wrong answer' on structurally invalid inputs,consensus layer as primary artifact | typed property graph world model | bidirectional sync operators (realize/rehydrate) | evidence-linked structural claims | consensus entropy as under-specification signal | human-gated structural review | multi-agent roles over shared consensus | feature-parity contract validity gate | context-aware view projection | round-trip drift monitoring,consensus-layer | knowledge-graph | world-model | bidirectional-sync | provenance | evidence-linkage | hitl | human-gating | entropy-signal | escalation | multi-agent | auditor-gate | contract-check | drift-detection | spec-driven | observability,generation-time | code-review | pre-commit | pre-publish | pre-inference-gate,in-command,Agentic Consensus | consensus layer C | dimension collapse | representation gap | consensus entropy | alignment fidelity | intervention distance | realize operator Φ | rehydrate operator Ψ | round-trip integrity | governable consensus layer,,both,,0
34ELRWJH,Goodhue 2025,conceptual-position | case-study,"AI-assisted 'vibe coding' lets non-experts build sophisticated applications while the AI makes thousands of legally consequential micro-decisions (licensing, privacy, security) without human legal oversight, creating a mismatch between technical capacity and legal/compliance infrastructure.","Perry et al.: 'participants who had access to an AI assistant wrote significantly less secure code than those without access,' with only 3% of AI-assisted developers implementing secure encryption compared to 22% without AI (Perry et al. 2785)",legal | compliance | security | privacy/data-protection | intellectual-property | open-source-licensing | supply-chain | regulatory | liability | marketing-substantiation | training-data-contamination,"Traditional legal service delivery models—manual document review, hourly consultation, post-hoc compliance audits—cannot match AI-assisted development's velocity or solo entrepreneurship's economics; hourly legal rates of $300-800 place review beyond solo entrepreneurs' reach","embedded compliance automation | real-time compliance checks in dev workflow | prompt-based dependency/license auditing | automated data-collection mapping | automated security code review | automated legal document generation (ToS, privacy policy, incident response) | legal-by-design integrated into IDE",compliance-automation | policy-as-code | legal-by-design | dependency-audit | license-scanning | data-mapping | security-gate | prompt-engineering | shift-left | provenance | guardrail,generation-time | pre-publish | code-review | development-environment,unspecified,vibe coding | embedded compliance automation | compliance at the speed of code | legal-by-design | one-person billion-dollar company,GDPR | CCPA | COPPA | PCI DSS | FTC Act | NIST Framework for Responsible AI Development | OWASP Top 10 for LLM Applications | EU AI Act,both,Legal-practitioner opinion/position piece; not empirical study by author (cites others' empirical work). Governance_refs 'EU AI Act' not explicitly named—remove if strict; document cites GDPR/NIST/OWASP directly.,0
399HN438,Dutta 2025,system-tool | empirical | benchmark,"Traditional pull request reviews are manual, time-intensive, and inconsistent; the paper addresses how generative AI / LLM-based agents can automate PR review while balancing accuracy against required human oversight.",Over 50 million lines of code and 1 million reviews were collected across 9 programming languages (from GitHub repositories with 1000+ stars),quality | security | maintainability | bugs | code-smells | AI-content-accuracy | reliability,"traditional code review tools, which typically exhibit lower precision and recall rates; existing platforms (Gerrit, Code Flow, Phabricator) generally lack automation for code review tasks",multi-agent LLM code review system (CodeEvaluator) | code review agent for diffs | bug report agent | code smell detection agent | code optimization agent (RL-based) | security vulnerability detection agent | style/convention enforcement agent | automated reviewer recommendation | NLP feedback summarization,multi-agent | llm-review | security-gate | code-review | static-analysis-augmentation | reviewer-routing | bug-detection | code-smell | optimization | style-enforcement | transformer-encoder | fine-tuning | reinforcement-learning,code-review | pre-commit | generation-time | CI,on-the-loop,CodeEvaluator | multi-agent code review framework,,solution,,0
3SU9QZ6F,Parris 2026,system-tool | empirical | conceptual-position | framework-model,AI-generated code tends to fail quietly—preserving the surface appearance of function while silently violating guarantees—and standard code review and static analysis are not calibrated to detect this class of failure-untruthful behavior.,"AI-attributed files show 0.435 high-severity findings per file versus 0.242 in human controls, a 1.80× excess (955 vs 955 matched files); Study 1 found 4,120 findings across 1,643 files in a six-system enterprise environment",silent failure | quality | reliability | swallowed exceptions | graceful degradation without disclosure | confidence misrepresentation | test coverage asymmetry | distributed failure propagation | safety-critical | governance/compliance,"An LLM evaluator applied to the same surfaces exhibits the same suppression pattern at a 44:1 ratio below deterministic detection; for deliberation.py the LLM returned PASS on all 7 static FAIL checks (100% suppression); standard static analysis (SonarQube, Semgrep) can pass while code exhibits pervasive fail-soft behavior","15-check deterministic inspection framework | failure-truthfulness auditing | success-integrity check (success after critical failure) | broad-exception-suppression detection | confidence-misrepresentation check | test-coverage-asymmetry check | deterministic-first scanner with optional LLM augmentation | fail-closed UNKNOWN-as-conditional-FAIL semantics | human-review-only checks (C07, C12) | check co-occurrence failure profiles | CLI and web scanner with aggregate-only research pipeline",static-analysis | audit-checklist | guardrail | failure-truthfulness | fail-closed | deterministic | exception-suppression-detection | confidence-calibration | test-coverage-gate | hitl | provenance | lineage | observability | reward-shaped-failure,code-review | pre-commit | CI | pre-publish,in-the-loop,Reward-Shaped Failure Hypothesis | failure truthfulness | AI-Induced Risk Audit (AIRA) | fail-soft behavior | severity clustering | check co-occurrence failure profiles,,both,,0
3ZVMBGPB,Kamalı 2026,conceptual-position | framework-model | secondary-review,"AI coding assistants increase code production velocity, expanding the volume of code requiring review and turning code review into a growing bottleneck, while current AI review support is fragmented across isolated tasks rather than the end-to-end PR workflow.","AI coding assistants accelerate individual coding tasks by more than 50% [13], but coordination time for integration grows faster than individual output and AI-generated contributions require more review iterations than human-written ones",quality | security | maintainability | hallucination | automation-bias | over-reliance | bias | privacy | toxicity | technical-debt | specification-misalignment,Kononenko et al. reported that 54% of code reviews on the Mozilla project failed to identify bugs present in approved commits [89]; Czerwonka et al. found only 15% of reviewer comments pointed to potential defects; and when AI assists review reviewers surface more low-severity issues but not additional high-severity defects [16],five-stage AI-powered code review framework | specialized LLM agents with human-controlled quality gates | PR detail/issue-link generation agents | PR-issue alignment analysis agent | bug proneness risk scoring agent | change impact analysis agent | sandboxed runtime analysis agent | summary generation with claim-evidence pairs | semantic diff map with provenance anchors | reviewer recommendation tool | fix suggestion agent | toxicity and usefulness measurement agents | PR retrospective knowledge capture,hitl | multi-agent | orchestration | quality-gate | risk-routing | spec-alignment | provenance | diff-map | sandbox-execution | calibration | uncertainty-reporting | llm-as-judge | reviewer-recommendation | fix-suggestion | observability,generation-time | pre-commit | code-review | pre-merge | CI | post-review,in-the-loop,agentic code review | AI-powered code review framework (five coordinated stages) | PR Augmentation | human-controlled quality gates | semantic diff map | code review process lifecycle,GDPR,both,Vision/position paper; full text truncated mid-Section 4.5 (reference list retained). Draws heavily on secondary literature for problem quantification.,1
4AXDVW7J,Migliarini 2026,conceptual-position | framework-model | secondary-review,"Addresses how to keep human oversight, accountability, and auditability of LLM-assisted software engineering by making interaction-time controls (prompts, policy/context bindings, retrieval scope, checks) explicit, reviewable, and replayable across the SDLC without access to model internals.",,bias | disparate-impact | memorization-leakage | privacy | harmful-toxic-content | fairness | hallucination | factuality | transparency | legal | licensing-attribution | adversarial-prompt | provider-version-drift | reproducibility | sustainability-cost,"EPE 'cannot remove entrenched representational harms or unintended memorization'; prompting alone cannot guarantee distribution-wide safety, and 'non-experts tend to overgeneralize and over-trust plausible outputs'.",policy/context binding at invocation | provenance capture and audit views | versioned prompt templates/patterns | repository-scoped retrieval with citation mandates | verification passes (tests/linters/licence/safety checks) | abstention/refusal and escalation triggers | reference capability model G1-G4 | minimum reporting kit K1-K9 | selective (budgeted) activation of safeguards | redaction rules | counterfactual/clause-to-span inspection | robustness perturbation testing | escalation beyond prompt layer,policy-as-code | context-binding | provenance | audit-trail | guardrail | retrieval-scoping | rag | verification | citation-mandate | abstention | escalation | redaction | versioning | spec-driven | ensemble | self-consistency | selective-activation | robustness-testing | reporting-kit | hitl | observability | licence-check,generation-time | code-review | pre-commit | CI | pull-request | release-gate,in-the-loop,Ethical Prompt Engineering (EPE) | interaction-time governance | reference capability model (G1-G4) | minimum reporting kit (K1-K9) | challenge map | taxonomy of EPE controls / control families | escalation criteria / remit boundaries | SE2030 alignment,EU AI Act | SE2030 roadmap,both,"Full text was truncated mid-document ('[...TRUNCATED FOR LENGTH...]'); extraction based on available abstract, main sections, and appendices.",1
4FGIVVTG,Omidvar-Tehrani 2024,empirical | case-study | system-tool,"The document addresses how developers should collaborate with and oversee LLM-generated code modifications during large-scale, application-level code migration (e.g., Java 8 to Java 17) spanning entire codebases, and how much control and oversight humans want over AI output.","QCT upgraded 1000 Java 8 applications to Java 17 in two days, with each upgrade taking 10 minutes on average, vs 2+ days previously (Amazon internal benchmark); low 4.8% accuracy of resolving GitHub issues on SWE-Bench using Claude V2",hallucination | security | quality | correctness | incomplete-output | supply-chain | trust-erosion | test-failure,"Participant P7 received a hallucinated output but trusted it for the whole session, trying to debug errors to no avail, not questioning the output until probed by the interviewer; 5 other participants gave up reviewing AI code and restarted the upgrade from scratch",human-as-director guiding AI output | human-as-reviewer of AI code | trust framework across model-outcome types | surfacing/exposing AI limitations transparently | citations and reasoning references for changes | robust test-suite results as trust signal | recognition-over-recall error assistance | user preference setting to guide AI | learning from past upgrade history,hitl | human-in-the-loop | code-review | trust-calibration | transparency | diff-review | provenance | test-gate | escalation | preference-elicitation | explainability,generation-time | code-review | pre-commit | CI,in-the-loop,human as director | human as reviewer | trust framework | correct-looking output with unintended consequences | recognition rather than recall | hand-off model of human-AI partnership,,both,,0
