item_key,sonnet_decision,sonnet_confidence,sonnet_rationale,opus_decision,opus_confidence,opus_rationale,escalation_reason,reviewer_decision,reviewer_notes,title,abstract,year,authors,item_type
8GRSSX8L,maybe,medium,"AI-generated code for hardware verification with prompt engineering and oversight insights, but FPGA domain specificity requires argument to transfer to general software development governance workflows",keep,low,Closed-loop generation-verification methodology with documented prompt engineering lessons for AI-generated code; FPGA domain but the verification pattern and prompt discipline findings transfer to general code generation governance,opus_low_confidence,discard,overly specific for hardward,AI-assisted copilot automation for reliable FPGA verification at hyperscale,"Cloud-scale, Artificial Intelligence (AI)-centric deployments are increasingly accelerated and made flexible through Field-Programmable Gate Arrays (FPGAs). Traditional simulation-only verification has often been shown to miss system-level risks that surface late during hardware bring-up. A hybrid verification methodology has therefore been developed in which AI-driven automation is orchestrated with formal connectivity checks to ensure reliable end-to-end signal connectivity and robust reset behavior across heterogeneous FPGA Stock Keeping Unit (SKU) variants. Structured prompts are employed to guide Copilot in generating Python scripts that traverse - Register Transfer Level (RTL) designs, extract signal mappings, and auto-generate timing-aware connectivity assertions in Comma-Separated Values (CSV) format. Precise, context-rich prompts specifying signal roles, hierarchy depth, and reset domains are observed to yield consistent results, whereas generic prompts fail to capture architectural nuances. Reset validation strategies covering Function Level Resets (FLRs), Memory-Mapped Input Output (MMIO) handlers, and firmware-driven resets have been applied in FPGA contexts, while the underlying connectivity assertion framework has been shown to be portable to Application-Specific Integrated Circuit (ASIC) flows with minimal adaptation. Over nine months, the methodology was deployed on multiple hyperscale FPGA platforms, where critical bugs missed by weeks of simulation regressions were surfaced. Integration with commercial formal tools was achieved, scalability to new FPGA variants was demonstrated, and lessons in prompt engineering and cross-domain verification were documented.",Febr,Nguyen; Le; Tran; Rao; Putnam,conferencePaper
PB7TLUBD,keep,low,"Directly addresses AI-driven code review transformation in software engineering, but thin abstract prevents determining whether operationalizable methodology or descriptive reflection is offered",keep,low,Directly addresses AI-driven code review and refactoring in SE; 'reflects on' language suggests descriptive but domain alignment is exact — human should verify whether actionable methodology exists beyond reflection,opus_low_confidence,discard,Too generic and abstract truncated so hard to tell,AI-driven transformation of code review and refactoring in software engineering,"quality. / Drawing from real-world experience and scholarly analysis, it reflects on how these tools impact code quality, developer productivity, and collaboration",2024,Benjamin Batte,journalArticle
ZGUIZ7AP,maybe,medium,Proposes operationalized framework for meaningful human control with enforceable audit mechanisms for military AI — human control and audit components could transfer to software engineering oversight but military procurement domain requires translation,discard,low,Military procurement domain requires substantial re-derivation; 'meaningful human control' and 'audit mechanisms' are stated but the specific operationalization is tied to procurement and IHL contexts without transferable mechanism detail,opus_low_confidence,keep,Human oversight and governance in related domain,"Artificial intelligence in future conflicts: strategic, ethical, and governance implications a case study of commercial AI integration in contemporary military operations","on the incorporation of commercial AI systems into recent U.S. / governance debates, this study proposes an operationalized framework for meaningful human control, enforceable audit mechanisms, and procurement-based / Artificial Intelligence, Military Decision Systems, Large Language Models, Strategic Stability, International Humanitarian Law, AI Governance Subject Classification / : Security Studies, AI Ethics, International Law, Technology Governance",2026,Shivam Pandey,journalArticle
M87789CG,maybe,low,"Part of a series on accountability, auditability, and operational viability for probabilistic and agentic AI systems — thin abstract prevents confident assessment of whether structural commitment framework is operationalizable for software engineering code governance",discard,low,Abstract too thin to assess operationalizability; 'structural commitment' concept is philosophical framing without clear mechanism — series framing suggests theoretical work without engineering actionability,opus_low_confidence,maybe,"Framework, seems too general",Structure before content: why probabilistic AI requires prior structural commitment,"This paper is part of a series examining accountability, auditability, and operational viability in probabilistic and agentic AI systems / Generative AI, Large Language Models, Probabilistic AI Systems, AI Governance, Trustworthy AI, AI Accountability, Structural Commitment, Decision Boundaries",2026,Thomas Gessler,journalArticle
4J2KY56A,maybe,medium,"Human-GAI collaboration trust and calibration findings are plausibly relevant to software oversight design, but the domain (general GAI teamwork) requires translation to code review contexts.",keep,low,Over-reliance and trust calibration dynamics in human-GAI collaboration provide transferable behavioral mechanisms for oversight design though code review translation requires interpretation,opus_low_confidence,discard,Unrelated.,Misfortune or blessing? The effects of GAI misinformation on human-GAI collaboration,"The advent of generative artificial intelligence (GAI) increasingly transforms artificial intelligence (AI) models from passive tools to proactive social actors. Organizations are increasingly deploying GAI as a teammate to improve work efficiency and decrease costs. However, this promising and sustainable development of GAI is uncertain because its output possesses much misinformation. Inadequate reliability and accuracy of GAI misinformation may distrust of human teammates and elicit unsatisfied collaboration outcomes. Decreasing over-reliance and over-trust may also offer the opportunity to dilute the harm of AI on human unique knowledge and activate innovative thoughts. Given these mixed theorizations, this paper leverages affordance actualization theory to draw a comprehensive understanding of misinformation in human-GAI team collaboration. Leveraging a mixed-methods design, we aim to begin with a qualitative study to identify the affordances of AI and interpret the actualization process. Based on the results, we intend to conduct a Wizard of Oz experiment to examine the proposed model. © 2025 IEEE Computer Society. All rights reserved.",2025,Ran; Cheng; He; Zeng; Mou,conferencePaper
2D5LCIUP,maybe,low,Distinguishes technical from governance AI audits with practical guidelines — potential tool for software organizations but abstract is too thin to assess scope or operationalizable content,keep,low,Technical vs governance audit distinction provides useful taxonomy for SE organizations structuring AI audit programs; thin abstract but the distinction itself is operationalizable,opus_low_confidence,keep,"Abstract truncated, but seems relevant for goverance framewokrs.",Understanding the distinction between technical and governance audits for AI: a critical analysis,"Ultimately, through balanced, pragmatic guidelines and a commitment to transparency and ethics, organizations can implement responsible AI auditing and",2023,Jeffrey Kluge,journalArticle
JCAQ3AHU,maybe,medium,Practical AI compliance assessment methodology using Fraunhofer catalogue for EU AI Act; abstract too thin to confirm whether assessment scope covers software development contexts specifically,keep,low,Practical AI compliance methodology using established Fraunhofer Assessment Catalogue for EU AI Act; abstract is fragmentary but Fraunhofer catalogue is known to cover software/ML systems—practical compliance assessment tool likely operationalizable pending full-text verification.,opus_low_confidence,keep,Framework might be applicable.,AI certification and assessment catalogues: practical use and challenges in the context of the European AI act,Our methodology involves leveraging the Fraunhofer AI Assessment Catalogue as a comprehensive tool to systematically assess an AI model’s compliance with,2025,Gregor Autischer; Kerstin Waxnegger; Dominik Kowald,journalArticle
JUYPVSIW,keep,low,"No abstract available; title indicates empirical study of global AI coding tool diffusion and impact, which would be directly relevant to understanding AI code generation adoption at scale",keep,low,Title indicates empirical diffusion study of AI coding tools — directly within Tier 1 scope; absent abstract forces reliance on title but global adoption data would inform governance scaling decisions; human verification needed,opus_low_confidence,discard,Governance / oversight able missing.,Who is using AI to code? Global diffusion and impact of generative AI,,2026,Daniotti; Wachs; Feng; Neffke,journalArticle
K8PJIPQJ,keep,low,"Claims reproducible AI auditing and governance infrastructure but single-sentence abstract prevents assessment of methodology, scope, or applicability to code contexts",keep,low,Claims reproducible AI auditing and bias detection infrastructure validated empirically; sparse abstract but empirical validation framing and practical/reproducible language suggest operationalizability worth verifying,opus_low_confidence,discard,Seems specific to model development,Empirical validation of open bias architecture (OBA) in GPT models: a structural framework for bias detection and model-state diagnostics,"These findings position OBA as a practical, reproducible infrastructure for AI auditing, governance, and applied system design.",2026,Masaki Hoshino,journalArticle
ZC86LTPH,maybe,medium,"Socio-technical enterprise AI adoption framework includes agentic AI governance components and structural governability of organizational knowledge, but the abstract is vague about whether the framework addresses code-specific governance or software development contexts.",keep,low,Agentic AI governance components and structural governability concept potentially applicable but abstract is vague about code-specific mechanisms; worth verifying implementation details,opus_low_confidence,discard,Focus on adoption.,The organizational intelligence loop: a socio-technical framework for adaptive enterprise AI adoption,"Findings suggest that AI model accuracy and access are insufficient: adoption appears stronger when organizational knowledge is structurally governable / for Enterprise AI; and (2) Organizational-Layer Agentic AI Design. / Generative artificial intelligence, Knowledge management, Agentic AI governance, Organizational network analysis, Behavioral insights, Information architecture",2026,Yumi W. Kimura,journalArticle
