item_key,bin,centrality,reason_code,rationale,title
SWUDMFQ4,discard,20,out-of-scope,This is a broad survey on developer productivity and perceptions of AI without actionable findings on scalable oversight mechanisms.,An insight into the impact of generative artificial intelligence tools on software development practices
BPL78SWJ,discard,10,out-of-scope,"This paper focuses on algorithmic bias and compliance in employment decisions, which is unrelated to the governance of AI-generated code.",Deterministic bias detection for NYC local law 144: why reproducibility matters more than accuracy a technical framework for compliance-grade AI auditing
9D9QSWGZ,core,95,,This study directly investigates how human reviewers interact with and oversee AI-generated pull requests in real-world agentic workflows.,These aren't the reviews you're looking for how humans review AI-generated pull requests
8L2G3J4Q,context,50,,"This research explores using LLMs to enhance static analysis for vulnerability detection, offering an automated mechanism relevant to scaling code review.",♪ with a little help from my (LLM) friends: enhancing static analysis with LLMs to detect software vulnerabilities
P868GNU7,core,85,,This paper provides empirical data on the acceptance rates and necessary human revisions for pull requests generated by autonomous coding agents.,On the use of agentic coding: an empirical study of pull requests on GitHub
M964K4XX,context,35,,"The abstract is too thin to fully judge, but it indicates a focus on general AI governance frameworks that may transfer to AI-generated code.","Comparative analysis of AI governance, assurance, and administrative oversight NIST AI RMF 1.0, ISO/IEC 42001, SOC 2, OMB memoranda M-24-10 and M-25-21, and U.S. copyright office guidance"
TNLQ857W,core,80,,This proposes an actionable governance and authorization framework specifically designed to constrain autonomous AI coding agents.,Toward agentic IAM: a probabilistic authorization framework for least privilege AI workflows
XQ2858YZ,discard,10,too-old,"The abstract is thin and the paper predates modern generative AI coding workflows, focusing instead on general machine learning procurement.",Algorithmic transparency and decision-making accountability: thoughts for buying machine learning algorithms
VZ9H37V5,core,95,,"This directly explores practical vibe coding, highlighting the necessary shift towards constraint specification and architectural oversight for AI-generated code.",Context before code: an experience report on vibe coding in practice
WBS9U5N7,context,35,,"The abstract is very thin and truncated, but suggests findings on the limitations of evaluating AI-generated code against specification gaming.",Cognitive camouflage: specification gaming in LLM-generated code evades holistic evaluation but not adversarial execution
4VXJUF5I,context,60,,This outlines a broader enterprise governance model for generative AI that explicitly includes software development and human-in-the-loop operational layers.,From tokens to tactics: operationalizing generative AI in enterprise workflows
VYRHTLLM,context,65,,"This offers transferable empirical insights into automation bias and human overreliance on AI, which is central to the efficacy of human code review.",Turning off your better judgment -algorithmic conformity in AI-human collaboration
C4DWC33F,core,75,,"This research models developer trust in generative AI coding tools, addressing the human factors that directly impact the rigor of AI code oversight.",What guides our choices? Modeling developers' trust and behavioral intentions towards genai
GD3RMX4R,core,70,,This details specific architectural patterns to facilitate human oversight and error resilience in LLM-assisted modeling and code generation.,On integrating resilience and human oversight into LLM-assisted modeling workflows for digital twins
YBHHYR4P,core,90,,This empirically demonstrates the risks of developer overtrust in AI coding assistants and how critical engagement is required for secure code generation.,Do users write more insecure code with AI assistants?
ETHYCZEC,core,85,,"This analyzes pull request acceptance rates and failure modes for autonomous coding agents, providing data on how AI contributions fare under human oversight.",Different by design: understanding human-AI collaboration through GitHub pull requests
VFZXPDJX,context,55,,"This proposes a framework for augmenting human code inspection, which is conceptually transferable to the challenge of scaling human oversight.",Enhancing human-machine pair inspection with risk number and code inspection diagram
6SILTI7B,context,35,,"The abstract is very thin but suggests a practitioner-focused AI governance playbook translating to engineering, which may hold transferable insights.",Responsible AI: a practitioner playbook for trustworthy AI governance
7V7SRG43,context,65,,"This explores LLM-as-judge multi-agent systems for automating code review, representing a key technical approach to scaling oversight for large code volumes.",CodeAgent: autonomous communicative agents for code review
UDT3AA4A,core,85,,"This comprehensively surveys the risks of LLM-based software development, explicitly calling out developer over-reliance and the necessity of governance.",A survey on the role of LLMs in AI-based software development: augmentation and latent risks
QK577S3K,discard,15,out-of-scope,"The abstract is thin and explicitly focuses on blockchain-based AI verification, which is an excluded false-positive domain for this review.",Verifiable AI: the strategic imperative for trustworthy artificial intelligence a technical and business analysis of blockchain-based AI verification
DG6LWQJU,context,60,,"This presents a methodologically rigorous eye-tracking study on cognitive load and bias in human code review, providing baseline context for human oversight capabilities.",Exploring the effects of urgency and reputation in code review an eye-tracking study
GCZQTNBD,core,80,,"This investigates LLM-as-a-judge methodologies specifically for validating LLM-generated code, evaluating a direct mechanism for scaling oversight.",LLM4VV: exploring LLM-as-a-judge for validation and verification testsuites
VG8PSMM7,core,95,,"This presents a concrete, layered validation pipeline combining LLM-in-the-loop and human-in-the-loop mechanisms to oversee AI-generated industrial code.",Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming
Y7ZWF7GT,context,40,,"The abstract is thin but outlines a relevant architectural governance engine for controlling agentic AI in regulated domains, warranting further human review.",How regulated financial institutions will tame agentic AI through architectural determinism
GPL5G889,context,40,,Foundational theory on automation bias and human-in-the-loop interaction levels that plausibly transfers to AI code oversight.,A model for types and levels of human interaction with automation
49IHA2L9,core,75,,Provides a structured threat-modeling framework for evaluating the security of AI-based coding tools in organizational settings.,How secure is AI-based coding?: a security analysis using STRIDE and data flow diagrams
PG2GXVY8,core,85,,Empirical eye-tracking study demonstrating developer automation bias and reduced visual inspection of LLM-generated code.,How readable is model-generated code? Examining readability and visual inspection of GitHub copilot
PAZT6K56,discard,15,out-of-scope,Purely an LLM capability benchmark evaluating code safety with no focus on human oversight or organizational governance.,"Deploy, but verify: analysing LLM generated code safety"
ZP7AKMBR,core,75,,Multi-case study detailing how generative AI impacts software security practices and introduces sociotechnical risks requiring organizational governance.,Investigating generative AI’s impact on software organizations’ security practices: a multi-case study using gioia methodology
BKSNXFDK,context,35,,Abstract is thin but indicates relevance to AI risk scorecards and continuous compliance governance frameworks.,"Regulatory compliance made easier with AI risk scor the dual imperative in RegTech: leveraging AI-driven risk scorecards for continuous compliance, operational efficiency, and establishing governance frameworks for explainability and ethical accountability"
7B87ZZY9,discard,20,out-of-scope,"Focuses solely on the capability of LLMs to fix maintainability issues, lacking an oversight or governance perspective.",Evaluating the effectiveness of LLMs in fixing maintainability issues in real-world projects
WZSG4ZIT,context,38,,"Thin abstract noting structural limits of explainability and auditability in AI governance, which may transfer to code oversight.",Why probabilistic AI resists auditability: from explainability to verifiable responsibility in high-risk AI systems
NHSTF6EL,discard,15,out-of-scope,Empirical evaluation of code smells in AI training datasets and outputs without addressing human oversight mechanisms.,An empirical study of code smells in transformer-based code generation techniques
JS58YQWN,context,37,,Thin abstract proposing a formal runtime AI governance and human-in-the-loop framework.,Computable trust architecture: a formal framework for runtime AI governance
TW9IB9DE,context,36,,Thin abstract discussing the quantification of enterprise AI risk and regulatory compliance.,The AI governance gap: quantifying enterprise AI risk through the janus protocol
ZX8V7UJS,context,45,,"Examines LLMs in automated root cause analysis, demonstrating that human oversight remains essential despite automation capabilities.",AIOps for reliability: evaluating large language models for automated root cause analysis in chaos engineering
6TZHUCMD,core,70,,Proposes an operationalizable enterprise security guardrail to prevent sensitive source code from leaking to public LLMs.,Source code guardrail: AI driven solution to distinguish critical vs. Generic code for enterprise LLM security
5NY5HVNV,core,95,,"Investigates how LLM-assisted code reviews disrupt traditional accountability mechanisms, directly addressing oversight in software engineering.",Accountability in code review: the role of intrinsic drivers&nbsp;and the impact of LLMs
SDIMSRMI,discard,25,out-of-scope,Proposes metrics for evaluating LLM-generated unit tests but lacks a focus on human review or organizational governance.,An evaluation framework for software unit tests generated by large language models
54383TI5,discard,28,out-of-scope,Presents a conceptual digital twin for software development with minimal emphasis on the governance of AI-generated code.,Code digital twin: empowering LLMs with tacit knowledge for complex software development
WRXR2VTP,core,95,,Introduces a novel quality assurance paradigm to explicitly guide and verify AI-generated code through task-level contracts.,VibeContract: the missing quality assurance piece in vibe coding
VCI7FSVP,context,38,,Thin abstract covering governance-by-design and compiling EU AI Act duties into computable clauses.,Governance-by-design for AI compliance: compiling EU AI act duties into computable operating-agreement clauses
TF2C996H,context,39,,"Thin abstract proposing a scalable human-in-the-loop annotation system via selective review, offering transferable insights for oversight volume.",Human-efficient annotation system via active semi supervised learning and selective review
NZXY7X7U,context,35,,Thin abstract discussing AI governance and pre-execution control in a broader non-software context.,Construction safety management and AI governance: a structural correlation and the case for pre-execution control
JCAQ3AHU,context,35,,Thin abstract focused on practical use of AI assessment catalogues for European AI Act compliance.,AI certification and assessment catalogues: practical use and challenges in the context of the European AI act
82N4MFN7,context,50,,"Presents a situation awareness perspective on human-agent collaboration, relevant to automation bias and over-reliance.",A situation awareness perspective on human-agent collaboration: tensions and opportunities
S7BJA4RD,core,90,,Empirically documents the validation burden and developer experience of verifying output from AI coding assistants in an enterprise setting.,AI-assisted collaboration: exploring developer experience with GitHub copilot and windsurf
S57GJ9VD,discard,25,out-of-scope,Thin abstract focused on using AI to draft compliance documentation rather than governance of AI-generated code.,Simplifying software compliance: AI technologies in drafting technical documentation for the AI act
4AXDVW7J,core,85,,Proposes an interaction-time governance roadmap for ethical prompt engineering and auditable AI toolchain integration in software engineering.,Ethical prompt engineering for AI-driven SE: evidence-informed interaction-time governance roadmap to 2030
8TD7PXM7,context,60,,"Discusses agentic support to help authors reflect before code review, which is adjacent and transferable to keeping humans effectively in the loop during AI-assisted development.",Toward author-guided review: an agentic architecture for reflective code review
RPHK78A9,core,95,,"Provides a comprehensive practitioner guide documenting organizational governance structures, case studies, and accountability mechanisms directly addressing the scaling of GenAI coding.","Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond"
QBZTPWQR,context,55,,"Proposes an infrastructure for context engineering that emphasizes governance, traceability, and human verification of GenAI artifacts, which is highly transferable to code governance.",Everything is context: agentic file system abstraction for context engineering
M26KA89J,context,50,,Offers a strong theoretical framing of human-in-the-loop workflows in knowledge work that transfers well to understanding human oversight modes in AI-assisted coding.,"Cyborgs, centaurs and self-automators: the three modes of human-GenAI knowledge work and their implications for skilling and the future of expertise"
2ATF53D2,discard,10,out-of-scope,An LLM capability benchmark focusing purely on code quality metrics without any link to human oversight or governance.,Can LLMs generate higher quality code than humans? An empirical study
9S7TPW3X,discard,20,out-of-scope,Evaluates an AI tool's ability to detect API misuse rather than exploring human oversight of AI-generated code.,Can we trust the AI pair programmer? Copilot for API misuse detection and correction
TLLPXSB5,context,65,,"Addresses the evolution of cloud security assessment frameworks to incorporate AI-specific governance and adversarial testing, providing transferable organizational practices.",Enhancing cloud security assessment frameworks for the generative AI era: an action design research approach
UU8XQFGB,core,80,,Presents an operationalizable tool designed specifically to visualize agent trajectories and facilitate human feedback and oversight of autonomous agentic systems.,Agent trajectory explorer: visualizing and providing feedback on agent trajectories
5HT7MJV3,context,55,,"Develops a risk taxonomy and governance framework for agentic AI workflows in financial services, which is methodologically transferable to software engineering.",Agentic workflow drift and agentic workflow subversion: a new risk taxonomy for the governance of agentic AI in financial services
8IQR9PNB,core,75,,Provides empirical findings on how autonomous coding agents shift developer workflows and highlights the challenges of ensuring adequate human understanding and oversight.,Code with me or for me? How increasing AI automation transforms developer workflows
XBK7KB3E,context,45,,Outlines a pipeline approach to generative AI evaluation that emphasizes auditing model explanations and requiring human-in-the-loop oversight.,From annotation to oversight: a pipeline approach to generative AI evaluation
MQ5KZQTX,context,65,,"Explores the cognitive load and trust dynamics when humans review AI-generated feedback, offering empirical insights highly relevant to the human side of AI-code oversight.",Human and machine: how software engineers perceive and engage with AI-assisted code reviews compared to their peers
HDVEI6LK,discard,5,out-of-scope,"Focuses entirely on measuring data leakage and memorization in LLM bug benchmarks, lacking any relevance to governance or oversight.",Are large language models memorizing bug benchmarks?
SHAIEC8U,discard,10,out-of-scope,"A performance comparison of transformer models for generating code review comments, with no angle on human oversight or organizational processes.",Transformer models for code review comment generation: a performance comparison on GitHub data
