confidence,bucket,item_key,effective_bin,title
high,A,LCPH3THV,core,"LLM-as-a-judge for software engineering: literature review, vision, and the road ahead"
high,A,DR3HKXW7,core,A survey of vibe coding with large language models
high,A,G3FISG9I,core,"Vibe coding in practice: motivations, challenges, and a future outlook -- a grey literature review"
high,B,UDT3AA4A,core,A survey on the role of LLMs in AI-based software development: augmentation and latent risks
high,B,UAIILG4K,core,AI-native software engineering and vibe coding: a strategic technical survey for modern engineering leadership(2025-2035)
high,B,DZYEZVFE,core,Human-AI experience in integrated development environments: a systematic literature review
high,B,WBFBCN9G,core,"Large language models in programming: a meta-analysis of tools, users, and human-computer interaction themes"
high,B,Q8Z3T386,context,The AI productivity paradox in software development: a meta-analysis of implementation outcomes and ROI patterns (2024-2025)
high,B,6N2VXJBE,context,"A survey on large language model impact on software evolvability and maintainability: the good, the bad, the ugly, and the remedy"
high,C,I3PFG3TZ,core,A review of research on AI-assisted code generation and AI-driven code review
high,D,LQVJ7XT6,context,State of the art of the security of code generated by LLMs: a systematic literature review
high,D,FSASVSDT,context,Navigating the risks: a survey of security and privacy threats in LLM-based agents
high,D,B56YY529,context,Algorithmic accountability of low-code/No-code artificial intelligence: a literature review
high,D,EHEQPUT7,context,"The ''who"", ''what"", and ''how"" of responsible AI governance: a systematic review and meta-analysis of (actor, stage)-specific tools"
high,D,68R7GWHB,context,A survey of bugs in AI-generated code
