item_key,final,target_collection,reviewed,tags,title
9M68WEJA,context,85JVIR9X,True,s3:opus:core|s3:human:context,From industry claims to empirical reality: an empirical study of code review age
CDJ5CGEV,context,85JVIR9X,True,s3:opus:core|s3:human:context,Deep learning-based code reviews: a paradigm shift or a double-edged sword?
424WFD9R,context,85JVIR9X,True,s3:opus:core|s3:human:context,Human-AI synergy in agentic code review
9D9QSWGZ,context,85JVIR9X,True,s3:opus:core|s3:human:context,These aren't the reviews you're looking for how humans review AI-generated pull 
NV5QU9G2,context,85JVIR9X,True,s3:opus:core|s3:human:context,Security in the age of AI teammates: an empirical study of agentic pull requests
I2IWRQVZ,context,85JVIR9X,True,s3:opus:core|s3:human:context,MOSAIC-bench: measuring compositional vulnerability induction in coding agents
BPMFPZZB,context,85JVIR9X,True,s3:opus:core|s3:human:context,Applying generative artificial intelligence for vulnerability fixing in a propri
QG34FIKD,context,85JVIR9X,True,s3:opus:core|s3:human:context,Why human guidance matters in collaborative vibe coding
RDNMBD6N,context,85JVIR9X,True,s3:opus:core|s3:human:context,Context-aware pipeline for automated code review using large language models
P868GNU7,context,85JVIR9X,True,s3:opus:core|s3:human:context,On the use of agentic coding: an empirical study of pull requests on GitHub
DR3HKXW7,context,85JVIR9X,True,s3:opus:core|s3:human:context|lit-review,A survey of vibe coding with large language models
5NY5HVNV,context,85JVIR9X,True,s3:opus:core|s3:human:context,Accountability in code review: the role of intrinsic drivers&nbsp;and the impact
D93DVDLG,context,85JVIR9X,True,s3:opus:core|s3:human:context,Impact of an LLM-based review assistant in practice: a mixed open-/closed-source
G3FISG9I,context,85JVIR9X,True,s3:opus:core|s3:human:context,"Vibe coding in practice: motivations, challenges, and a future outlook -- a grey"
5JZQD2VK,context,85JVIR9X,True,s3:opus:core|s3:human:context,Vibe coding: programming through conversation with artificial intelligence
CBXBKRA9,context,85JVIR9X,True,s3:opus:core|s3:human:context,Rethinking code review workflows with LLM assistance: an empirical study
U32NRMDM,context,85JVIR9X,True,s3:opus:core|s3:human:context,Examining software engineering practices in the pre-AI and post-AI ERA
XACCJD46,context,85JVIR9X,True,s3:opus:core|s3:human:context,Novice developers produce larger review overhead for project maintainers while v
JFFKDXG8,context,85JVIR9X,True,s3:opus:core|s3:human:context,Building software by rolling the dice: a qualitative study of vibe coding
732VDKJD,context,85JVIR9X,True,s3:opus:core|s3:human:context,Vibe coding as a reconfiguration of intent mediation in software development: de
J5TG9IQB,context,85JVIR9X,True,s3:opus:core|s3:human:context,From code-centric to intent-centric software engineering: a reflexive thematic a
7C3MCTVH,context,85JVIR9X,True,s3:opus:core|s3:human:context,Understanding dominant themes in reviewing agentic AI-authored code
HLFJPDC4,context,85JVIR9X,True,s3:opus:core|s3:human:context,A roadmap for modern code review: challenges and opportunities
5ISRZX6M,context,85JVIR9X,True,s3:opus:core|s3:human:context,Evaluating large language models for code review
2Z4PZABF,context,85JVIR9X,True,s3:opus:core|s3:human:context,Regulatory gap: why model risk management is structurally ill-suited to govern A
PG2GXVY8,context,85JVIR9X,True,s3:opus:core|s3:human:context,How readable is model-generated code? Examining readability and visual inspectio
AGMUZP58,context,85JVIR9X,True,s3:opus:core|s3:human:context,Self-admitted GenAI usage in open-source software
WNGESYPT,context,85JVIR9X,True,s3:opus:core|s3:human:context,Automated code review in practice
UDT3AA4A,context,85JVIR9X,True,s3:opus:core|s3:human:context|lit-review,A survey on the role of LLMs in AI-based software development: augmentation and 
UAIILG4K,context,85JVIR9X,True,s3:opus:core|s3:human:context|lit-review,AI-native software engineering and vibe coding: a strategic technical survey for
DZYEZVFE,context,85JVIR9X,True,s3:opus:core|s3:human:context|lit-review,Human-AI experience in integrated development environments: a systematic literat
8CQRCPW2,context,85JVIR9X,True,s3:opus:core|s3:human:context,SWE-PRBench: benchmarking AI code review quality against pull request feedback
SMJR57VX,context,85JVIR9X,True,s3:opus:core|s3:human:context,Code review agent benchmark
WBFBCN9G,context,85JVIR9X,True,s3:opus:core|s3:human:context|lit-review,"Large language models in programming: a meta-analysis of tools, users, and human"
TPAAIV8D,context,85JVIR9X,True,s3:opus:core|s3:human:context,Security degradation in iterative AI code generation: a systematic analysis of t
EVQPIQWK,context,85JVIR9X,True,s3:opus:core|s3:human:context,Poisoned ChatGPT finds work for idle hands: exploring developers’ coding practic
CLHB8SRT,context,85JVIR9X,True,s3:opus:core|s3:human:context,"More code, less understanding? On the impact of AI assistants on developers’ pro"
MQ5KZQTX,context,85JVIR9X,True,s3:opus:core|s3:human:context,Human and machine: how software engineers perceive and engage with AI-assisted c
ETHYCZEC,context,85JVIR9X,True,s3:opus:core|s3:human:context,Different by design: understanding human-AI collaboration through GitHub pull re
TNLFBKAF,context,85JVIR9X,True,s3:opus:core|s3:human:context,Generative AI vibe coding for prototyping industrial systems
2LXUVY4P,context,85JVIR9X,True,s3:opus:core|s3:human:context,A study on spec-driven development utilizing AI and vibe coding
VJ5WZ2ZE,context,85JVIR9X,True,s3:opus:core|s3:human:context,SWE-chat: coding agent interactions from real users in the wild
BISE8375,context,85JVIR9X,True,s3:opus:core|s3:human:context,Human-AI collaboration for scaling agile regression testing: an agentic-AI teamm
C76VDWWV,context,85JVIR9X,True,s3:opus:core|s3:human:context,An empirical study of generative AI adoption in software engineering
Q8Z3T386,context,85JVIR9X,True,s3:opus:core|s3:human:context|lit-review,The AI productivity paradox in software development: a meta-analysis of implemen
F4G9XXBR,context,85JVIR9X,True,s3:opus:core|s3:human:context,SysTradeBench: an iterative build-test-patch benchmark for strategy-to-code trad
735ZR4IY,context,85JVIR9X,True,s3:opus:core|s3:human:context,LLMs in coding and their impact on the commercial software engineering landscape
NB795DM8,context,85JVIR9X,True,s3:opus:core|s3:human:context,Between policy and practice: GenAI adoption in agile software development teams
A9N5BYY9,context,85JVIR9X,True,s3:opus:core|s3:human:context,AI-powered code reviews: leveraging large language models
6ABGGGRP,context,85JVIR9X,True,s3:opus:core|s3:human:context,State of AI-assisted software development
VZN9KJ7H,context,85JVIR9X,True,s3:opus:core|s3:human:context,Compile-time security analysis and optimization of sensitive string producers
33HNWZ53,context,85JVIR9X,True,s3:opus:core|s3:human:context,AgentClick: a skill-based human-in-the-loop review layer for terminal AI agents
UMCQ52IC,context,85JVIR9X,True,s3:opus:core|s3:human:context,"Humans integrate, agents fix: how agent-authored pull requests are referenced in"
V6E7B93A,context,85JVIR9X,True,s3:opus:core|s3:human:context,CR-bench: evaluating the real-world utility of AI code review agents
