item_key,decision,confidence,rationale,title,abstract,year,authors,item_type
CABVGH32,discard,high,Military lethal decision-making HITL framework applying Just War Theory is a non-transferable domain-specific loop with no structural parallel to software code review.,Artificial intelligence in military decision-making,"Applying an ethical framework grounded in human-in-the-loop principles and Just War Theory, this paper identifies key failure modes such as automation / depends on clearly defined constraints that preserve meaningful human control over lethal decision making.",2026,Aditya Bhatia,journalArticle
XEQ2XMEE,discard,medium,Empirical study of PII leakage and membership inference risks in LLM fine-tuning with synthetic data is operationalizable but domain (ML privacy research) does not address software engineering governance or AI code oversight.,Generated data with fake privacy: hidden dangers of fine-tuning large language models on generated data,"Large language models (LLMs) have demonstrated significant success in various domain-specific tasks, with their performance often improving substantially after fine-tuning. However, fine-tuning with real-world data introduces privacy risks. To mitigate these risks, developers increasingly rely on synthetic data generation as an alternative to using real data, as data generated by traditional models is believed to be different from real-world data. However, with the advanced capabilities of LLMs, the distinction between real data and data generated by these models has become nearly indistinguishable. This convergence introduces similar privacy risks for generated data to those associated with real data. In this paper, we present an empirical analysis of this underexplored issue by investigating a key question: ""Does fine-tuning with LLM-generated data enhance privacy, or does it pose additional privacy risks?"" Our study investigates this question by examining the structural characteristics of data generated by LLMs, focusing on two primary fine-tuning approaches: supervised fine-tuning (SFT) with unstructured (plain-text) generated data and self-instruct tuning. In the scenario of SFT, the data is put into a particular instruction tuning format used by previous studies. We use Personal Information Identifier (PII) leakage and Membership Inference Attacks (MIAs) on the Pythia Model Suite and Open Pre-trained Transformer (OPT) to measure privacy risks. Notably, after fine-tuning with unstructured generated data, the rate of successful PII extractions for Pythia increased by over 20%, highlighting the potential privacy implications of such approaches. Furthermore, the ROC-AUC score of MIAs for Pythia-6.9b, the second biggest model of the suite, increases over 40% after self-instruct tuning. Our results indicate the potential privacy risks associated with fine-tuning LLMs using generated data, underscoring the need for careful consideration of privacy safeguards in such approaches.",2025,Akkus; Aghdam; Li; Chu; Backes,conferencePaper
JRI3CPPZ,discard,high,Analyzes AI trends and their employment law implications for the Israeli labor market — labor policy domain without software engineering code governance angle,"Artificial intelligence in Israel, trends, developments, and implications for employment and labor policy","systems, and their degree of autonomy. / oversight, and fairness in AI-mediated workplace processes. / AI, Employmnent, LAbor, Israel, Artificial Intelligence (AI), Employment Law, Labor Market Transformation, Workforce Management, Algorithmic Decision-Making",2026,Shlomit Yanisky-Ravid,journalArticle
UZULVLNJ,discard,high,Civil rights expansion for digital discrimination and poverty paper; discrimination law domain with no software or code governance angle.,Expanding civil rights to combat digital discrimination on the basis of poverty,"updating analog-era civil rights laws for our datafied society, as well as to bolster civil rights within comprehensive data privacy protections and algorithmic / accountability standards. / poverty, discrimination, data privacy, algorithmic accountability, civil rights, artificial intelligence",2022,Michele E. Gilman,journalArticle
6SZKCNPQ,discard,medium,"EU law analysis of generative AI spanning liability, privacy, IP, and cybersecurity; primarily a legal compliance overview without operationalizable mechanisms for software engineering governance.","Generative AI in EU law: liability, privacy, intellectual property, and cybersecurity","The complexity and emergent autonomy of Generative AI systems introduce challenges in predictability and legal compliance. / privacy, intellectual property, and cybersecurity. / Generative AI, EU Law, AI Act, Large Language Models, Liability, Privacy, Intellectual Property, Cybersecurity",2024,Claudio Novelli; Federico Casolari; Philipp Hacker; Giorgio Spedicato; Luciano Floridi,journalArticle
M9RPA7DW,discard,high,Health AI interoperability and cognitive silo analysis — healthcare domain specific with no code governance angle.,The new interoperability crisis: from data silos to cognitive silos in health AI,"We align these proposals with existing governance scaffolds (NIST AI RMF 1.0; emerging regulatory transparency requirements) to reduce adoption friction / While we reference US-specific frameworks (ONC HTI-1, NIST AI RMF), the underlying patterns are jurisdiction-agnostic and adaptable to EU and other national",2026,Aayush Sisodia,journalArticle
MPYEG962,discard,high,General management framework combining ISO/process mining/blockchain — no SE code governance or AI-generated code angle,"Rebuilding the foundations of management in the AI era: a proposal for the ""quartet model"" through a symphony of ISO, process mining, IMS, and blockchain","Framework as an ""AI- readable API,"" (2) Process Mining as an ""X-ray machine for business reality,"" (3) the Integrated Management System (IMS) as an ""enterprise-wide / Integrated Management System (IMS), Process Mining, Blockchain, ISO 9001, AI Governance, AI Agent",2025,Atsushi Funaishi,journalArticle
TLIS94WL,discard,high,Domain-specific analysis of AI chatbots in banking compliance and customer service — no software engineering governance or code oversight angle,How do ChatGPT/chatbot transform the banking industry? Prospects and challenges,"This study embarks on a comprehensive exploration of the adoption and application of artificial intelligence (AI)-based chat technologies, such as ChatGPT / The findings reveal that AI chatbots, particularly in the banking sector, have significant potential in diverse areas such as compliance and risk management",2025,Abu Bakkar Siddik,journalArticle
NZ36ZISH,discard,medium,"Generic organizational decision-making framework for forecasting and data analysis; code review has specific characteristics (deterministic verification, test suites) requiring substantial re-derivation rather than direct adoption.",Human-AI collaboration models in organizational decision-making,"The integration of artificial intelligence (AI) into organizational decision-making has transformed how businesses analyze data, forecast trends, and allocate / This study contributes to organizational theory by providing a framework for deploying AI in decision-making while maintaining human oversight and accountability",2026,Basit Owolabi,journalArticle
J57IU6QE,discard,high,Clinical AI decision support framework for spine care — domain-specific HITL in healthcare with no software code governance angle.,Toward a clinically integrated AI framework for personalized spine care,"Results:To explore the feasibility of integrating patient-reported outcome measures (PROMs) with AI-assisted imaging assessment for personalized / Conclusions:The proposed framework outlines a clear pathway toward a comprehensive, multimodal AI decision-support ecosystem for spine care. / Spine AI, AI framework, human-in-the-loop, explainable AI, clinical decision support, FUTURE-AI, AI in healthcare",2025,Alemu Sisay Nigru; Sergio Benini; Yao Wang; Federico Maffezzoni; Matteo Bonetti,journalArticle
