item_key,attach_key,citation,year,title,filename,txt_path,exists,bytes
R2QMVNXI,CS6Q52AM,Chang 2025,2025,Coding with AI: from a reflection on industrial practices to future computer science and software engineering education,Chang_et_al._-_2025_-_Coding_with_AI_from_a_reflection_on_industrial_practices_to_future_computer_science_and_software_e.txt,/Users/scott/Zotero/storage/CS6Q52AM/Chang_et_al._-_2025_-_Coding_with_AI_from_a_reflection_on_industrial_practices_to_future_computer_science_and_software_e.txt,1,76016
A6ZE2A26,U92W9S9W,Ullah 2026,2026,Vibe coding on trial: operating characteristics of unanimous LLM juries,Ullah_and_Serwadda_-_2026_-_Vibe_coding_on_trial_operating_characteristics_of_unanimous_LLM_juries.txt,/Users/scott/Zotero/storage/U92W9S9W/Ullah_and_Serwadda_-_2026_-_Vibe_coding_on_trial_operating_characteristics_of_unanimous_LLM_juries.txt,1,42114
GAD5Z8PV,5XQ653UI,Vargas 2025,2025,"SLEAN: simple lightweight ensemble analysis network for multi-provider LLM coordination: design, implementation, and vibe coding bug investigation case study",Vargas_-_2025_-_SLEAN_simple_lightweight_ensemble_analysis_network_for_multi-provider_LLM_coordination_design_imp.txt,/Users/scott/Zotero/storage/5XQ653UI/Vargas_-_2025_-_SLEAN_simple_lightweight_ensemble_analysis_network_for_multi-provider_LLM_coordination_design_imp.txt,1,63348
TA6GIUK2,VX36SWXC,Zietsman 2026,2026,The specification as quality gate: three hypotheses on AI-assisted code review,Zietsman_-_2026_-_The_specification_as_quality_gate_three_hypotheses_on_AI-assisted_code_review.txt,/Users/scott/Zotero/storage/VX36SWXC/Zietsman_-_2026_-_The_specification_as_quality_gate_three_hypotheses_on_AI-assisted_code_review.txt,1,42835
3SU9QZ6F,RIXZUSC5,Parris 2026,2026,AIRA: AI-induced risk audit: a structured inspection framework for AI-generated code,Parris_-_2026_-_AIRA_AI-induced_risk_audit_a_structured_inspection_framework_for_AI-generated_code.txt,/Users/scott/Zotero/storage/RIXZUSC5/Parris_-_2026_-_AIRA_AI-induced_risk_audit_a_structured_inspection_framework_for_AI-generated_code.txt,1,48231
96XE669R,XAAJ7ESS,Zhong 2025,2025,Vibe checker: aligning code evaluation with human preference,Zhong_et_al._-_2025_-_Vibe_checker_aligning_code_evaluation_with_human_preference.txt,/Users/scott/Zotero/storage/XAAJ7ESS/Zhong_et_al._-_2025_-_Vibe_checker_aligning_code_evaluation_with_human_preference.txt,1,94416
BAWCBT9R,MSM62PT7,Zhao 2026,2026,Bias in the loop: auditing LLM-as-a-judge for software engineering,Zhao_et_al._-_2026_-_Bias_in_the_loop_auditing_LLM-as-a-judge_for_software_engineering.txt,/Users/scott/Zotero/storage/MSM62PT7/Zhao_et_al._-_2026_-_Bias_in_the_loop_auditing_LLM-as-a-judge_for_software_engineering.txt,1,121011
MFSZPSPU,UVD4W4E5,Shi 2025,2025,Towards a human-in-the-loop framework for reliable patch evaluation using an LLM-as-a-judge,Shi_et_al._-_2025_-_Towards_a_human-in-the-loop_framework_for_reliable_patch_evaluation_using_an_LLM-as-a-judge.txt,/Users/scott/Zotero/storage/UVD4W4E5/Shi_et_al._-_2025_-_Towards_a_human-in-the-loop_framework_for_reliable_patch_evaluation_using_an_LLM-as-a-judge.txt,1,55692
T8E8SCCG,WRURW7TV,Xie 2026,2026,VibeGuard: a security gate framework for AI-generated code,Xie_-_2026_-_VibeGuard_a_security_gate_framework_for_AI-generated_code.txt,/Users/scott/Zotero/storage/WRURW7TV/Xie_-_2026_-_VibeGuard_a_security_gate_framework_for_AI-generated_code.txt,1,22696
UIXCRBQX,GMKGXIED,Ferdous 2026,2026,"Safer builders, risky maintainers: a comparative study of breaking changes in human vs agentic PRs",Ferdous_et_al._-_2026_-_Safer_builders_risky_maintainers_a_comparative_study_of_breaking_changes_in_human_vs_agentic_PRs.txt,/Users/scott/Zotero/storage/GMKGXIED/Ferdous_et_al._-_2026_-_Safer_builders_risky_maintainers_a_comparative_study_of_breaking_changes_in_human_vs_agentic_PRs.txt,1,25817
5DI9B43K,9CIT2NJX,Sistla 2025,2025,Towards verified code reasoning by LLMs,Sistla_et_al._-_2025_-_Towards_verified_code_reasoning_by_LLMs.txt,/Users/scott/Zotero/storage/9CIT2NJX/Sistla_et_al._-_2025_-_Towards_verified_code_reasoning_by_LLMs.txt,1,124034
T72TU8B5,K99BC235,Shukla 2026,2026,Hedwig: dynamic autonomy for coding agents under local oversight,Shukla_et_al._-_2026_-_Hedwig_dynamic_autonomy_for_coding_agents_under_local_oversight.txt,/Users/scott/Zotero/storage/K99BC235/Shukla_et_al._-_2026_-_Hedwig_dynamic_autonomy_for_coding_agents_under_local_oversight.txt,1,44258
72W6R4JG,JT2QNTWD,Töpfer 2026,2026,"Vibe-coding: feedback-based automated verification with no human code inspection, a feasibility study",T_pfer_et_al._-_2026_-_Vibe-coding_feedback-based_automated_verification_with_no_human_code_inspection_a_feasibility_stu.txt,/Users/scott/Zotero/storage/JT2QNTWD/T_pfer_et_al._-_2026_-_Vibe-coding_feedback-based_automated_verification_with_no_human_code_inspection_a_feasibility_stu.txt,1,28100
UDVHQ5HR,35QRCZPV,Jin 2025,2025,Uncovering systematic failures of LLMs in verifying code against natural language specifications,Jin_and_Chen_-_2025_-_Uncovering_systematic_failures_of_LLMs_in_verifying_code_against_natural_language_specifications.txt,/Users/scott/Zotero/storage/35QRCZPV/Jin_and_Chen_-_2025_-_Uncovering_systematic_failures_of_LLMs_in_verifying_code_against_natural_language_specifications.txt,1,32580
TF56EPIP,XB9IZWCM,Navneet 2025,2025,Rethinking autonomy: preventing failures in AI-driven software engineering,Navneet_and_Chandra_-_2025_-_Rethinking_autonomy_preventing_failures_in_AI-driven_software_engineering.txt,/Users/scott/Zotero/storage/XB9IZWCM/Navneet_and_Chandra_-_2025_-_Rethinking_autonomy_preventing_failures_in_AI-driven_software_engineering.txt,1,97126
6NTZ85CW,DTDBXDVH,David 2025,2025,Multi-agent penetration testing AI for the web,David_and_Gervais_-_2025_-_Multi-agent_penetration_testing_AI_for_the_web.txt,/Users/scott/Zotero/storage/DTDBXDVH/David_and_Gervais_-_2025_-_Multi-agent_penetration_testing_AI_for_the_web.txt,1,68499
C88VGWMI,AGV67NJQ,Marri 2026,2026,Constitutional spec-driven development: enforcing security by construction in AI-assisted code generation,Marri_-_2026_-_Constitutional_spec-driven_development_enforcing_security_by_construction_in_AI-assisted_code_gener.txt,/Users/scott/Zotero/storage/AGV67NJQ/Marri_-_2026_-_Constitutional_spec-driven_development_enforcing_security_by_construction_in_AI-assisted_code_gener.txt,1,45503
E95T8E88,HV4AP3TI,Watanabe 2026,2026,What to cut? Predicting unnecessary methods in agentic code generation,Watanabe_et_al._-_2026_-_What_to_cut_Predicting_unnecessary_methods_in_agentic_code_generation.txt,/Users/scott/Zotero/storage/HV4AP3TI/Watanabe_et_al._-_2026_-_What_to_cut_Predicting_unnecessary_methods_in_agentic_code_generation.txt,1,27441
7V7SRG43,KF4NK8ZV,Tang 2024,2024,CodeAgent: autonomous communicative agents for code review,Tang_et_al._-_2024_-_CodeAgent_autonomous_communicative_agents_for_code_review.txt,/Users/scott/Zotero/storage/KF4NK8ZV/Tang_et_al._-_2024_-_CodeAgent_autonomous_communicative_agents_for_code_review.txt,1,121394
QWHE9EXH,87VKJV2S,Shinde 2026,2026,STELP: secure transpilation and execution of LLM-generated programs,Shinde_et_al._-_2026_-_STELP_secure_transpilation_and_execution_of_LLM-generated_programs.txt,/Users/scott/Zotero/storage/87VKJV2S/Shinde_et_al._-_2026_-_STELP_secure_transpilation_and_execution_of_LLM-generated_programs.txt,1,56074
ZUM76CCG,QFMPV7PI,Otten 2026,2026,Generative AI in systems engineering: a framework for risk assessment of large language models,Otten_et_al._-_2026_-_Generative_AI_in_systems_engineering_a_framework_for_risk_assessment_of_large_language_models.txt,/Users/scott/Zotero/storage/QFMPV7PI/Otten_et_al._-_2026_-_Generative_AI_in_systems_engineering_a_framework_for_risk_assessment_of_large_language_models.txt,1,35082
TJH7QFAX,M99D6WNN,Borg 2026,2026,"Code for machines, not just humans: quantifying AI-friendliness with code health metrics",Borg_et_al._-_2026_-_Code_for_machines_not_just_humans_quantifying_AI-friendliness_with_code_health_metrics.txt,/Users/scott/Zotero/storage/M99D6WNN/Borg_et_al._-_2026_-_Code_for_machines_not_just_humans_quantifying_AI-friendliness_with_code_health_metrics.txt,1,64052
3ZVMBGPB,ICUD94AF,Kamalı 2026,2026,Rethinking code review in the age of AI: a vision for agentic code review,Kamal_et_al._-_2026_-_Rethinking_code_review_in_the_age_of_AI_a_vision_for_agentic_code_review.txt,/Users/scott/Zotero/storage/ICUD94AF/Kamal_et_al._-_2026_-_Rethinking_code_review_in_the_age_of_AI_a_vision_for_agentic_code_review.txt,1,222429
JCTP8VXP,5E5J6AWN,Ma 2026,2026,ZORO: active rules for reliable vibe coding,Ma_et_al._-_2026_-_ZORO_active_rules_for_reliable_vibe_coding.txt,/Users/scott/Zotero/storage/5E5J6AWN/Ma_et_al._-_2026_-_ZORO_active_rules_for_reliable_vibe_coding.txt,1,94675
