item_key,decision,confidence,rationale
I4YUBE9B,discard,high,"Copyright and personality rights analysis focused on human creativity in Indian IP law with no software engineering governance angle."
63HRKWDI,keep,high,"Empirical evaluation of LLM-based PR review tools with labeled benchmark and F1 performance metrics directly operationalizable for automated oversight of AI-generated pull requests at scale."
CPDZ7BTP,discard,medium,"Behavioral bias modeling in active learning HITL environments; domain is general AI collaboration without clear transfer to software engineering code review contexts."
2FQ9YB6C,discard,high,"Economic theory of incomplete contracts applied to AI alignment — no operational mechanism or software engineering governance contribution."
FE39TKFS,discard,high,"Copyright analysis for generative AI systems focused on creative content and training data, with no code governance or software engineering angle."
F4C5BMA8,discard,medium,"Risk-based AI governance framework for Philippine legal context; IT-BPO sector is mentioned but no software code governance mechanism is presented."
2ATF53D2,keep,high,"Empirical study quantifying LLM code quality against human baselines using reproducible static analysis tools (Radon, Bandit, Pylint) across 984 samples — directly operationalizable for org risk scoring."
TF57UF8H,discard,high,"Philosophical AI alignment and moral reasoning framework with no operational mechanism applicable to software engineering governance."
FAQZFV4I,discard,high,"EU AI Act and national sovereignty analysis focused on surveillance technology; no software development or code governance angle."
VBMTDMI2,discard,medium,"Cryptographic constitutional AI governance whitepaper; describes enforcement architecture but lacks empirical grounding and no software-engineering-specific application is demonstrated."
PW5CXZYH,discard,high,"Meaningful human control analysis for autonomous weapons systems — non-software military HITL domain with no transferable mechanism."
34IJGV8N,discard,high,"EU AI Act compliance guide for academic institutions; covers general AI risk management with no software development or code governance angle."
78UAKKHY,discard,high,"Copyright eligibility framework for generative AI focused on creative content authorship and prompt engineering — no code governance angle."
7X8VS4ZE,discard,high,"Philosophical exploration of recursive AI self-creation with no operational mechanism for software engineering governance."
LWWS89GC,discard,high,"Copyright law analysis for ML model lifecycle focused on text/data mining exemptions — no code governance or software engineering angle."
46HXQP88,discard,high,"Legal implications of AI exam proctoring; non-software HITL domain with no transferable governance mechanism."
M9MSVUTQ,discard,medium,"Clinical AI study measuring XAI explanation effects on glaucoma referral accuracy; human-AI trust calibration findings are methodologically interesting but domain is medical with no software transfer argument."
8XIMPXI2,discard,high,"Algorithmic accountability design for public sector decision-making (policing, child welfare, taxation) — non-software governance domain."
3EQ6PLAW,keep,medium,"Socio-technical framework explicitly prescribing that organizational and social practices must compensate for AI shortcomings via human oversight — mechanism transfers directly to software teams governing AI-generated code."
B5QFZLT3,discard,high,"Verifiable ethical reasoning framework for AI alignment — philosophical with no operational mechanism applicable to software engineering governance."
NEHNSHCP,discard,high,"Copyright lawsuit analysis for generative AI creative content (Midjourney, OpenAI) focused on training-data provenance — no code governance angle."
QQHHRPZF,discard,medium,"Vibe coding paradigm is explicitly invoked but the paper focuses entirely on interpreter productivity without any governance, risk, or oversight angle."
HWZV89ED,discard,medium,"MDA/MVC/HITL framework for marketing content classification includes provenance tagging and human review but domain is marketing intelligence with no software code governance application."
Y848CEL8,discard,high,"Descriptive computational literature review of GenAI landscape covering curriculum, pedagogy, and research workflows — no operational mechanism for software engineering governance."
MQKWBFZQ,discard,high,"Exploratory survey establishing that AI chatbots pose cybersecurity risks — descriptive only with no measurement methodology or governance response."
UDEHDB27,keep,high,"Empirical study of 4,550 agentic PRs quantifying agent logging compliance failure rates (67%) and human 'silent janitor' repair burden (72.5%), directly actionable for deterministic guardrail design."
W6UA7CNM,keep,high,"MLR synthesizing AI software engineering strengths and weaknesses explicitly identifies security risks from AI-generated code requiring human oversight as a governance imperative."
ETHYCZEC,keep,high,"Statistical analysis of AI vs. human PR rejection rates with labeled failure modes and maintainability impact tracking across real GitHub data — directly operationalizable for PR triage and oversight prioritization."
BBFX7GCN,discard,medium,"AI alignment with organizational values using synthetic data in a stylized economic environment — no software engineering context and synthetic rather than empirical grounding limits operationalizability."
NBVGFYQX,discard,high,"Aviation maintenance troubleshooting agent addressing LLM factual grounding — domain-specific agentic AI with no transferable software governance mechanism."
5JGFDZII,discard,medium,"Empirical API design governance study with developer experiment; focused on API specification quality and usability rather than AI code risk, vulnerability, or oversight scaling."
WRFD7ERI,discard,medium,"Broad AI adoption guide synthesizing frameworks (NIST, OECD, EU AI Act) with adoption metrics; primarily productivity and change management focused without code-specific governance mechanism."
ZBQ65FKI,keep,high,"RL approach using static analysis metrics as reward signals demonstrating 23% improvement in test quality and near-100% syntactic correctness — directly operationalizable for governing AI-generated test suites."
