[2026-06-03 04:56:34] === apply_screening_decisions.py ===
[2026-06-03 04:56:34] Input: /home/scott/slr/phase2/apply_all.csv
[2026-06-03 04:56:34] Mode:  APPLY (writes)
[2026-06-03 04:56:34]   Loaded 3954 rows with valid 8-char item keys from /home/scott/slr/phase2/apply_all.csv
[2026-06-03 04:56:34] Detected screener columns: {'claude': 'decision'}
[2026-06-03 04:56:34] Union rule: human=NO, claude=YES
[2026-06-03 04:56:34] Scanning collections to build bucket map...
[2026-06-03 04:56:37]   Bucket map entries: 44
[2026-06-03 04:56:37] 
Processing 3954 rows...
[2026-06-03 04:56:37] Screener columns detected: {'claude': 'decision'}
[2026-06-03 04:56:37] Union rule: human_decision > claude_decision
[2026-06-03 04:56:37] Tag policy: reconcile (one s1:<screener>:* tag per screener, matching CSV)
[2026-06-03 04:56:37] Mode: APPLY (writes)
[2026-06-03 04:56:37] 
[2026-06-03 04:56:37]   IBPAJZWZ [discard]
[2026-06-03 04:56:37]     - tags: ['s1:claude:keep']
[2026-06-03 04:56:39]   6IB54Q33 [discard]
[2026-06-03 04:56:39]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:40]   V3LNSZEI [discard]
[2026-06-03 04:56:40]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:41]   4PHG6XL5 [discard]
[2026-06-03 04:56:41]     - tags: ['s1:claude:keep']
[2026-06-03 04:56:42]   2U9MPNDK [discard]
[2026-06-03 04:56:42]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:44]   4GZ4U374 [discard]
[2026-06-03 04:56:44]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:45]   FW3MNAVJ [discard]
[2026-06-03 04:56:45]     - tags: ['s1:claude:keep']
[2026-06-03 04:56:46]   2WWU3WZT [discard]
[2026-06-03 04:56:46]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:47]   ULSD8EAL [discard]
[2026-06-03 04:56:47]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:48]   9BC87S6I [discard]
[2026-06-03 04:56:48]     - tags: ['s1:claude:keep']
[2026-06-03 04:56:49]   CZ7BPATM [discard]
[2026-06-03 04:56:49]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:51]   W5KDK58B [discard]
[2026-06-03 04:56:51]     - tags: ['s1:claude:keep']
[2026-06-03 04:56:53]   RAAL7TE2 [discard]
[2026-06-03 04:56:53]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:54]   N34K4P4X [discard]
[2026-06-03 04:56:54]     - tags: ['s1:claude:keep']
[2026-06-03 04:56:55]   8XG6N7AQ [discard]
[2026-06-03 04:56:55]     - tags: ['s1:claude:maybe']
[2026-06-03 04:56:56]   MAU8TWX3 [discard]
[2026-06-03 04:56:56]     - tags: ['s1:claude:keep']
[2026-06-03 04:56:58]   HFTRZARQ [discard]
[2026-06-03 04:56:58]     - tags: ['s1:claude:keep']
[2026-06-03 04:56:59]   S5772XZX [discard]
[2026-06-03 04:56:59]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:00]   6N5BE2V2 [discard]
[2026-06-03 04:57:00]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:01]   HP5GTTYZ [discard]
[2026-06-03 04:57:01]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:02]   AX9JFDDG [discard]
[2026-06-03 04:57:02]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:03]   3FLXS8BF [discard]
[2026-06-03 04:57:03]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:04]   HY2L4X4Q [discard]
[2026-06-03 04:57:04]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:05]   9Z7AEMPK [discard]
[2026-06-03 04:57:05]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:07]   8CBG8UBY [discard]
[2026-06-03 04:57:07]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:08]   GGY6YJC4 [discard]
[2026-06-03 04:57:08]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:09]   3UMCDE3C [discard]
[2026-06-03 04:57:09]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:10]   7LCL9Y5Z [discard]
[2026-06-03 04:57:10]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:11]   CD6QMB65 [discard]
[2026-06-03 04:57:11]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:12]   39TMIIDZ [discard]
[2026-06-03 04:57:12]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:14]   9XIR5ZXG [discard]
[2026-06-03 04:57:14]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:15]   J2F8PENI [discard]
[2026-06-03 04:57:15]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:16]   RXIKLFDJ [discard]
[2026-06-03 04:57:16]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:17]   2TIXA9RB [discard]
[2026-06-03 04:57:17]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:18]   7CZGPX2A [discard]
[2026-06-03 04:57:18]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:19]   LJQLX7LY [discard]
[2026-06-03 04:57:19]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:20]   4BUBL8RT [discard]
[2026-06-03 04:57:20]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:21]   S26DV7QF [discard]
[2026-06-03 04:57:21]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:22]   KJ3IDLSJ [discard]
[2026-06-03 04:57:22]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:23]   Progress: 50/3954 rows — updates=0 +tags=0 -tags=39 conflicts=0 errors=0
[2026-06-03 04:57:23]   LF6FVB7H [discard]
[2026-06-03 04:57:23]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:24]   MLPA42M7 [keep]
[2026-06-03 04:57:24]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:25]   459P97KX [discard]
[2026-06-03 04:57:25]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:27]   H2T77AQK [discard]
[2026-06-03 04:57:27]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:28]   7JQM6IN7 [discard]
[2026-06-03 04:57:28]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:29]   VCKLHPJB [discard]
[2026-06-03 04:57:29]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:30]   GAKL8VPV [discard]
[2026-06-03 04:57:30]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:31]   72ZFAATH [discard]
[2026-06-03 04:57:31]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:32]   VLHAGRAA [discard]
[2026-06-03 04:57:32]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:33]   WVHZXPXX [discard]
[2026-06-03 04:57:33]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:34]   2NJB4P7T [discard]
[2026-06-03 04:57:34]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:35]   BQF4J667 [discard]
[2026-06-03 04:57:35]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:36]   MGS5DY74 [discard]
[2026-06-03 04:57:36]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:38]   SLBHD4FQ [discard]
[2026-06-03 04:57:38]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:40]   5X5SZJ7M [discard]
[2026-06-03 04:57:40]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:41]   TUQHVDRU [discard]
[2026-06-03 04:57:41]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:42]   NTGFJI6V [discard]
[2026-06-03 04:57:42]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:43]   CSZJAX7U [discard]
[2026-06-03 04:57:43]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:44]   RZRW87WI [discard]
[2026-06-03 04:57:44]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:45]   FWMLDQD9 [discard]
[2026-06-03 04:57:45]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:46]   PBX8JLIQ [discard]
[2026-06-03 04:57:46]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:48]   5BWV4GDM [discard]
[2026-06-03 04:57:48]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:49]   LNJVL85B [discard]
[2026-06-03 04:57:49]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:50]   XXSSALRL [discard]
[2026-06-03 04:57:50]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:51]   UGGQB3J2 [discard]
[2026-06-03 04:57:51]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:52]   NRNJZRMX [discard]
[2026-06-03 04:57:52]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:53]   DVC6GTG5 [discard]
[2026-06-03 04:57:53]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:54]   KDXSF6GS [discard]
[2026-06-03 04:57:54]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:55]   JTEYUJPA [discard]
[2026-06-03 04:57:55]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:56]   NKW6Z96Q [discard]
[2026-06-03 04:57:56]     - tags: ['s1:claude:maybe']
[2026-06-03 04:57:58]   F7RTIMD9 [discard]
[2026-06-03 04:57:58]     - tags: ['s1:claude:keep']
[2026-06-03 04:57:59]   HRE92EIT [discard]
[2026-06-03 04:57:59]     - tags: ['s1:claude:keep']
[2026-06-03 04:58:00]   T5TYJAP7 [discard]
[2026-06-03 04:58:00]     - tags: ['s1:claude:maybe']
[2026-06-03 04:58:01]   67AWNH3C [discard]
[2026-06-03 04:58:01]     - tags: ['s1:claude:maybe']
[2026-06-03 04:58:02]   PZUJZHGN [discard]
[2026-06-03 04:58:02]     - tags: ['s1:claude:maybe']
[2026-06-03 04:58:03]   RTND7XRC [discard]
[2026-06-03 04:58:03]     - tags: ['s1:claude:keep']
[2026-06-03 04:58:04]   RHGHWPZT [discard]
[2026-06-03 04:58:04]     - tags: ['s1:claude:maybe']
[2026-06-03 04:58:05]   88XX3Y6Q [discard]
