item_key,decision,confidence,rationale,prior_decision,prior_confidence
986DSDWX,discard,medium,"Paper presents financial AI governance framework with human oversight mechanisms; while risk control and escalation concepts are generic, the financial decision context (credit assessment, fraud monitoring) requires substantial domain re-derivation—the failure modes and oversight triggers don't map to code review without significant translation work.",maybe,medium
ASD3EP5G,discard,high,"Research outlook paper identifying oversight loss and epistemic fragility as challenges—correctly identifies problems relevant to agentic coding tools but provides no operationalizable mechanism or framework, only a research agenda.",maybe,medium
Q9CDH2YB,discard,high,"Abstract consists only of keywords with no methodology, framework, or findings visible; cannot verify any operationalizable contribution exists.",maybe,low
83ZMMU6H,discard,medium,"Multi-domain review identifies unresolved questions about human oversight for ML-enabled changes but does not provide operationalizable solutions—the key contribution is 'this is an open problem deserving further research' rather than a mechanism SE orgs can adopt.",maybe,medium
JSWRRJ89,discard,high,"Analyzes value-ladenness challenges in AI Act standards-making process; this is meta-level standards policy analysis without actionable guidance for engineering organizations implementing compliance.",maybe,medium
HNRMAX7G,discard,high,"Highly abstract cybernetic theory with 'fractal governance' and 'cognitive flywheel' constructs; empirical validation is proposed future work (PLS-SEM agenda) not completed research—no operationalizable mechanism an SE org could act on today.",maybe,medium
BPL78SWJ,keep,medium,"Deterministic audit architecture emphasizing reproducibility over accuracy for compliance-grade AI auditing presents a transferable principle; while metrics are employment-domain-specific, the reproducibility-first compliance architecture translates directly to AI code quality auditing contexts.",maybe,medium
QIDAHDRS,discard,medium,"Primary contribution is benchmark creation for evaluating LLM software development capabilities; while HITL annotation framework exists, it serves benchmark construction rather than providing an ongoing governance or oversight mechanism for SE organizations.",maybe,medium
WXBMMVX9,keep,medium,"Trust calibration framework drawing explicitly on human-automation interaction research from high-stakes environments; the underlying psychology of trust calibration, AI adoption resistance, and fiduciary oversight transfers directly to code review contexts without domain-specific re-derivation.",maybe,medium
TF38UFMR,discard,medium,"Conceptual governance framework describing 'recursive risk' and 'operational instability' for agentic AI; abstract provides no specific mechanism or measurement methodology—remains at theoretical framing level without operationalizable contribution.",maybe,medium
K9A8Z32M,keep,medium,"SLR of 238 studies quantifies tight correlations among reproducibility, hallucinations, and interpretability challenges (>=35% co-occurrence), concluding these require coordinated solutions not isolated fixes; governance-aware development roadmap is actionable and directly software-relevant.",maybe,medium
6F5S59DR,keep,medium,"Proposes real-time adversarial auditing mechanism and explicitly critiques HITL fallacies; while framed in corporate governance context, the adversarial auditing approach and cognitive fluency oversight standard transfer to engineering team contexts.",maybe,medium
JXTFT642,discard,high,"EU reproduction right liability analysis using media/streaming case law; legal liability framework without governance mechanism or code-specific applicability—provides legal background but nothing SE orgs can operationalize.",maybe,medium
KWTKFL8V,discard,high,"EU product liability framework overview for generative AI; legal analysis of liability allocation without governance mechanisms—understanding liability risk is context but paper provides no actionable framework for managing AI code quality.",maybe,medium
ZX8V7UJS,keep,high,"Empirically quantifies LLM vs human SRE diagnostic accuracy (44-74% vs 80%+) with reproducible chaos engineering methodology; demonstrates measurable human oversight necessity and finding that 'LLMs can be co-pilots but human oversight remains essential' transfers directly to code review.",maybe,medium
Z2VYE325,keep,medium,"Proposes concrete mechanisms: intent-gating, capability-scoping, evidence-generation with tamper-evident logs for agentic AI; even if specific DSL is pre-release, the policy-as-code architecture for constraining agentic AI operations provides operationalizable governance concepts.",maybe,medium
XIMJ3DHW,discard,high,"Single-sentence abstract provides no information about domain, methodology, or specific mechanism; cannot assess operationalizability or transferability from this level of detail.",maybe,low
W45LQPBM,discard,medium,"Motivation-agnostic harm prevention framework for general technology development; abstract does not establish specific connection to AI code governance—framework may be useful but transferability to code review oversight context is not demonstrated.",maybe,medium
DYYFCXQD,discard,medium,"TDM copyright legal analysis explicitly addressing computer programs; provides legal classification context for AI training on code but no governance mechanism for SE organizations—legal background rather than operational framework.",maybe,medium
JCAQ3AHU,keep,low,"Practical AI compliance methodology using established Fraunhofer Assessment Catalogue for EU AI Act; abstract is fragmentary but Fraunhofer catalogue is known to cover software/ML systems—practical compliance assessment tool likely operationalizable pending full-text verification.",maybe,medium
