item_key,title,abstract,authors,year,item_type,sources,source_queue
PWFUMPEV,"Generative AI, copyright and the AI act","The discussion begins with an overview of fundamental copyright concerns related to generative AI, focusing on issues that arise during the input, model / The core analysis addresses the AI Act's impact on copyright, including the role of TDM in AI model training, the copyright obligations imposed by the / Generative AI, AI Act, AI, copyright, text and data mining, transparency, content moderation, DSA, fair remuneration",João Pedro Quintais,2024,journalArticle,ssrn,maybe_queue
NM2DSLZ7,Critical thinking in mitigating AI-induced managerial decision-making loss in Africa,"This study explores the impact of Artificial Intelligence (AI) on the competencies required of human resources and managers in decision-making, examining the balance between opportunities and challenges posed by AI. Purpose: The research aims to understand how AI influences decision-making and the critical skills managers and Human Resources (HR) professionals need in this evolving landscape. Design/Methodology/Approach: A desk research methodology was employed, synthesising findings from sources like Elsevier, Wiley and Emerald. Keywords such as AI, decision-making, HR soft skills and critical thinking guided the search to create a cohesive conceptual framework by integrating key studies. Findings: AI can accelerate decision-making through real-time forecasts but may lead to 'deskilling' or a decline in human expertise. Critical thinking and soft skills are essential to bridge gaps requiring human judgement and insight. Research Limitations: Africa's cultural, political and economic diversity may limit the applicability of the proposed frameworks across the continent. Practical Implications: The proposed model fosters critical thinking, enabling ethical and well-informed decision-making while reducing over-reliance on AI. It ensures culturally appropriate solutions, enhances adaptability and promotes regionally relevant problem-solving through AI literacy and continuous education. Social Implications: Promoting critical thinking in AI applications can preserve local knowledge, reduce inequality and ensure equitable distribution of AI benefits across African societies. Originality/Value: This study highlights the evolving dynamics of managerial roles and decision-making in the context of AI, providing insights into the balance between technological opportunities and human expertise. © 2025 Gladys Esinu Abiew, George Kofi Amoako and Emem Anwana.",Abiew; Amoako; Anwana,2025,journalArticle,,maybe_queue
2VYT4B7G,Artificial intelligence risk management framework (AI RMF 1.0),"As directed by the National Artificial Intelligence Initiative Act of 2020 (P.L. 116-283), the goal of the AI RMF is to offer a resource to the organizations designing, developing, deploying, or using AI systems to help manage the many risks of AI and promote trustworthy and responsible development and use of AI systems. The Framework is intended to be voluntary, rights-preserving, non-sector specific, and use-case agnostic, providing flexibility to organizations of all sizes and in all sectors and throughout society to implement the approaches in the Framework.   The AI RMF is intended to be practical, to adapt to the AI landscape as AI technologies continue to develop, and to be operationalized by organizations in varying degrees and capacities so society can benefit from AI while also being protected from its potential harms.",National Institute Of Standards And Technology,2023,report,coursework,keep_queue
QWHE9EXH,STELP: secure transpilation and execution of LLM-generated programs,"Rapid evolution of Large Language Models (LLMs) has achieved major advances in reasoning, planning, and function-calling capabilities. Multi-agentic collaborative frameworks using such LLMs place them at the center of solving software development-related tasks such as code generation. However, direct use of LLM generated code in production software development systems is problematic. The code could be unstable or erroneous and contain vulnerabilities such as data poisoning, malicious attacks, and hallucinations that could lead to widespread system malfunctions. This prohibits the adoption of LLM generated code in production AI systems where human code reviews and traditional secure testing tools are impractical or untrustworthy. In this paper, we discuss safety and reliability problems with the execution of LLM generated code and propose a Secure Transpiler and Executor of LLM-Generated Program (STELP), capable of executing LLM-generated code in a controlled and safe manner. STELP secures autonomous production AI systems involving code generation, filling the critical void left by the impracticality or limitations of traditional secure testing methodologies and human oversight. This includes applications such as headless code generation-execution and LLMs that produce executable code snippets as an action plan to be executed in real time. We contribute a human-validated dataset of insecure code snippets and benchmark our approach on publicly available datasets for correctness, safety, and latency. Our results demonstrate that our approach outperforms an existing method by a significant margin, particularly in its ability to safely execute risky code snippets. Warning: This paper contains malicious code snippets that should be run with caution.",Shinde; Wadhwa; Luo; Gupta; Sorower,2026,preprint,arxiv,keep_queue
YN8I86TE,"Debating autonomous weapon systems, their ethics, and their regulation under international law","autonomous weapon systems, AWS, robotic weapons, Killer Robot, law of armed conflict, international humanitarian law, IHL, targeting, meaningful human / control, technology, regulation, emerging technologies, robotics, artificial intelligence, AI",Kenneth Anderson; Matthew C. Waxman,2017,journalArticle,ssrn,maybe_queue
5AV6595H,Application of generative ai (chatgpt as example) in risk management,"which models based on artificial intelligence are used in banking services (more specifically GPT - Generative Pre-trained Transformer - models), and in risk / It also assesses the quantitative capabilities of ChatGPT through the analysis of two business cases, the first mainly related to risk measurement and / Generative AI, ChatGPT, OpenAI, Risk Management, Banking",Soumaya BIDAH; Khadija Akdim; Mehdi Zahid,2024,journalArticle,ssrn,maybe_queue
MZF9GATE,Beyond verilog: agents for emerging HDLs,"Large Language Models (LLMs) are transforming the programming language landscape, but their effectiveness is limited for niche Hardware Description Languages (HDLs) due to insufficient training data. This paper introduces HDLAgent, an agentic AI framework that enhances LLMs’ proficiency with underrepresented HDLs.Our agent employs two key mechanisms: HDL description summaries that facilitate knowledge transfer from familiar languages like Verilog, and enhanced grounding through compiler error feedback. We demonstrate that HDLAgent significantly improves code generation across multiple HDLs. For example, PyRTL’s functional correctness rate improves from 0% to 35% with Mixtral 8x7B, and Chisel’s success rate increases from 0% to 59% with GPT-3.5-turbo. For small code samples (under 25 lines), HDLAgent achieves over 90% success across all tested HDLs. Beyond performance metrics, we provide insights on scalability limitations with increasing code complexity and propose modifications to HDL designs that could better accommodate LLM-based generation.",F. Rabiei; M. Zakharov; J. Renau,4-6 ,conferencePaper,arxiv|ieee|scopus,maybe_queue
A89Y4K9Q,"AI capone, or the criminal masterminds of the future: the imagined possibilities of malevolent artificial intelligence with an emphasis on money laundering","intelligence (AI), it is reasonable to assume that the rapid development and commercialisation of revolutionary AI technologies will ultimately lead to their adoption / AI, AI regulation, Philosophy of Law, Ethical AI, Responsible AI, AML, Money Laundering",Georgios Pavlidis,2025,journalArticle,ssrn,maybe_queue
AB6AAWKZ,Navigating ethical and risk challenges in advanced ai technologies for enterprise environments,"As organizations increasingly integrate AI solutions such as generative AI, large language models, and diffusion models, they encounter a multifaceted / highlights the critical importance of ethical considerations in AI development and deployment, proposing methods to ensure fairness, transparency, and accountability",N Thanuja; Dr V V Subba Rao,2025,journalArticle,ssrn,keep_queue
IJNY72YE,"Toward a taxonomy of generative AI use cases in business contexts: integrating complexity, risk, and strategy","Enterprises adopting generative AI lack systematic frameworks to classify use cases by complexity, assess associated risks, and sequence implementation according to organizational readiness. We synthesize five perspectives from academic and industry literature — application context, value creation, strategic alignment, technical autonomy, and data governance — to develop a multi-dimensional taxonomy for generative AI deployment. Our taxonomy classifies use cases into four ascending complexity levels: (A) work assistants, (B) automated code generation, (C) system-integrated text generation, and (D) tool use. Each level builds upon prior capabilities while introducing distinct technical, organizational, and risk management requirements. We map these patterns across two application contexts: internal operational efficiency and external customer experience enhancement, showing how risk profiles differ between them. By cross-referencing our taxonomy with the five analytical perspectives, we demonstrate how enterprises can assess current maturity, identify strategically aligned use cases, and construct phased implementation roadmaps that balance innovation velocity with risk governance. This framework bridges technical feasibility assessments with business value realization, enabling evidence-based generative AI adoption across industries. © 2026 The Author. Published by Elsevier B.V. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/",Stein,2026,journalArticle,,keep_queue
