seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,8TD7PXM7,Toward author-guided review: an agentic architecture for reflective code review,2026,conferencePaper,"Modern code review (MCR) is an essential practice for software quality assurance, and recent efforts in artificial intelligence (AI) have created new opportunities to support practitioners in their reviews. While AI has been explored for automated defect detection, we observe a shift toward collaborative support in MCR. In addition, empirical evidence indicates that some concerns raised by reviewers require domain-specific contextualization, which may involve tacit knowledge from the people involved. Grounded in these observations, we posit that proactively supporting authors to reflect on their changes before review activity offers significant practical benefits. In this paper, we propose an agentic architecture based on an author-guided review theory to assist developers before MCR. By helping authors anticipate reviewer likely concerns, the proposed approach supports self-reflection on quality aspects. We discuss the theoretical foundations, provide an illustrative scenario, and outline future directions, highlighting how agentic support can enhance code quality while keeping humans in the loop.",,,,
2,RPHK78A9,"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond",2025,book,"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond (2025) by Gene Kim and Steve Yegge provides a comprehensive practitioner guide to AI-assisted software development, from individual productivity techniques to organizational governance at scale. The book introduces a taxonomy of AI coding modes (completions, chat, agentic) and argues that the bottleneck in AI-augmented development is shifting from code generation to oversight, testing, and organizational coordination. Part 4 is particularly relevant to AI governance research: it documents the 2024 DORA anomaly (every 25% increase in GenAI adoption correlating with 7% worse stability and 1.5% throughput reduction), presents empirical case studies from Adidas (700 developers) and Booking.com (3,000+ developers), and frames organizational ""Layer 3 wiring"" — governance structures, standards, and accountability mechanisms — as the critical determinant of whether AI coding amplifies or degrades software delivery performance. The book articulates practitioner-level governance mechanisms including risk-based ownership (""you build it, you run it""), automated code review agents, organizational standards documentation (AGENTS.md), and tiered governance frameworks. Foreword by Dario Amodei, CEO of Anthropic.",,,,
3,QBZTPWQR,Everything is context: agentic file system abstraction for context engineering,2025,preprint,"Generative AI (GenAI) has reshaped software system design by introducing foundation models as pre-trained subsystems that redefine architectures and operations. The emerging challenge is no longer model fine-tuning but context engineering-how systems capture, structure, and govern external knowledge, memory, tools, and human input to enable trustworthy reasoning. Existing practices such as prompt engineering, retrieval-augmented generation (RAG), and tool integration remain fragmented, producing transient artefacts that limit traceability and accountability. This paper proposes a file-system abstraction for context engineering, inspired by the Unix notion that 'everything is a file'. The abstraction offers a persistent, governed infrastructure for managing heterogeneous context artefacts through uniform mounting, metadata, and access control. Implemented within the open-source AIGNE framework, the architecture realises a verifiable context-engineering pipeline, comprising the Context Constructor, Loader, and Evaluator, that assembles, delivers, and validates context under token constraints. As GenAI becomes an active collaborator in decision support, humans play a central role as curators, verifiers, and co-reasoners. The proposed architecture establishes a reusable foundation for accountable and human-centred AI co-work, demonstrated through two exemplars: an agent with memory and an MCP-based GitHub assistant. The implementation within the AIGNE framework demonstrates how the architecture can be operationalised in developer and industrial settings, supporting verifiable, maintainable, and industry-ready GenAI systems.",,,,
4,M26KA89J,"Cyborgs, centaurs and self-automators: the three modes of human-GenAI knowledge work and their implications for skilling and the future of expertise",2024,journalArticle,"Research on human–AI collaboration in professional settings has focused primarily on isolated interactions between knowledge professionals and AI, usually / We show how what seems to be the same “human-in-the-loop” workflow for decision making is actually enacted in three ways with significantly different implications / generative AI, artificial intelligence, knowledge work, co-creation, human-AI interaction, future of work, responsible AI",,,,
5,2ATF53D2,Can LLMs generate higher quality code than humans? An empirical study,2025,conferencePaper,"Large Language Models are being extensively used for AI-assisted programming and code generation. The challenge is to ensure that the generated code is not only functionally correct but also safe, reliable and trustworthy. In this direction, we conduct a comprehensive empirical analysis of AI-generated code to assess whether large language models (LLMs) can produce correct and higher-quality code than humans. We evaluate the code quality of 984 code samples generated by GPT-3.5-Turbo and GPT-4 using various prompt types (simple, instructional, and enhanced) against input queries from the HumanEval dataset. We also enhance the HumanEval benchmark by calculating code quality metrics for the human-written code it contains. Code quality metrics are calculated using established tools like Radon, Bandit, Pylint, and Complexipy, with human-written code serving as a baseline for comparison. To quantify performance, we employ the TOPSIS method to rank the models and human code by their proximity to ideal and anti-ideal code quality metrics. Our results demonstrate that GPT-4, when used with advanced prompts, produces code closest to the ideal solution, outperforming human-written code in several key metrics. Our work provides evidence that LLMs, when properly guided, can surpass human developers in generating high-quality code. Our code and datasets are available online.",,,,
6,9S7TPW3X,Can we trust the AI pair programmer? Copilot for API misuse detection and correction,2025,conferencePaper,"API misuse introduces security vulnerabilities, system failures, and increases maintenance costs, all of which remain critical challenges in software development. Existing detection approaches rely on static analysis or machine learning-based tools that operate post-development, which delays defect resolution. Delayed defect resolution can significantly increase the cost and complexity of maintenance and negatively impact software reliability and user trust. AI-powered code assistants, such as GitHub Copilot, offer the potential for real-time API misuse detection within development environments. This study evaluates GitHub Copilot's effectiveness in identifying and correcting API misuse using MUBench, which provides a curated benchmark of misuse cases. We construct 740 misuse examples, manually and via AI-assisted variants, using correct usage patterns and misuse specifications. These examples and 147 correct usage cases are analyzed using Copilot integrated in Visual Studio Code. Copilot achieved a detection accuracy of 86.2 %, precision of $\mathbf{9 1. 2 \%}$, and recall of $\mathbf{9 2. 4 \%}$. It performed strongly on common misuse types (e.g., missing/call, null_check) but struggled with compound or context-sensitive cases. Notably, Copilot successfully fixed over 95% of the misuses it identified. These findings highlight both the strengths and limitations of AI-driven coding assistants, positioning Copilot as a promising tool for real-time pair programming and detecting and fixing API misuses during software development.",,,,
7,TLLPXSB5,Enhancing cloud security assessment frameworks for the generative AI era: an action design research approach,2025,conferencePaper,"This study addresses how cloud security assessment frameworks can evolve to counter risks introduced by Generative AI (GAI) in software development. Using Action Design Research, we identify gaps between the Cloud Security Alliance's Consensus Assessments Initiative Questionnaire (CAIQ) and NIST's Secure Software Development Framework (SSDF), focusing on AI-specific security considerations. We developed enhanced assessment questions addressing both traditional and AI-specific vulnerabilities, then evaluated their effectiveness by analyzing cybersecurity disclosures in 50 cloud vendors' 10-K filings using GPT-40. Results reveal that while organizations implement traditional security measures, AI-specific practices-including model governance, adversarial testing, and incident response-remain underdeveloped. We contribute theoretical insights into evolving security frameworks and practical recommendations for strengthening cybersecurity in AI-driven cloud environments. © AMCIS 2025.All rights reserved.",,,,
8,UU8XQFGB,Agent trajectory explorer: visualizing and providing feedback on agent trajectories,2025,conferencePaper,"Agentic systems interleave large language model (LLM) reasoning, tool usage, and tool observations over multiple iterations to tackle complex tasks. The raw data from an agent's problem-solving process (the agents' trajectory) is not an ideal format for human analysis and oversight. There is a need for tooling that converts this primary data into an easily navigable and understandable visual format for better human feedback. To address this opportunity, we developed the Agent Trajectory Explorer, a tool designed to help AI developers and researchers visualize, annotate, and demonstrate agent behavior. Copyright © 2025, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,,,
9,5HT7MJV3,Agentic workflow drift and agentic workflow subversion: a new risk taxonomy for the governance of agentic AI in financial services,2026,journalArticle,"As agentic AI moves into workflow orchestration, a new failure mode is emerging workflows that execute correctly against definitions that were never explicitly / author's knowledge, the first risk taxonomy developed specifically for the reasoning layer of agentic AI systems in financial services, reframing AI risk / Knowledge Graph, AI Governance, Operational Risk, Control Architecture, Banking Controls, Agentic AI, Model Risk Management, Financial Regulation, Workflow",,,,
10,8IQR9PNB,Code with me or for me? How increasing AI automation transforms developer workflows,2026,conferencePaper,"Developers now have access to a growing array of increasingly autonomous AI tools for software development. While many studies examine copilots that provide chat assistance or code completions, evaluations of coding agents—which can automatically write files and run code—still rely on static benchmarks. We present the first controlled study of developer interactions with coding agents, characterizing how more autonomous AI tools affect productivity and experience. We evaluate two leading copilot and agentic coding assistants, recruiting participants who regularly use the former. Our results show agents can assist developers in ways that surpass copilots (e.g., completing tasks humans may not have accomplished) and reduce the effort required to finish tasks. Yet challenges remain for broader adoption, including ensuring users adequately understand agent behaviors. Our findings reveal how workflows shift with coding agents and how interactions differ from copilots, motivating recommendations for researchers and highlighting challenges in adopting agentic systems.",,,,
