item_key,sonnet_decision,sonnet_confidence,sonnet_rationale,opus_decision,opus_confidence,opus_rationale,escalation_reason,reviewer_decision,reviewer_notes
8GRSSX8L,maybe,medium,"AI-generated code for hardware verification with prompt engineering and oversight insights, but FPGA domain specificity requires argument to transfer to general software development governance workflows",keep,low,Closed-loop generation-verification methodology with documented prompt engineering lessons for AI-generated code; FPGA domain but the verification pattern and prompt discipline findings transfer to general code generation governance,opus_low_confidence,,
PB7TLUBD,keep,low,"Directly addresses AI-driven code review transformation in software engineering, but thin abstract prevents determining whether operationalizable methodology or descriptive reflection is offered",keep,low,Directly addresses AI-driven code review and refactoring in SE; 'reflects on' language suggests descriptive but domain alignment is exact — human should verify whether actionable methodology exists beyond reflection,opus_low_confidence,,
ZGUIZ7AP,maybe,medium,Proposes operationalized framework for meaningful human control with enforceable audit mechanisms for military AI — human control and audit components could transfer to software engineering oversight but military procurement domain requires translation,discard,low,Military procurement domain requires substantial re-derivation; 'meaningful human control' and 'audit mechanisms' are stated but the specific operationalization is tied to procurement and IHL contexts without transferable mechanism detail,opus_low_confidence,,
M87789CG,maybe,low,"Part of a series on accountability, auditability, and operational viability for probabilistic and agentic AI systems — thin abstract prevents confident assessment of whether structural commitment framework is operationalizable for software engineering code governance",discard,low,Abstract too thin to assess operationalizability; 'structural commitment' concept is philosophical framing without clear mechanism — series framing suggests theoretical work without engineering actionability,opus_low_confidence,,
4J2KY56A,maybe,medium,"Human-GAI collaboration trust and calibration findings are plausibly relevant to software oversight design, but the domain (general GAI teamwork) requires translation to code review contexts.",keep,low,Over-reliance and trust calibration dynamics in human-GAI collaboration provide transferable behavioral mechanisms for oversight design though code review translation requires interpretation,opus_low_confidence,,
2D5LCIUP,maybe,low,Distinguishes technical from governance AI audits with practical guidelines — potential tool for software organizations but abstract is too thin to assess scope or operationalizable content,keep,low,Technical vs governance audit distinction provides useful taxonomy for SE organizations structuring AI audit programs; thin abstract but the distinction itself is operationalizable,opus_low_confidence,,
JCAQ3AHU,maybe,medium,Practical AI compliance assessment methodology using Fraunhofer catalogue for EU AI Act; abstract too thin to confirm whether assessment scope covers software development contexts specifically,keep,low,Practical AI compliance methodology using established Fraunhofer Assessment Catalogue for EU AI Act; abstract is fragmentary but Fraunhofer catalogue is known to cover software/ML systems—practical compliance assessment tool likely operationalizable pending full-text verification.,opus_low_confidence,,
JUYPVSIW,keep,low,"No abstract available; title indicates empirical study of global AI coding tool diffusion and impact, which would be directly relevant to understanding AI code generation adoption at scale",keep,low,Title indicates empirical diffusion study of AI coding tools — directly within Tier 1 scope; absent abstract forces reliance on title but global adoption data would inform governance scaling decisions; human verification needed,opus_low_confidence,,
K8PJIPQJ,keep,low,"Claims reproducible AI auditing and governance infrastructure but single-sentence abstract prevents assessment of methodology, scope, or applicability to code contexts",keep,low,Claims reproducible AI auditing and bias detection infrastructure validated empirically; sparse abstract but empirical validation framing and practical/reproducible language suggest operationalizability worth verifying,opus_low_confidence,,
ZC86LTPH,maybe,medium,"Socio-technical enterprise AI adoption framework includes agentic AI governance components and structural governability of organizational knowledge, but the abstract is vague about whether the framework addresses code-specific governance or software development contexts.",keep,low,Agentic AI governance components and structural governability concept potentially applicable but abstract is vague about code-specific mechanisms; worth verifying implementation details,opus_low_confidence,,
