seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,SWUDMFQ4,An insight into the impact of generative artificial intelligence tools on software development practices,2025,conferencePaper,"Integration of Generative Artificial Intelligence (AI) tools into software engineering, especially for automated code generation, has started reshaping development practices and raising questions about the future of the profession itself. This paper presents the results of a research exploring the impact of AI on software engineering/development, focusing on aspects of automated code generation and human-AI collaboration. The use of Generative AI tools, in particular AI chatbots ChatGPT, Gemini and Bing (today Copilot), has been tested on use cases of varying levels of difficulty. The results demonstrate outstanding capabilities of the tested tools in streamlining tasks and providing assistance, but show that these tools remain most effective when integrated into a workflow under the supervision of qualified engineers/developers. The paper also presents the results of a survey conducted among software engineers/developers highly proficient in using AI. The survey indicates that most of the respondents believe that AI has a positive impact on the productivity of software engineers/developers, with more than half of respondents believing that AI will not replace software engineers/developers but is a tool that helps them be more productive. Survey respondents particularly emphasized the importance of ethics, privacy, and data security.",,,,
2,BPL78SWJ,Deterministic bias detection for NYC local law 144: why reproducibility matters more than accuracy a technical framework for compliance-grade AI auditing,2026,journalArticle,"Algorithmic Accountability, Bias Detection, Deterministic AI, NYC Local Law 144, Employment Discrimination, Reproducibility, Compliance Architecture",,,,
3,9D9QSWGZ,These aren't the reviews you're looking for how humans review AI-generated pull requests,2026,preprint,"We analyze code review interactions for AI-generated pull requests (PRs) on GitHub using the AIDev dataset and compare them to human-authored PRs within the same repositories. We find that most AI-generated PRs receive no review and, when reviewed, are largely dominated by AI agents rather than humans. Human-authored PRs are more likely to receive human-only review and to attract direct human feedback. In contrast, reviews of AI-generated PRs more often take the form of automation-mediated interaction, with human involvement frequently expressed through agent steering rather than standalone evaluation. These results indicate systematic differences in how review activity is structured in agentic workflows and raise challenges for interpreting review metrics as indicators of human oversight in large-scale mining studies.",,,,
4,8L2G3J4Q,♪ with a little help from my (LLM) friends: enhancing static analysis with LLMs to detect software vulnerabilities,2025,conferencePaper,"This paper explores the integration of Large Language Models (LLMs) with static analysis tools, specifically Semgrep, to enhance vulnerability detection in Java applications. Through a series of experiments, we evaluate the performance of various LLMs in triaging security weaknesses identified by Semgrep. We also study how LLMs perform across different types of vulnerabilities and assess the impact of various prompt engineering strategies. Our results reveal that while some LLM models reduce the accuracy of baseline results with static analysis, they show a consistent improvement with each new model released. In particular, o1-mini significantly outperformed others in our experiments in terms of their accuracy and false positive reduction. Although LLMs might not be ready for prime time in vulnerability detection yet, this study highlights their growing potential to complement existing tools and paves the way for future research to further optimize LLM-based vulnerability detection systems.",,,,
5,P868GNU7,On the use of agentic coding: an empirical study of pull requests on GitHub,2026,journalArticle,"Large language models (LLMs) are increasingly being integrated into software development processes. The ability to generate code and submit pull requests with minimal human intervention, through the use of autonomous AI agents, is poised to become a standard practice. However, little is known about the practical usefulness of these pull requests and the extent to which their contributions are accepted in real-world projects.In this paper, we empirically study 567 GitHub pull requests (PRs) generated using Claude Code, an agentic coding tool, across 157 diverse open-source projects. Our analysis reveals that developers tend to rely on agents for tasks such as refactoring, documentation, and testing. The results indicate that 83.8% of these agent-assisted PRs are eventually accepted and merged by project maintainers, with 54.9% of the merged PRs being integrated without further modification. The remaining 45.1% require additional changes and benefit from human revisions, especially for bug fixes, documentation, and adherence to project-specific standards. These findings suggest that while agent-assisted PRs are largely acceptable, they still benefit from human oversight and refinement.",,,,
6,M964K4XX,"Comparative analysis of AI governance, assurance, and administrative oversight NIST AI RMF 1.0, ISO/IEC 42001, SOC 2, OMB memoranda M-24-10 and M-25-21, and U.S. copyright office guidance",2026,journalArticle,NIST AI RMF 1.0 provides a flexible and voluntary structure for AI risk management. / A concise formulation is therefore possible: NIST AI RMF 1.0 provides a voluntary risk-management structure; ISO/IEC 42001,,,,
7,TNLQ857W,Toward agentic IAM: a probabilistic authorization framework for least privilege AI workflows,2025,conferencePaper,"The rapid adoption of AI systems capable of autonomous code generation and infrastructure orchestration introduces new challenges for authorization. Traditional mechanisms such as Role-Based Access Control (RBAC), Attribute-Based Access Control (ABAC), OAuth 2.0 and OpenID Connect were designed for static or user-initiated interactions and thus fail to ensure both least privilege and operational continuity in self-adaptive, agentic environments. To address this gap, we propose an agent-native authorization model in which specialized IAM agents—Analyze, Impact, Minimize, Validate, and Reanalyze—jointly determine, verify, and reduce permissions through a sequential probabilistic process. The framework combines Bayesian belief updates, MDP optimization, and CVaR minimization to achieve least-privilege under uncertainty. Formal analysis and an AWS Lambda maintenance case study show sub-second decision latency and ≈ 40% privilege reduction without loss of functionality.",,,,
8,XQ2858YZ,Algorithmic transparency and decision-making accountability: thoughts for buying machine learning algorithms,2019,journalArticle,"There has been a great deal of research on how to achieve algorithmic accountability and transparency in automated decision-making systems - especially / algorithmic accountability, machine learning, procurement, automated decision-making",,,,
9,VZ9H37V5,Context before code: an experience report on vibe coding in practice,2026,preprint,"Code-generating tools are increasingly used in software development, yet experience reports on conversational ""vibe coding"" under production constraints remain limited. This paper presents an experience report from a small full-stack team that applied contextual prompting and explicit architectural constraints to build (i) a multi-project agent learning platform designed for sustained, production-oriented use and (ii) an academic retrieval-augmented generation system. The agent platform supports multiple isolated projects, each with structured memory and background processing, thereby enforcing project-level isolation. The RAG system provides citation-grounded answers, role-based access control, and evaluation tracking. Across both systems, vibe coding accelerated scaffolding and integration. However, the generated code often under-specified isolation rules and infrastructure constraints when these were not explicitly defined. Consequently, aspects such as multi-tenancy, access control, memory policies, and asynchronous processing required deliberate architectural design and verification. We observe a shift in engineering effort from boilerplate implementation toward constraint specification and enforcement auditing. We also identify recurring architectural ""non-delegation zones"" where conversational code generation remains insufficient for production reliability.",,,,
10,WBS9U5N7,Cognitive camouflage: specification gaming in LLM-generated code evades holistic evaluation but not adversarial execution,2026,journalArticle,"2/8, Claude missed 0/8. / family as generator, our findings suggest that specification gaming in code generation is not merely an artifact of RL reward shaping, but a structural risk",,,,
