item_key,decision,confidence,rationale
TA6GIUK2,keep,high,"Proposes an operationalizable architecture for AI code pipelines — specifications-first, deterministic verification, residual AI review — directly addressing the circular-failure risk of AI-reviews-AI in homogeneous LLM pipelines"
E493PWGV,discard,high,"International AI governance diplomacy paper on China's foreign policy positioning with no software, code, or engineering organization angle"
YDTWNL5M,discard,high,"General AI economics and governance philosophy paper with no software development or code governance angle"
A8XNV9RR,maybe,medium,"AI auditing framework targeting data, model, and deployment could transfer to software engineering org governance of AI coding tools, but the abstract gives no indication of software or code-specific scope"
ISPW5BCX,discard,high,"Addresses HITL in administrative law and automated public-sector decision-making — non-transferable loop with no software or code governance angle"
3F6ZY3E3,discard,high,"International legal and trade framework analysis for Indo-Pacific AI governance with no software development or engineering org angle"
VDD8EJM6,discard,high,"Responsible AI framework scoped to accountancy and auditing — domain-specific without software or code governance transferability"
NCRNAMYQ,discard,high,"EU AI Act analysis focused exclusively on dataset bias in medical AI — domain-specific with no software or code angle"
W9CCNI8N,discard,high,"GenAI regulation analysis scoped to financial institutions and regulators — domain-specific without software development or engineering org angle"
SLDGQI5F,maybe,medium,"Governance framework for autonomous AI agents with delegated authority could apply to agentic coding tools in software orgs, but the 'organizational member rights' framing is novel and the abstract's scope is unclear from the summary alone"
A4Y87PHF,discard,high,"Responsible AI framework for legal practice — domain-specific professional ethics paper without software or code governance angle"
C2E7M967,discard,high,"Copyright analysis of AI-generated content opacity with no code-specific angle — creative content IP without software engineering governance implications"
ZGST9CY6,keep,high,"Proposes a concrete framework for designing meaningful human oversight of agentic AI as a system property, explicitly targeting engineers and organizational leaders — directly operationalizable for software engineering oversight design"
X3SUCQRM,discard,high,"AI governance diagnostic framework scoped to healthcare delivery — domain-specific without transferable mechanism for software engineering org governance"
BP7F9WKS,discard,medium,"AGI governance philosophy proposing 'structural judgment' as a non-optimizable primitive — too abstract and AGI-focused to be operationalizable for software engineering organizations"
K93SSG9Q,discard,medium,"Abstract layered decision architecture framework covering normative design and optimization governance — theoretical with no clear application pathway for software engineering org governance of AI code"
T6MALN24,discard,high,"Copyright policy economics paper with no software or code governance angle — addresses AI training data and content licensing"
P38MCUWB,discard,high,"Clinical model validation framework for healthcare AI with HITL — domain-specific with a non-transferable registry-to-bedside clinical workflow loop"
W8TR3HLY,discard,high,"General AI ethics implementation paper proposing national ethics organizations — policy-level without operationalizable mechanisms for software engineering teams"
6TLI4598,discard,medium,"Frontier AI containment and operational security paper — addresses model-level governance at the frontier lab level, not how software engineering organizations manage AI-generated code risks"
P868GNU7,keep,high,"Empirical study of 567 agentic coding PRs with quantified acceptance rates, modification needs, and task-type breakdowns — directly operationalizable data on where human oversight adds value in agentic coding workflows"
QJFYPWLJ,discard,high,"AI trust and governance paper scoped to insurance with no software development or code governance angle"
CAIMLG8P,discard,medium,"Algorithmic impact assessment governance paper from 2020 — addresses general algorithmic accountability without software development, AI code generation, or engineering org angle"
GT8FQJ4K,maybe,medium,"Human oversight designed as a system property for AI-enabled decision making by software engineering researchers — architectural framing could transfer, but it is anchored in public administration rather than software development contexts"
3JA8LSL3,discard,high,"AI governance from indigenous and tribal perspectives — policy paper without operationalizable mechanisms for software engineering organizations"
J5RX8GHG,discard,high,"AI governance codex paper — despite software modularity keywords, it is a policy design document without operationalizable mechanisms for engineering org governance of AI code"
F8BI4NGQ,discard,high,"Legal framework overview for generative AI models in EU — regulatory analysis without software development or code governance angle"
CNU38EKT,discard,high,"AI/ML risk compensation framework scoped to financial risk management — domain-specific without transferable contribution to software engineering code governance"
GMDF8JRN,discard,high,"1996 foundational bias paper with no AI code generation, vibe coding, or software engineering governance angle"
UMCQ52IC,keep,high,"Empirical taxonomy of agent-authored PR references with quantified review time and coordination cost data — directly operationalizable insight into how human and agent interactions structure code review workflows at scale"
455MHPCI,maybe,medium,"Survey finding that limited use of code review and testing correlates with higher perceived AI productivity is an oversight-relevant signal, but the scientific programmer population and perceived-productivity outcome limit direct applicability to software engineering org governance"
UIIT8XGT,discard,high,"LLM test generation capability paper — HITL validation is used to evaluate model output quality, not as a governance or oversight mechanism"
B4JWDAMV,keep,high,"Proposes a risk classification framework and actionable recommendations for Shadow AI — unsanctioned AI tool use in organizations — directly operationalizable for software engineering org governance of AI coding tools"
WBPBVTNW,discard,high,"AI in contract law and automated legal decision-making — legal domain paper without software engineering or code governance angle"
4BP86L5N,discard,high,"AI in HRM for recruitment and performance management — organizational AI adoption for HR functions without software development, code quality, or engineering governance angle"
GJYVD8XB,discard,high,"Physically enforced AGI containment framework — speculative AGI safety paper without software engineering org governance angle"
B4RFHXND,discard,high,"Legal and constitutional analysis of generative AI and autonomous vehicles — no software engineering governance angle despite generative AI mention"
ETXU5VID,discard,high,"Biometric surveillance capitalism case study — no software development, code governance, or engineering org angle"
YJT8HS9Z,maybe,medium,"Reliability-gated HITL architecture with forensic readiness and decision provenance for cyber-physical AI — loop structure could transfer to code review pipelines but the cyber-physical domain instantiation limits direct applicability without re-derivation"
UGSMCVJU,discard,medium,"Stratified cognitive architecture separating extraction from judgment — abstract architectural proposal without clear operationalizable mechanisms for software engineering org governance of AI code"
TQGFG8YC,maybe,medium,"Benchmarking framework for AI-generated code evaluation with reproducible precision/recall/F1 metrics — methodology is directly applicable but instantiated entirely in digital forensics tasks, requiring substantial domain re-derivation for general software contexts"
J62938UF,discard,medium,"Three-stage ethical AI governance framework — general adoption-maturity model without operationalizable mechanisms specific to software development or AI code quality governance"
F4IGATS8,discard,high,"Judicial HITL experiment measuring procedural fairness perceptions — non-transferable loop in judicial decision-making with no software or code angle"
RQP5CXIG,discard,medium,"AI tool for dataset license compliance targeted at software developers — addresses legal risk management adjacent to software development but not code quality, oversight, or governance of AI-generated code"
JFQAY5X7,discard,medium,"EU AI Act compliance and risk classification analysis for corporate risk management — regulatory strategy paper without software development, DevSecOps, or engineering org governance angle"
T2EG4BE2,keep,high,"Directly analyzes vibe coding flow-debt tradeoffs with specific risk categories (architectural inconsistencies, security vulnerabilities) and proposes countermeasures — operationalizable guidance for software teams managing AI-generated code quality"
FYLWDMNZ,discard,high,"Unjust enrichment and copyright analysis of AI training data — IP law paper with no software engineering governance or code oversight angle"
TJAE8M3W,discard,high,"Proof-of-concept demonstrating vibe coding productivity for bioinformatics domain scientists — no governance, risk measurement, or oversight angle"
6UI7BBBI,discard,high,"IP law analysis of AI training data copyright litigation — creative content paper without software engineering governance angle"
EG4BPTJV,discard,high,"Algorithmic accountability through an online platform lens — general policy paper without software development or code governance angle"
