item_key,title,abstract,authors,year,item_type,sources,source_queue
NHF4J3YZ,"Advancing intelligent systems: a comparative study of generative AI, LLM-based agents, and agentic AI systems","The objective of this research is to examine this transformation by comparing three key paradigms-Generative AI, largelanguage-model (LLM) agents, and / Generative AI focuses on creating new artefacts from data patterns. LLMbased agents add context awareness and short-term memory. / Generative AI, LLM Agents, Agentic AI, Intelligent Automation, Adaptive Systems",Alok Khaware; Sourav Mondal,2025,journalArticle,ssrn,maybe_queue
HCPRUGB6,AICa (AI cadence) and CodaAI: AI-first software development principles and methodology,The rapid rise of AI-assisted coding is transforming how software is built.,Prashant Preetam,2025,journalArticle,ssrn,keep_queue
DZYEZVFE,Human-AI experience in integrated development environments: a systematic literature review,"The integration of Artificial Intelligence (AI) into Integrated Development Environments (IDEs) is reshaping software development, fundamentally altering how developers interact with their tools. This shift marks the emergence of Human-AI Experience in Integrated Development Environment (in-IDE HAX), a field that explores the evolving dynamics of Human-Computer Interaction in AI-assisted coding environments. Despite rapid adoption, research on in-IDE HAX remains fragmented, which highlights the need for a unified overview of current practices, challenges, and opportunities. To provide a structured overview of existing research, we conduct a systematic literature review of 90 studies, summarizing current findings and outlining areas for further investigation. We organize key insights from reviewed studies into three aspects: Impact, Design, and Quality of AI-based systems inside IDEs. Impact findings show that AI-assisted coding enhances developer productivity but also introduces challenges, such as verification overhead and over-reliance. Design studies show that effective interfaces surface context, provide explanations and transparency of suggestion, and support user control. Quality studies document risks in correctness, maintainability, and security. For future research, priorities include productivity studies, design of assistance, and audit of AI-generated code. The agenda calls for larger and longer evaluations, stronger audit and verification assets, broader coverage across the software life cycle, and adaptive assistance under user control. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.",Sergeyuk; Zakharov; Koshchenko; Izadi,2026,journalArticle,arxiv,keep_queue
ZB3YIQXF,"A comprehensive national framework for federal AI adoption: governance, standards, and implementation pathways for agentic and generative systems","Our proposed framework integrates three pillars: (1) Technical standards harmonization incorporating ISO/IEC 42001, NIST AI RMF, IEEE 7000, HL7 FHIR, and / emerging agentic AI protocols; (2) A four-tier riskbased classification system aligned with the EU AI Act and tailored for U.S. federal requirements; / Artificial Intelligence, Agentic AI, Federal Policy, AI Governance, Risk Management, NIST AI RMF, ISO/IEC 42001, Regulatory Reform, Interoperability, Multi-Agent / Systems, Autonomous Systems, AI Ethics, Compliance Framework, Digital Government, AI Standards, Workforce Development, Critical Infrastructure, National",Satyadhar Joshi,2026,journalArticle,ssrn,keep_queue
FLDAS7UC,From friction to design: verification architecture for AI-augmented institutions,"Institutional accountability systems were not designed as verification systems. / Generative AI collapses these production costs to near zero, exposing an accountability gap that is structural rather than novel. / verification architecture, AI governance, institutional accountability, friction-asverification, proxy collapse, high-reliability organisations, regulatory",Paul Gallacher,2026,journalArticle,ssrn,keep_queue
ZFIYX9FX,Ethical AI and responsible automation in software engineering,"The emergence of Artificial intelligence (AI) and automation has quickly changed the landscape that is Software Engineering. This chapter focuses on the core elements of ethical AI and responsible automation. It will examine fairness, transparency, accountability, and privacy at each point of the software lifecycle. It will also highlight the key ethical dilemmas faced such as bias, discrimination, and data privacy. Additionally, it will discuss how the legal and regulatory landscape is evolving and shaping global governance of AI. Strategies for ethical AI accountability will be discussed including sound data management, explainability, and continuous auditing. Furthermore, case studies will demonstrate the effect ethical decisions have made, good and bad including the salient takeaways across sectors. Emerging concerns in software engineering such as generative AI and the need for cross-disciplinary skills and adaptive governance in technology as new types of risk emerge is also highlighted. Ultimately, this chapter will represent the continued need for software engineers and their organizations to be responsible innovators of technology so that all AI-based technologies reflect the best interests of society at large and continue to align with best practices. © 2026",Revuri; Sakthivel; Nagasubramanian; Raj P.; Reliance Jio Platforms Ltd. (RJIL),2026,journalArticle,,keep_queue
3IJKHGNN,Copyright's protection of images created using generative AI through text to image (TTI) (forthcoming new zealand business law quarterly -2025),"A user can use Generative AI (GenAI) to create images and other outputs through entering prompts, commonly called text-to-image (TTI). / The use of TTI raises many copyright issues. / Copyright, AI, Artificial intelligence, Generative AI",Alexandra Sims,2025,journalArticle,ssrn,maybe_queue
VG6CIDQW,Lumen: developer agency through transparent context control in AI-assisted programming,"The landscape of software engineering has undergone rapid transformation with the emergence of Artificial Intelligence (AI) coding assistants, which are being increasingly integrated into development workflows to boost productivity and automate routine tasks. Although modern AI coding assistants, such as Claude Code, Cursor, Codex, and many others, can automatically access entire repositories, they operate as black boxes: developers cannot see or control what context drives AI decisions. This automatic operation creates uncertainty about whether critical dependencies, security configurations, or test files are considered. We present Lumen, an open-source tool that takes a fundamentally different approach: preserving developer control through transparent context assembly. Using a double-copy interaction paradigm that leverages natural clipboard behavior, Lumen instantly shows developers the dependency graph and AI-generated summaries of files connected to their copied code. This allows developers to create AI-generated code where the model uses the same context that the developer is focusing on. This design philosophy, which incorporates human-in-the-loop capabilities with full visibility, lays the foundation for future agentic capabilities, ensuring that developers understand and control what the AI sees and does. We demonstrate through Cognitive Walkthrough Analysis how Lumen reduces context assembly overhead while maintaining the transparency necessary for production code. Our open-source implementation provides a foundation for the community to build upon, developing AI tools that enhance rather than replace human judgment.",N. Goel; G. Melo,2025,conferencePaper,arxiv|ieee|scopus,keep_queue
AY6Q6ENG,Automated evidence extraction and scoring for corporate climate policy engagement: a multilingual RAG approach,"We propose an AI-assisted framework to accelerate the monitoring of corporate climate policy engagement by leveraging Retrieval-Augmented Generation to / We conclude that while the automated RAG system effectively accelerates evidence extraction, the nuanced nature of the analysis necessitates a human-in-the-loop",Imene Kolli; Saeid Vaghefi; Chiara Colesanti Senni; Shantam Raj; Markus Leippold,2025,journalArticle,ssrn,maybe_queue
LJUAJUX9,Artificial general intelligence latent assembly and modular behaviour (AGI-LAMB),"systems. / Together, the architecture and protocol embed safeguards, human oversight and cryptographic identity to limit autonomous AI replication and enforce compliance / artificial intelligence, agi, asi, ai, artificial, intelligence, architecture, protocol, acpip, acp/ip, agi-lamb, agilamb, acpip, computer, computers,",D. Ditner,2025,journalArticle,ssrn,maybe_queue
CNGP5KBB,LAURA: enhancing code review generation with context-enriched retrieval-augmented LLM,"Code review is critical for ensuring software quality and maintainability. With the rapid growth in software scale and complexity, code review has become a bottleneck in the development process because of its time-consuming and knowledge-intensive nature and the shortage of experienced developers willing to review code. Several approaches have been proposed for automatically generating code reviews based on retrieval, neural machine translation, pre-trained models, or large language models (LLMs). These approaches mainly leverage historical code changes and review comments. However, a large amount of crucial information for code review, such as the context of code changes and prior review knowledge, has been overlooked. This paper proposes an LLM-based review knowledge-augmented, context-aware framework for code review generation, named LAURA. The framework integrates review exemplar retrieval, context augmentation, and systematic guidance to enhance the performance of ChatGPT-4o and DeepSeek v3 in generating code review comments. Besides, given the extensive low-quality reviews in existing datasets, we also constructed a high-quality dataset. Experimental results show that for both models, LAURA generates review comments that are either completely correct or at least helpful to developers in 42.2% and 40.4% of cases, respectively, significantly outperforming SOTA baselines. Furthermore, our ablation studies demonstrate that all components of LAURA contribute positively to improving comment quality.",Y. Zhang; Y. Zhang; Z. Sun; Y. Jiang; H. Liu,2025,conferencePaper,ieee,keep_queue
I982RGGZ,Beyond automation: exploring the potential of agentic AI in risk management and fraud detection in banks,"The rapid investor adoption of agentic AI technologies has far exceeding the banks' expectations. / Financial institutions are faced with a “success-liability equation,” where the effective use of agentic AI tools can have both significant upside but",Harish Kumar Sriram; Bharath M Bharath M,2025,journalArticle,ssrn,maybe_queue
VE8L4FT2,MAPPING STUDY ON THE RIGHTS OF THE CHILD AND ARTIFICIAL INTELLIGENCE: legal frameworks that address AI in the context of children's rights,"EU, Council of Europe, Policy, AI Policy, AI Regulation, AI Governance, Children's Rights, UNCRC, Children, Children and AI, Child-centred AI, Risk Assessments",Mhairi Aitken; Sabeehah Mahomed; Morgan Briggs; Ayca Atabey,2025,journalArticle,ssrn,maybe_queue
3QUL87JY,"Responsible AI In the agentic world governance for AI that acts, not just answers","Agentic AI systems that autonomously execute actions across enterprise tools, databases, and APIs introduce a fundamentally different risk profile from / The framework is designed for  Enterprise AI Heads, governance leads, security architects, and engineers responsible for deploying agentic AI in regulated",Sukanya P,2026,journalArticle,ssrn,keep_queue
9CNWKK5M,The Impact of Large Language Models on Higher Education: Exploring the Connection between AI and Education 4.0,,Peláez-Sánchez; Velarde-Camaqui; Glasserman-Morales,2024,journalArticle,naimi-book|naimi-references,maybe_queue
BP4QAI5B,Voices of the crowd: exploring user evaluations of ChatGPT using structural topic modeling.,,Ding; Yang; Zhao; Sun; Wang,2026,journalArticle,wos,maybe_queue
THLYFHFP,"TRANTIATE: a modern methodology for safe, AI-orchestrated transformation a unified framework for modernization, migration, and change in the agentic AI era","These components create a unified structure for modernization by preserving institutional knowledge, reducing risk, enabling real-time governance, and / Purpose-built for the agentic AI era, Trantiate replaces chaotic modernization with evidence-driven progression. / Trantiate, Transformation Methodology, Enterprise Modernization, Agentic AI, AI Orchestration, Digital Transformation, Cloud Migration, System Modernization / , Enterprise Architecture, Governance and Risk, Organizational Change, KEA, VEM, TCAP, Transformation Lifecycle",Max Gupta,2025,journalArticle,ssrn,maybe_queue
3HV2L8GN,Remuneration for AI training - a new source of income for journalists?,"Generative AI systems are likely to replace human journalistic work and usurp the market for human press and media productions. / This output-based approach should impose an obligation to pay remuneration on both: AI companies offering generative AI systems and media companies using / copyright, public interest journalism, text and data mining, generative AI, copyright contract law, AI levy, AI Act, fair remuneration, art autonomy, human",Martin Senftleben,2024,journalArticle,ssrn,maybe_queue
NBDTTWLH,Deterministic governance as epistemic commitment: why reproducibility matters for AI accountability,"This distinguishes deterministic governance from probabilistic confidence scoring and conventional ""human-in-the-loop"" approaches. / Keywords: Epistemic Commitment • Deterministic Governance • Reproducibility • Democratic Accountability • AI Regulation • DAGS-CVCA / Epistemic Commitment, Deterministic Governance, Reproducibility, Democratic Accountability, AI Regulation, DAGS-CVCA, AI Governance, Algorithmic Accountability / , AI Auditing, Verification, AI Safety, Regulatory Compliance",Edward Meyman,2025,journalArticle,ssrn,keep_queue
E3E5YA2E,"Redefining the programmer: human-AI collaboration, LLMs, and security in modern software engineering","The rapid integration of artificial intelligence (AI) into software development, driven by large language models (LLMs), is reshaping the role of programmers from traditional coders into strategic collaborators within Industry 4.0 ecosystems. This qualitative study employs a hermeneutic phenomenological approach to explore the lived experiences of Information Technology (IT) professionals as they navigate a dynamic technological landscape marked by intelligent automation, shifting professional identities, and emerging ethical concerns. Findings indicate that developers are actively adapting to AI-augmented environments by engaging in continuous upskilling, prompt engineering, interdisciplinary collaboration, and heightened ethical awareness. However, participants also voiced growing concerns about the reliability and security of AI-generated code, noting that these tools can introduce hidden vulnerabilities and reduce critical engagement due to automation bias. Many described instances of flawed logic, insecure patterns, or syntactically correct but contextually inappropriate suggestions, underscoring the need for rigorous human oversight. Additionally, the study reveals anxieties around job displacement and the gradual erosion of fundamental coding skills, particularly in environments where AI tools dominate routine development tasks. These findings highlight an urgent need for educational reforms, industry standards, and organizational policies that prioritize both technical robustness and the preservation of human expertise. As AI becomes increasingly embedded in software engineering workflows, this research offers timely insights into how developers and organizations can responsibly integrate intelligent systems to promote accountability, resilience, and innovation across the software development lifecycle. Copyright © 2025 The Authors.",De La Cruz; Le; Meduri; Nadella; Gonaygunta,2025,journalArticle,wos,keep_queue
CW7U56AL,Adoption of artificial intelligence by electric utilities,"provide timely insights and a common understanding of AI, its opportunities and challenges for electric utility use cases, and ultimately help advance its adoption / artificial intelligence, law and technology, ai ethics, ai governance, energy law, data law, critical infrastructure",Daniel Slate; Alexandre Parisot; Liang Min; Patrick Panciatici; Pascal Van Hentenryck,2024,journalArticle,ssrn,maybe_queue
KKKZVFAW,"Why AI implementation fails at scale: a comparative, boundary-spanning synthesis","Despite unprecedented investment, organisational adoption of artificial intelligence has not translated into proportional, sustained impact. / analyst studies, consulting surveys, and regulatory frameworks, a consistent pattern emerges: AI initiatives proliferate, pilots succeed locally, yet enterprise-level / Artificial Intelligence, Organization Design, AI Governance, innovation Scaling, Organizational Learning, Institutional Adaptaptation, Enterpruse AI",Keith M. Driver,2026,journalArticle,ssrn,keep_queue
NLHXHWGH,Building responsible artificial intelligence models that comply with ethical and legal standards,"It reviews the current literature on AI ethics, legal compliance, and governance mechanisms, and presents the working principles that guide the development / Artificial Intelligence, Responsible AI, Ethical Standards, Legal Compliance, Fairness, Transparency, Accountability, AI Governance, Privacy, Bias Mitigation / , AI Regulation, Future Enhancements",Anuj Arora,2025,journalArticle,ssrn,keep_queue
