item_key,bin,centrality,reason_code,rationale,title,authors,abstract
EB9PFYBS,context,42,,Regulatory framing of human oversight in the EU AI Act (from weapons/international law) is a transferable governance concept but not code-specific.,From 'human control' in international law to 'human oversight' in the new EU act on artificial intelligence,Juliane Beck; Thomas Burri,"autonomous systems and ""human oversight"" of artificial intelligence in the light of the international legal discussions and the EU’s recent proposal for an AI / It also identifies some weaknesses of the draft EU AI Act and proposes ways of improving it. / Autonomous systems, Autonomous weapons, CCW, Artificial Intelligence, Machine Learning, EU Commission, Meaningful Human Control, Human Oversight, International"
SI9LR7W3,context,42,,"Empirical finding that interpretability can lower human decision performance transfers to over-reliance/oversight limitations, though not code-specific.","Why providing humans with interpretable algorithms may, counterintuitively, lead to lower decision-making performance",Timothy DeStefano; Katherine Kellogg; Michael Menietti et al.,"Interpretable AI, Artificial Intelligence, Machine Learning, Algorithm Aversion, AI Adoption, Firm Productivity, AI and Strategy, Human-in-the-loop Decision"
CUE8AP27,context,52,,Strong empirical result that humans-in-the-loop increase uptake but fail to catch inaccurate recommendations directly transfers to oversight-quality limitations.,"Putting a human in the loop: increasing uptake, but decreasing accuracy of automated decision-making",Daniela Sele; Marina Chugunova,"If so, can the retention of human oversight increase the uptake of algorithmic recommendations, and does keeping a human in the loop improve accuracy? / less likely to intervene with the least accurate recommendations and adjust them by less, raising concerns about the monitoring ability of a human in a Human-in-the-Loop / automated decision-making, algorithm aversion, algorithm appreciation, automation bias"
RS3CEVLJ,context,48,,"Verifiability-based mechanism for countering automation bias is a concrete transferable oversight lever, not code-specific.",Addressing automation bias through verifiability,Lukas Hondrich; Hannah Ruschemeier,"The phenomenon of human bias finds a new facet in the hybrid human-machine interaction of today’s digitized decision-making systems: automation bias describes / ameliorating automation bias. / automation bias, human centered computing, algorithmic regulation, human-in-the-loop, verification"
86SH995L,context,38,,XAI framework distinguishing human-on/in-the-loop control contexts is adjacent governance/design material with transferable operational guidance.,Meaningful XAI based on user-centric design methodology: combining legal and human-computer interaction (HCI) approaches to achieve meaningful algorithmic explainability,Winston Maxwell; Bruno Dumas,"identify four main operational contexts for explainability: XAI for the upstream design and testing phase; XAI for human-on-the-loop control; XAI for human-in-the-loop / These guidelines would apply to the AI Act, but also to the other EU texts requiring explanations for algorithmic systems and results. / AI, explainability, user-centric, HCI, GDPR, AI Act, human-computer interaction"
3TL98CSA,context,50,,Empirical study of enterprise GenAI risks and organizational responses is transferable to org governance of AI outputs but not code-oversight-specific.,"Enterprise large language models: knowledge characteristics, risks and organizational activities",Daniel E. O'Leary,"Since the release of OpenAI’s ChatGPT, there has been substantial interest in and concern about generative AI systems. / This paper investigates some of the characteristics, risks and limitations with the enterprise use of generative AI systems. / Generative AI Systems (GAIS), Large Language Models (LLM), Expertise, Enterprise Generative AI, Generative AI Manipulation, Experimental / Analysis, Human-in-the-Loop, BARD, ChatGPT, BlenderBot,"
RHGX3UJE,discard,24,out-of-scope,Human-in-the-loop LLM framework for power-engineering task-solving with no oversight/governance or code-quality angle.,LLM-based frameworks for power engineering from routine to novel tasks,Ran Li; Chuanqing Pu; Junyi Tao et al.,"For complex tasks with limited prior knowledge, we propose a human-in-the-loop framework to enable engineers and LLMs to collaboratively solve the problem / Through a comparative study between two frameworks, we find that human-in-the-loop features like web access, problem decomposition with field knowledge"
HQIXPITB,context,48,,Conceptual clarification of in/on/over-the-loop control modes is a transferable framework for defining oversight architectures.,Preposition salad: making sense of human-in/on/over-the-loop control for AI systems,Aditya Singh; Zoe Szajnfarber,"Governments across the world have called for AI to be trustworthy. / human-in-the-loop and human-on-the-loop control. / trustworthy AI, system architecture, human factors"
M26KA89J,context,47,,Empirical typology of human-GenAI knowledge-work modes (incl. self-automation) transfers to how oversight is actually enacted or abdicated.,"Cyborgs, centaurs and self-automators: the three modes of human-GenAI knowledge work and their implications for skilling and the future of expertise",Steven Randazzo; Hila Lifshitz-Assaf; Katherine Kellogg et al.,"Research on human–AI collaboration in professional settings has focused primarily on isolated interactions between knowledge professionals and AI, usually / We show how what seems to be the same “human-in-the-loop” workflow for decision making is actually enacted in three ways with significantly different implications / generative AI, artificial intelligence, knowledge work, co-creation, human-AI interaction, future of work, responsible AI"
SMHWVB9J,context,55,,Robust experiments (N=970) on overreliance and automation shirking directly inform oversight-erosion mechanisms transferable to AI-code review.,"Designing human-automation redundancy: overreliance, automation shirking, and the operator’s dilemma",Doron Cohen; Yefim Roth; Jörg Rieskamp et al.,"In some cases, these systems might encourage automation shirking, a form of overreliance in which operators deliberately reduce monitoring and checking / Across three studies (N = 970), Serial increased automation shirking and accident risk. / Automation bias, Human in the loop, Decisions from experience, Human computer interaction, Underweighting of rare events, Socio-technical systems, Behavioral"
