item_key,decision,confidence,rationale,note
GRUY5WWY,maybe,medium,Empirical human-subject study of LLM-generated software artifacts (Gherkin specs) with quantified quality metrics and systematic finding that omissions and hallucinations require mandatory human review,promoted_from_phase1_maybe
3G2VGHVS,maybe,high,"LLM-based threat modeling tool with structured workflow stages, CAPEC retrieval, and human oversight integration outperforms baselines and is directly deployable for SE security risk assessment",promoted_from_phase1_maybe
PD2YN98L,maybe,medium,Controlled experiment quantifies automation bias when accepting AI vs. human security recommendations by expertise level — operationalizes trust calibration signal for AI-assisted security decisions.,promoted_from_phase1_maybe
A9DB26SS,maybe,medium,"LLM multi-agent framework for commit untangling achieves 44-82% improvement over baseline by separating mixed changes — directly reduces code review complexity and reviewer burden, operationalizable for engineering teams",promoted_from_phase1_maybe
8RRJH6H4,maybe,high,"Directly operationalizable for SE infrastructure teams: RIVA multi-agent cross-validation mechanism restores IaC drift-detection accuracy from 27% to 50% under erroneous tool responses, providing a concrete reliability pattern for agentic code verification.",promoted_from_phase1_maybe
A5LVWQT2,maybe,high,Reports large-scale implementation of multi-LLM pipeline for code documentation at BNP Paribas with hybrid human-review governance,promoted_from_phase1_maybe
5RSE2SYS,maybe,medium,Experimentally quantifies algorithm aversion and overconfidence dynamics in AI-assisted judgment,promoted_from_phase1_maybe
ZKPDVADF,maybe,medium,"Open-source developer command center with AI-readiness scoring algorithm, historical review intelligence pipeline, and agent observability layer provides directly actionable tooling for governing AI-augmented code review workflows",promoted_from_phase1_maybe
CWKDWTGM,maybe,high,Multi-agent system that automatically validates AI-generated software against user intent via live requirements traceability recovery — directly operationalizable for SE oversight of AI code,promoted_from_phase1_maybe
NRRI3E6K,maybe,high,HITL partial ordering system for software engineering that demonstrably reduces human expert fatigue while maintaining solution quality — directly applicable to code review scalability under AI volume,promoted_from_phase1_maybe
T9RPVMRV,maybe,medium,"Systematic review of factors influencing algorithm aversion provides actionable framework for software engineering teams designing human oversight of AI-generated code, addressing individual, task, and system-level trust calibration.",promoted_from_phase1_maybe
7PA6MQ84,maybe,medium,HITL governance workflow with staged auditable checkpoints for LLM-assisted SQL code migration — operationalizable pipeline architecture for governing AI-generated code with controlled human review gates,promoted_from_phase1_maybe
2NRBEMVD,maybe,high,"Research roadmap for human-in-the-loop fuzz testing with specific mechanisms (human monitoring, steering, LLM collaboration) directly applicable to software security testing governance",promoted_from_phase1_maybe
Z76WEF74,maybe,medium,"ANN-ISM framework with 5-level maturity model empirically identifies 15 software coding risk categories and 158 AI-driven mitigation practices, directly operationalizable for SE organizations managing cybersecurity across coding maturity stages.",promoted_from_phase1_maybe
ULQQL837,maybe,high,"Comprehensive review of AI-driven automated code refactoring with human-in-the-loop feedback, CI/CD quality gates, and explainability mechanisms — operationalizable taxonomy directly applicable to AI-assisted code transformation governance.",promoted_from_phase1_maybe
DS7JVX5P,maybe,medium,CHILL framework combining human expert and AI agent to manage SOC alert fatigue — direct structural parallel to code review scaling where high-volume AI-generated alert oversight mirrors reviewer fatigue with AI-generated code.,promoted_from_phase1_maybe
NNXYGMWF,maybe,medium,Multi-agent adversarial framework with counterfactual verification for AI code generation provides operationalizable cognitive bias detection mechanism achieving measurable quality improvements on standard benchmarks,promoted_from_phase1_maybe
Z8J3A8XS,maybe,medium,"Multi-agent framework emulating software process models (Waterfall, TDD, Scrum) achieves measurable code quality improvements with explicit review and testing roles providing operationalizable governance structure for AI-generated code workflows",promoted_from_phase1_maybe
KNSA4Q3I,maybe,medium,Repository mining case study defines four software process compliance metrics and measures their impact on source code quality — operationalizable audit framework applicable to AI-assisted code governance,promoted_from_phase1_maybe
ZIZEXNWD,maybe,high,Controlled experiment (N=78) quantifies vibe coding epistemic debt and validates an Explanation Gate mechanism enforcing teach-back before AI code integration — directly operationalizable oversight tool for SE AI code governance,promoted_from_phase1_maybe
TE7B3DJG,maybe,high,"Runtime-structured task decomposition architecture for agentic coding systems (debugging, root cause analysis, code review) quantifiably reduces retry costs by 51.7–73.2% — directly operationalizable for improving AI code governance reliability",promoted_from_phase1_maybe
N4P48NBN,maybe,high,Multi-vocal literature review synthesizing 114 studies on LLM multi-agent code generation into six challenge categories with solutions and future directions — directly operationalizable for software orgs governing AI code generation at scale,promoted_from_phase1_maybe
PQX7QNCB,maybe,high,Empirical benchmark quantifies LLM agent failures in microservice code generation (best Pass@1 = 23.67%) with deficiency analysis of architectural coherence and cross-file consistency — reproducible quality metrics directly operationalizable for AI code governance.,promoted_from_phase1_maybe
