[2026-05-26 05:58:13] === apply_screening_decisions.py ===
[2026-05-26 05:58:13] Input: ssrn-decisions-2026-05-25.csv
[2026-05-26 05:58:13] Mode:  APPLY (writes)
[2026-05-26 05:58:13]   Loaded 3869 rows with valid 8-char item keys from ssrn-decisions-2026-05-25.csv
[2026-05-26 05:58:13] Detected screener columns: {'claude': 'decision', 'human': 'human_decision', 'chatgpt': 'chatgpt_decision', 'gemini': 'gemini_decision'}
[2026-05-26 05:58:13] Union rule: human=YES, claude=YES
[2026-05-26 05:58:13] Scanning collections to build bucket map...
[2026-05-26 05:58:15]   Bucket map entries: 44
[2026-05-26 05:58:15] 
Processing 3869 rows...
[2026-05-26 05:58:15] Screener columns detected: {'claude': 'decision', 'human': 'human_decision', 'chatgpt': 'chatgpt_decision', 'gemini': 'gemini_decision'}
[2026-05-26 05:58:15] Union rule: human_decision > claude_decision
[2026-05-26 05:58:15] Mode: APPLY (writes)
[2026-05-26 05:58:15] 
[2026-05-26 05:58:16]   67PUNADJ [discard]
[2026-05-26 05:58:16]     + tags: ['s1:claude:discard', 's1:gemini:discard']
[2026-05-26 05:58:16]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:17]   G8J7KV6A [discard]
[2026-05-26 05:58:17]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:17]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:18]   N87VFJVS [discard]
[2026-05-26 05:58:18]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:18]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:19]   KL56W4I8 [maybe]
[2026-05-26 05:58:19]     + tags: ['s1:claude:maybe', 's1:gemini:keep']
[2026-05-26 05:58:19]     + collections: ['3QZJEDKF']
[2026-05-26 05:58:20]   46Y7SU3S [discard]
[2026-05-26 05:58:20]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:20]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:21]   AWECC8GZ [discard]
[2026-05-26 05:58:21]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:21]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:22]   P2LQVLIA [discard]
[2026-05-26 05:58:22]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:22]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:23]   K3LVUMXM [discard]
[2026-05-26 05:58:23]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:23]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:24]   WUYYL4WT [discard]
[2026-05-26 05:58:24]     + tags: ['s1:claude:discard', 's1:gemini:keep']
[2026-05-26 05:58:24]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:24]   XUXPK5JS [discard]
[2026-05-26 05:58:24]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:24]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:25]   U65KBBH7 [discard]
[2026-05-26 05:58:25]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:25]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:26]   6IVNISGL [discard]
[2026-05-26 05:58:26]     + tags: ['s1:claude:discard', 's1:gemini:discard']
[2026-05-26 05:58:26]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:27]   28ERP52N [discard]
[2026-05-26 05:58:27]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:27]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:28]   YTQ3IU4R [discard]
[2026-05-26 05:58:28]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:28]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:29]   UPWV25BJ [discard]
[2026-05-26 05:58:29]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:29]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:30]   ZN9GETNS [discard]
[2026-05-26 05:58:30]     + tags: ['s1:chatgpt:discard', 's1:claude:discard']
[2026-05-26 05:58:30]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:31]   TUQHVDRU [maybe]
[2026-05-26 05:58:31]     + tags: ['s1:claude:maybe']
[2026-05-26 05:58:31]     + collections: ['3QZJEDKF']
[2026-05-26 05:58:32]   Z6VTVDYD [discard]
[2026-05-26 05:58:32]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:32]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:33]   355IT6KN [discard]
[2026-05-26 05:58:33]     + tags: ['s1:chatgpt:discard', 's1:claude:discard']
[2026-05-26 05:58:33]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:34]   VYHT7BYC [discard]
[2026-05-26 05:58:34]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:34]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:35]   MEX7QUCP [maybe]
[2026-05-26 05:58:35]     + tags: ['s1:claude:maybe']
[2026-05-26 05:58:35]     + collections: ['3QZJEDKF']
[2026-05-26 05:58:36]   5L33SZH5 [discard]
[2026-05-26 05:58:36]     + tags: ['s1:chatgpt:discard', 's1:claude:discard']
[2026-05-26 05:58:36]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:37]   GIIE3YD7 [discard]
[2026-05-26 05:58:37]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:37]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:38]   DGPNSTFX [maybe]
[2026-05-26 05:58:38]     + tags: ['s1:claude:maybe']
[2026-05-26 05:58:38]     + collections: ['3QZJEDKF']
[2026-05-26 05:58:39]   GZICY9PN [discard]
[2026-05-26 05:58:39]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard']
[2026-05-26 05:58:39]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:40]   J4TU9ZFY [discard]
[2026-05-26 05:58:40]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:40]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:41]   UNLZYNZ5 [keep]
[2026-05-26 05:58:41]     + tags: ['s1:claude:keep']
[2026-05-26 05:58:41]     + collections: ['CP5FPT68']
[2026-05-26 05:58:41]   RZRW87WI [keep]
[2026-05-26 05:58:41]     + tags: ['s1:claude:keep']
[2026-05-26 05:58:41]     + collections: ['CP5FPT68']
[2026-05-26 05:58:42]   NIMWW5HK [discard]
[2026-05-26 05:58:42]     + tags: ['s1:chatgpt:discard', 's1:claude:discard']
[2026-05-26 05:58:42]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:43]   D8QAB2EI [maybe]
[2026-05-26 05:58:43]     + tags: ['s1:chatgpt:maybe', 's1:claude:maybe']
[2026-05-26 05:58:43]     + collections: ['3QZJEDKF']
[2026-05-26 05:58:44]   MQKWBFZQ [maybe]
[2026-05-26 05:58:44]     + tags: ['s1:claude:maybe']
[2026-05-26 05:58:44]     + collections: ['3QZJEDKF']
[2026-05-26 05:58:45]   INKKWVND [discard]
[2026-05-26 05:58:45]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:45]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:46]   LTUJ3B22 [discard]
[2026-05-26 05:58:46]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:46]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:47]   GS2KU8LH [discard]
[2026-05-26 05:58:47]     + tags: ['s1:claude:discard', 's1:gemini:keep']
[2026-05-26 05:58:47]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:48]   CONFLICT MZ3S3G8J: Zotero has {'00-Queue'} but human=discard → applying discard
[2026-05-26 05:58:48]   MZ3S3G8J [discard]
[2026-05-26 05:58:48]     + tags: ['s1:chatgpt:keep', 's1:claude:maybe', 's1:gemini:keep', 's1:human:discard']
[2026-05-26 05:58:48]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:49]   2MFQT8NI [discard]
[2026-05-26 05:58:49]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:49]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:50]   YQR4Z2IU [discard]
[2026-05-26 05:58:50]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:50]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:51]   75FZUNPE [discard]
[2026-05-26 05:58:51]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:51]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:52]   M5RZH26G [discard]
[2026-05-26 05:58:52]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:52]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:53]   9HDKVSFN [discard]
[2026-05-26 05:58:53]     + tags: ['s1:claude:discard', 's1:gemini:keep']
[2026-05-26 05:58:53]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:54]   RC83GJKF [discard]
[2026-05-26 05:58:54]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:54]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:55]   YX7PEYFT [discard]
[2026-05-26 05:58:55]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:55]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:56]   7PT7AIU4 [keep]
[2026-05-26 05:58:56]     + tags: ['s1:claude:keep']
[2026-05-26 05:58:56]     + collections: ['CP5FPT68']
[2026-05-26 05:58:57]   NEFLVDEP [discard]
[2026-05-26 05:58:57]     + tags: ['s1:claude:discard']
[2026-05-26 05:58:57]     + collections: ['S7V4VUDB']
[2026-05-26 05:58:58]   QXGQR2QJ [maybe]
