item_key,cocite,decision,confidence,rationale
CP6MJGP5,2,discard,low,MISSING-from-model
DGWT3U7T,1,discard,low,MISSING-from-model
4KAD44NX,1,discard,low,MISSING-from-model
R5J6C7ET,1,discard,low,MISSING-from-model
NZ9EJ9EP,1,discard,low,MISSING-from-model
DV52UVA7,1,discard,low,MISSING-from-model
NAFJD4TZ,1,discard,low,MISSING-from-model
592ZJDZ8,1,discard,low,MISSING-from-model
NM7SE5BN,1,discard,low,MISSING-from-model
ICWBZBKE,1,discard,low,MISSING-from-model
2HU5JDV8,1,discard,low,MISSING-from-model
F4ZS7B6Z,1,discard,low,MISSING-from-model
52GU6PT7,1,discard,low,MISSING-from-model
N856C2A4,1,discard,low,MISSING-from-model
ATJHZIVQ,1,discard,low,MISSING-from-model
FU9WE8M2,1,discard,low,MISSING-from-model
T8XV52IT,1,discard,low,MISSING-from-model
ACKV9E5H,1,discard,low,MISSING-from-model
HQ476PES,2,discard,low,MISSING-from-model
DJG4FQ4D,1,discard,low,MISSING-from-model
MH8MPVSQ,1,discard,low,MISSING-from-model
TN9BDU65,1,discard,low,MISSING-from-model
CS873TJE,1,discard,low,MISSING-from-model
F9WVMSGF,1,discard,low,MISSING-from-model
NXUP6XRW,1,discard,low,MISSING-from-model
V9UEBB5D,1,discard,low,MISSING-from-model
X6NZNUV9,1,discard,low,MISSING-from-model
9AEFIVWE,1,discard,low,MISSING-from-model
NGSI4HS9,1,discard,low,MISSING-from-model
D5Z4USM3,1,discard,low,MISSING-from-model
C4EVIJ8J,1,discard,low,MISSING-from-model
GJWI9BUS,1,discard,low,MISSING-from-model
3MPE3Z3B,1,discard,low,MISSING-from-model
6KPQKK76,1,discard,low,MISSING-from-model
XNIDQJMN,1,discard,low,MISSING-from-model
IQ9EVNMM,1,discard,low,MISSING-from-model
Q8S33ARZ,1,discard,low,MISSING-from-model
TITW6KXA,1,discard,low,MISSING-from-model
8MGNXNHI,1,discard,low,MISSING-from-model
CC8R9C3X,2,discard,low,MISSING-from-model
ZH7SB46S,2,discard,low,MISSING-from-model
IB8U92AM,1,discard,low,MISSING-from-model
58E9JJ33,1,discard,low,MISSING-from-model
VEXJ5AVX,1,discard,low,MISSING-from-model
