item_key,decision,confidence,rationale
IBPAJZWZ,discard,high,DMA and AI Act platform regulation analysis for gatekeeper services with no connection to software development organizations managing AI-generated code
74UAHJ47,keep,medium,"PRISMA systematic review of automation bias mechanisms with evidence-based intervention strategies (verification effort, explanation design) that transfer directly to code reviewer oversight of AI-generated code"
6IB54Q33,discard,high,Gamification for AI model subjective validation via crowdsourcing — no connection to software code governance or AI-generated code oversight
V3LNSZEI,discard,high,Image generation content governance audit with no code angle
4PHG6XL5,discard,high,General AI governance and equity policy paper with no software engineering or code generation organizational angle
FCSXBE4I,keep,medium,Capability maturity model for production AI agent deployment with reliability and governance maturity dimensions directly applicable to SE organizations assessing readiness for AI coding agents
2U9MPNDK,discard,high,EU digital rulebook traceability framework for data privacy and identity — no software code governance angle
DDTFFM9K,keep,high,"Provides actionable constructs (boundary telemetry, corridor transport, cluster-level risk) for measuring and managing ambiguity propagation in enterprise AI/MLOps systems"
4GZ4U374,discard,high,AI-generated disinformation and corporate accountability in warfare/atrocity context — no software code governance angle
FW3MNAVJ,discard,high,"LLM training data governance (privacy, copyright, government responses) — no angle on AI-generated code or SE organizational governance"
2WWU3WZT,discard,high,"AI-generated content liability (defamation, Section 230) focused on text/speech with no code angle"
ULSD8EAL,discard,high,Organizational AI adoption paper focused on change management and workforce development with no code governance or AI code risk angle
9BC87S6I,discard,high,Political economy of AI standards-making between institutions — no operational contribution for software organizations managing AI-generated code
CZ7BPATM,discard,high,Section 230 liability analysis for generative AI content moderation — no code governance angle
RTES3DXX,keep,medium,"Adapts SR 11-7 model risk management for AI era with concrete HITL oversight mechanisms, safety metrics, and confabulation controls transferable to SE organizations managing AI model risk despite financial regulatory origin"
RXFJWPGC,keep,high,100-indicator transparency index for foundation models provides directly usable evaluation framework for SE organizations selecting and governing AI code generation tools
W5KDK58B,discard,medium,AI auditing systems ethics in corporate/financial audit context — no software development or AI-generated code angle
AEB37KGC,keep,high,"Empirical evidence and governance strategies for transparency, quality assurance, and security in GenAI codebases directly operationalizable for SE organizations managing AI-generated code at scale"
RAAL7TE2,discard,medium,Human creativity bias against AI-produced artifacts in organizational evaluation — no direct application to code review governance or AI code quality oversight
N34K4P4X,discard,medium,"Raises open questions about AI audit practice without providing operational methodology, measurement framework, or actionable guidance"
8XG6N7AQ,discard,high,EU AI Act compliance assessment competition — regulatory classification exercise with no software code governance operational contribution
