item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
YCIF3VGA,"Ethics maturity models for AI -creating structures for assessment of organizational maturity in ethics, governance, training, tools, and culture","The focus of this research is to explore the concepts of ethics maturity models in the context of artificial intelligence (AI) adoption, particularly on / AI adoption often accelerates AI system and application implementation outpacing the integration of ethical safeguards and cultural behavior norms (Gupta / AI Ethics, Maturity Model, Data Governance, Organizational Culture, AI Governance, Ethical AI Development",maybe,medium,"Organizational AI ethics maturity model provides assessment structure for governance adoption that could apply to software engineering teams, but the abstract lacks any explicit software, code, or engineering org angle",keep_queue
NLW3HZN2,Introducing a practice-based compliance framework for addressing new regulatory challenges in the AI field,"In 2022, we can expect this pressure to grow even further with transnational, national, federal, and local AI regulation kicking in. / with regulatory goals, that therefore can serve as anchor points for compliance and enforcement initiatives. / Social Practice Theory, AI, Compliance, Regulation",maybe,medium,"Practice-based AI compliance framework grounded in Social Practice Theory provides regulatory anchor-point methodology potentially applicable to software engineering org compliance, but abstract lacks any software or code angle",keep_queue
XBK7KB3E,From annotation to oversight: a pipeline approach to generative AI evaluation,"Evaluation-testing whether performance holds across different prompts, models, and contexts; (4) Rationale and Oversight-auditing model explanations and requiring human-in-the-loop / We emphasize transparency throughout: researchers should report multiple validation metrics and incorporate human review against gold-standard data. / Generative AI, Evaluation Metrics, Large Language Models, Data Generation",maybe,medium,"GenAI annotation-to-oversight evaluation pipeline with HITL review steps could transfer to code review oversight workflows, but implied social-science/NLP evaluation context means software applicability requires argument",keep_queue
5HT7MJV3,Agentic workflow drift and agentic workflow subversion: a new risk taxonomy for the governance of agentic AI in financial services,"As agentic AI moves into workflow orchestration, a new failure mode is emerging workflows that execute correctly against definitions that were never explicitly / author's knowledge, the first risk taxonomy developed specifically for the reasoning layer of agentic AI systems in financial services, reframing AI risk / Knowledge Graph, AI Governance, Operational Risk, Control Architecture, Banking Controls, Agentic AI, Model Risk Management, Financial Regulation, Workflow",maybe,medium,"Novel agentic workflow drift and subversion risk taxonomy targeting the reasoning layer of agentic AI is potentially transferable to code generation pipeline governance, but is framed entirely within financial services requiring domain re-derivation",keep_queue
JFIUWS9F,"The rise of ethical, governance, and trust-oriented roles in AI-enabled workplaces","AI managers, trust and compliance leads, and AI risk governance specialists. / behind the rise of these roles, such as regulatory developments, public scrutiny of algorithmic bias, and the need for organizational legitimacy in AI adoption / Responsible AI, AI Ethics, AI Governance, Trust In AI, Future of Work, Algorithmic Accountability, AI-Enabled Workplaces",maybe,medium,"Empirical identification of emerging AI governance roles (trust leads, risk governance specialists) could inform software engineering org design, but abstract lacks explicit software development, DevSecOps, or code governance scope",keep_queue
XF92TSIM,Constitutional drift in AI systems: the governance gap between output assurance and structural stability,"Current AI governance frameworks address capability, alignment, and compliance. / AI Governance, Constitutional Stability, Model Drift, AI Auditability, Structural Risk, Regulatory Design, AI Assurance, EU AI Act, Systemic AI Risk",maybe,medium,"AI governance gap between output assurance and structural stability (model drift, auditability) could inform software deployment governance processes, but abstract lacks explicit software, code, or engineering org scope",keep_queue
9I8TTE85,Conformity assessments and post-market monitoring: a guide to the role of auditing in the proposed european AI regulation,"We argue that AIA can be interpreted as a proposal to establish a Europe-wide ecosystem for conducting AI auditing, albeit in other words. / First, by describing the enforcement mechanisms included in the AIA in terminology borrowed from existing literature on AI auditing, we help providers",maybe,medium,"EU AI Act auditing ecosystem and post-market monitoring methodology is potentially applicable to software development organizations' AI compliance obligations, but scope is regulatory infrastructure without explicit code or software engineering angle",keep_queue
9NFBWNGF,Generative AI safety: a layered framework for ensuring responsible AI development and deployment,"This article discusses a multi-layered framework to address the challenges around Generative AI safety. / key stages: Training Data, Algorithm, Inference, Publication, and Societal Impact, each layer integrates principles of quality, fairness, transparency, accountability / Generative AI, AI Safety, Accountability, Fairness, Transparency, Human in the Loop, Responsible AI, Philippines",maybe,medium,Layered GenAI safety framework with explicit HITL integration at each development stage (Training Data through Societal Impact) could inform AI deployment governance but appears conceptual without empirical validation or software-engineering-specific application,keep_queue
VEGZR3CP,The proof-execution gap: a universal framework for computational veracity in adversarial environments,"outline the generalization of these primitives to non-financial domains, including clinical trials and AI governance, providing a unified standard for algorithmic / accountability in adversarial environments.",maybe,medium,Proof-execution gap verification framework for adversarial computational accountability has structural parallel to verifying AI code output claims but financial/clinical domain origin requires translation argument not resolvable from abstract,maybe_queue
9NA8TTTH,"Responsible by design: ethical AI ecosystems for governance, risk, and delivery","Based on an aggregate of research from multiple disciplines, international regulations for AI (EU AI Act, NIST AI RMF, IEEE 7000-2021, and ISO/IEC 42001 / help develop mechanisms for oversight and control. / Ethical AI, AI Governance Frameworks, Risk Management, Responsible Innovation, Algorithmic Accountability, Human-Centered AI, Bias Mitigation, Enterprise",maybe,medium,"Synthesis of multiple governance frameworks (EU AI Act, NIST AI RMF, ISO/IEC 42001) with explicit oversight mechanisms for enterprise AI could transfer to software governance but abstract lacks specificity about whether software/code scope is addressed",keep_queue
L244XDA5,Ixnos: a deterministic fragment identifier protocol for AI training data,"fine-grained overlap between training sets and evaluation benchmarks, reproduce exact dataset compositions, or support audit workflows related to data governance / regulations such as the EU AI Act. / training data provenance, dataset fingerprinting, benchmark contamination, reproducibility, data governance, EU AI Act, GDPR, fragment identification",maybe,medium,"Deterministic training data provenance protocol enabling fine-grained audit workflows and EU AI Act compliance has indirect relevance to AI governance auditing but addresses training data management rather than oversight of AI-generated code outputs, requiring domain translation",maybe_queue
