item_key,decision,confidence,rationale
68K56AUX,keep,medium,Tiered risk classification (Critical/High-Risk/Standard/Experimental) for agentic AI provides actionable deployment governance framework directly applicable to AI coding agent pipelines; the tier mechanism transfers without re-derivation
248UPC7K,discard,medium,Target domain is research data generation (not code); the multi-metric validation concept is too generic and the gold-standard human review framing doesn't provide operationalizable mechanisms beyond 'have humans check it'
5SLHWAUC,discard,medium,Supply chain ERP observability framework requires substantial domain re-derivation to apply to code review; NIST AI RMF citation alone doesn't make the integration monitoring patterns transferable to SE governance
CUQ7TTY4,keep,medium,Derives functional minimum requirements for governance grounded in genealogical transparency; moral crumple zone concept directly addresses who absorbs accountability when AI code fails — operationalizable accountability allocation framework
JIG9NY55,keep,high,"Generation-verification-repair closed loop with quantified results (100% syntactic, 78% functional correctness) is a transferable verification architecture for LLM code generation; domain is PLC but the loop mechanism generalizes"
TF2C996H,keep,medium,Confidence-calibrated triage routing (auto-approve high/flag uncertain/discard low) is structurally identical to scalable code review prioritization; the routing mechanism transfers trivially despite image annotation domain
YX4EPM33,discard,medium,Regulatory thresholds for frontier AI operate at policy governance level without engineering-organization operationalization; no mechanism or process an SE team could adopt directly
WHQ4LZQ8,discard,medium,Meta-level harmonization strategies for fragmented standards; provides no operationalizable mechanism for engineering teams — tells orgs standards overlap but not what to do about it in practice
D62FTR38,keep,high,"Quantifies automation bias (7% rate) and identifies moderating factors (experience, self-efficacy reduce AI reliance; time pressure increases anchoring); measurement methodology directly applicable to studying developer oversight behavior"
X7S3ELFB,keep,medium,Governance-first framework for selecting agent autonomy level (HITL vs. rule-based vs. autonomous) based on risk directly informs engineering decisions about AI coding assistant deployment; DAF selection criteria transfer
NZTEAVN4,discard,high,No abstract available; cannot assess operationalizability or relevance — insufficient information to justify inclusion in synthesis corpus
3KRMAPK3,discard,high,Keywords-only abstract provides no information about actual contribution; cannot assess whether 'configuration design' offers operationalizable mechanisms or is business strategy rhetoric
524TWMDJ,keep,medium,Empirical finding that experts override correct AI suggestions more than novices directly predicts senior developer behavior in AI-assisted code review; measurement methodology and moderating factors (explanation style effects) transfer
MVKNQPM4,discard,medium,Focus is on economic displacement dynamics and strategic response rather than operational governance mechanisms; verification/oversight framing is context-setting not the actionable contribution
7NAH36ZU,keep,high,Tamper-evident causal logging for AI agent actions provides directly operationalizable audit infrastructure for tracking AI-generated code provenance and decision chains; accountability mechanism transfers directly
H7ZEP6FZ,keep,medium,"Comparative analysis of six frameworks (EU AI Act, NIST AI RMF, ISO/IEC 42001, SOC 2) for compliance-by-design provides actionable mapping for SE orgs navigating multi-standard AI governance requirements"
TL59BYKT,discard,high,Keywords-only litigation data overview provides no operationalizable framework or methodology — descriptive market survey without actionable contribution
36NC2GK8,discard,high,Financial sector MRM framework with banking regulation context requires substantial domain re-derivation; stress testing methodology is finance-specific
N5RK5TBY,keep,medium,Control-theoretic Proactivity Ratio metric for measuring governance capacity is domain-agnostic and transfers to code review pipeline oversight without re-derivation
HIG7TK9E,keep,medium,"HITL UX mechanisms (draft-state management, undo/rollback, explainability) are design patterns that transfer trivially to AI code review interface design"
Q6SVKUCU,keep,medium,Technical liability framework for nondeterministic LLM outputs directly applies to AI-generated code liability without domain translation required
VCQF8J5T,discard,high,Keywords-only abstract provides zero evaluable methodology or contribution; cannot confirm any operationalizable content
HKK5KQXB,keep,medium,DFA-based trust dynamics model evaluated in software engineering domain with quantitative overtrust/distrust detection directly applicable to calibrating developer oversight of AI code
DXIJWSLA,discard,high,Keywords-only abstract prevents assessment of operationalizability; cannot confirm methodology or whether framework is actionable
T5GJ5VZU,keep,medium,"Formal governance function G(A)={C,V,R,M,L} with explicit constraint/validation/risk/monitoring components transfers to AI code agent governance with minimal re-derivation"
4B2BGBL6,discard,high,Thin abstract presents assertion without methodology; cannot confirm operationalizable gap analysis or framework beyond SOC 2 insufficiency claim
NG9SITNU,discard,medium,Sparse abstract cannot confirm whether contribution is operationalizable governance framework versus descriptive security overview
69LKIAPV,discard,medium,Sparse abstract leaves SE applicability unresolved; benchmark appears domain-general cognitive augmentation without SE-specific operationalization
BGV78XUB,discard,medium,Primary focus on cybersecurity defense systems rather than software code governance; governance manipulation attack surface concept doesn't trivially transfer to code review contexts
5DMEXMK5,discard,high,Section 230 analysis focuses on content platform liability and legislative activity; descriptive legal overview without code-specific operationalization
ZH8F3UC8,discard,medium,"Enterprise data architecture focus mentions governance frameworks (DORA, EU AI Act) but does not operationalize them for software/code development contexts"
ML88MC4H,keep,medium,Governance taxonomy distinguishing visibility/alignment/authorization layers provides structured vocabulary applicable to AI code governance decisions without domain re-derivation
UIPQFFDH,keep,high,"Practitioner-derived agent governance recommendations (HITL collaboration, risk management, fallback integration, performance metrics) from empirical study are domain-agnostic and directly applicable to software agent governance"
S9PIS4IB,keep,medium,User study quantifying Dunning-Kruger calibration mismatch in AI-assisted work provides directly transferable behavioral finding for designing AI code oversight to counter overreliance
CJNMEJ9L,discard,medium,Blockchain audit trail mechanism requires substantial infrastructure adaptation for code provenance; general AI trust framework without SE-specific application or trivial transfer path
A8FT9SZP,keep,medium,10-level autonomy framework with organizational readiness mapping across governance/infrastructure dimensions provides maturity assessment tool SE teams can use directly for AI coding tool adoption decisions; transfer is trivial
D9AGX3KW,discard,high,Multi-agent compliance review principles are interesting but the compliance domain (beauty tech biometric data regulations) has no structural parallel to code review; would require substantial re-derivation to apply
9SME5D6V,keep,medium,Control plane architecture with semantic admissibility boundaries and audit infrastructure are software-native architectural concepts; mechanism transfers to governing AI code generation tool outputs without domain re-derivation
7RV3XLMV,discard,medium,Verified execution and authority-gated computation concepts sound relevant but abstract is one sentence fragment with no methodology or operationalizable content visible; keeping would be gambling on invisible content
C5G4HZ2R,discard,high,Abstract contains only keywords with zero methodology or contribution discernible; impossible to assess operationalizability when there is nothing to assess
LLV7KNM2,keep,medium,Executable governance accountability injection framework with AI Act conformity assessment case study provides mechanism for embedding responsibility into automated systems; code-adjacent framing transfers to software governance
MF2DHV5J,keep,medium,"Formal execution vocabulary for auditability, certification, and execution-time accountability addresses structural gap in how software orgs can verify AI-generated code behavior; conceptual but addresses real governance need"
ZEDIB75C,discard,medium,Abstract is too thin to confirm operationalizable methodology; 'unified governance framework' claim without visible substance or IEEE Standards application detail
7VDS6ZAU,discard,high,Enforcement probability modeling addresses regulatory enforcement risk (will regulators act?) not code quality or oversight scaling; mechanism doesn't transfer to software team AI code governance decisions
2TTGSYDS,keep,high,"Establishes AI standards (human oversight, accuracy, robustness, cybersecurity) as legal duty-of-care benchmark against which developers and AI operators are judged; directly informs what SE teams must operationalize"
FEZIUMVJ,discard,high,"One-sentence abstract provides no methodology, scope, or operationalizable content; cannot assess what the governance framework actually contains or how it applies"
ABCYK8WI,discard,medium,Abstract is keywords only with no visible methodology or operationalizable output; 'premature accountability convergence' is phenomenon analysis without actionable framework
YN3JDZQA,keep,medium,Decision event schema for post-incident reconstruction provides audit trail mechanism; 'governance vs compliance evidence' distinction directly applicable to AI code system accountability
