item_key,cocite,decision,confidence,rationale,title
FI8VIQKJ,1,keep,high,"Introduces a reproducible benchmark with dataset and novel metrics for evaluating secure code generation, directly operationalizable for org risk assessment",SALLM: security assessment of generated code
23SI35RH,1,discard,medium,"Large survey of usage patterns and preferences for AI coding assistants without a risk, oversight, or quality governance mechanism","Using AI-based coding assistants in practice: state of affairs, perceptions, and ways forward"
VMNUGXFZ,1,keep,high,Live programming tool and user study directly targeting developer validation of AI-generated code suggestions to reduce over/under-reliance,Validating AI-generated code with live programming
NPAQ7SQA,1,discard,medium,"UI/RAG tool for managing conflicting intent specifications and AI memory, not a code risk, quality, or oversight-scaling mechanism",Semantic commit: helping users update intent specifications for AI memory at scale
6ZW9QNQH,1,keep,high,Position paper proposing a formal-verification side-car system to mitigate vibe coding technical debt and security pitfalls,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification
Q5UQ4MBP,1,keep,high,"Empirical evaluation of LLM-based vulnerability detection performance, an actionable detection signal for security review",Large language model for vulnerability detection: emerging results and future directions
PF595SEQ,1,keep,high,Quantifies insecure code generation rates across four LLMs with CWE-based methodology and prompting/guidance mitigations,"""You still have to study"" -- On the Security of LLM generated code"
2KQ93JHX,1,keep,high,"Large-scale empirical measurement of package hallucination rates with mitigation strategies, directly actionable for supply-chain risk",We have a package for you: a comprehensive analysis of package hallucinations by code generating LLMs
DKN3R3PX,1,keep,high,"New benchmark and rigorous evaluation exposing overestimated vulnerability-detection performance of code LMs, informing detection reliability",Vulnerability detection with code language models: How Far Are We?
GWPKZS68,1,keep,high,"Systematic grey literature review of vibe coding QA practices and quality perceptions, core to the domain anchor","Vibe Coding in Practice: Motivations, Challenges, and a Future Outlook – a Grey Literature Review"
8K64UMFW,1,keep,medium,"Method for calibrated probabilistic estimation of generated program correctness offers a trust-calibration signal, though not framed around organizational governance",Toward Trustworthy Neural Program Synthesis
S44NI54N,1,discard,high,Field experiment on AI's effect on general team collaboration and performance at P&G with no software-specific risk or oversight angle,The Cybernetic Teammate: A Field Experiment on Generative AI Reshaping Teamwork and Expertise
WHP43VQK,1,keep,high,Proposes a systematic black-box method for discovering security vulnerabilities in code generation models like Copilot,Systematically finding security vulnerabilities in black-box code generation models
REZGA5WF,1,keep,high,"Causal empirical study quantifying how Cursor adoption raises velocity but increases complexity and static-analysis warnings, a quality-assurance bottleneck finding",Speed at the cost of quality: how cursor AI increases short-term velocity and long-term complexity in open-source projects
CNN7GGG2,1,keep,high,Realistic benchmark evaluating secure coding capability of code agents against human-introduced vulnerability scenarios,Secure Vibe Bench: evaluating secure coding capabilities of code agents with realistic vulnerability scenarios
B8DJBDXS,1,keep,high,Benchmark evaluating secure code completion by code agents across real-world repositories and CWE categories,SecRepoBench: Benchmarking Code Agents for Secure Code Completion in Real-World Repositories
59ZW4R58,1,keep,medium,"Proposes a governance framework (VIBE4M) for vibe coding maintenance risks, though the paper is largely a position/review piece",The gotchas of AI coding and vibe coding. It’s all about support and maintenance
3ZVMBGPB,1,keep,high,Vision paper for agentic code review addressing reviewer bottleneck from AI code volume with human-controlled quality gates,Rethinking code review in the age of AI: a vision for agentic code review
TF56EPIP,1,keep,high,"Proposes SAFE-AI governance framework and autonomy taxonomy directly addressing safety, oversight, and regulatory alignment for AI code agents",Rethinking autonomy: preventing failures in AI-driven software engineering
7ZMU5AIF,1,keep,medium,Human oversight and verification-trace design study for agentic AI is domain-general (computer-use agents) but its oversight mechanism plausibly transfers to code review verification,Overseeing Agents Without Constant Oversight: Challenges and Opportunities
CIP9FBM3,1,maybe,medium,"Large-scale MCP server security/maintainability study with governance recommendations, but targets AI-agent tool infrastructure rather than AI-generated code oversight directly",Model Context Protocol (MCP) at First Glance: Studying the Security and Maintainability of MCP Servers
