cluster_id,cluster_size,action,key,canonical_key,item_type,venue_rank,year,first_author,title,sources,screening_stages,doi,url,user_override
C0001,5,KEEP_CANONICAL,UYXDHXD6,UYXDHXD6,conferencePaper,1,2026,Feng,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,acm|arxiv,03-Discard,10.1145/3772318.3791642,https://doi.org/10.1145/3772318.3791642,
C0001,5,SUPERSEDE,SF7I2JD4,UYXDHXD6,conferencePaper,1,Apri,Feng,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,acm,00-Queue,10.1145/3772318.3791642,https://dl.acm.org/doi/10.1145/3772318.3791642,
C0001,5,SUPERSEDE,75NTPCPP,UYXDHXD6,conferencePaper,1,Apri,Feng,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,acm,00-Queue,10.1145/3772318.3791642,https://dl.acm.org/doi/10.1145/3772318.3791642,
C0001,5,SUPERSEDE,7B57A9X6,UYXDHXD6,conferencePaper,1,Apri,Feng,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,acm,00-Queue,10.1145/3772318.3791642,https://dl.acm.org/doi/10.1145/3772318.3791642,
C0001,5,SUPERSEDE,DJP2Q7FJ,UYXDHXD6,preprint,4,2026,Feng,From junior to senior: allocating agency and navigating professional growth in agentic AI-mediated software engineering,arxiv,,10.1145/3772318.3791642,https://arxiv.org/abs/2602.00496,
C0002,5,KEEP_CANONICAL,P868GNU7,P868GNU7,journalArticle,0,2026,Watanabe,On the use of agentic coding: an empirical study of pull requests on GitHub,acm|arxiv,01-Keep,10.1145/3798166,https://doi.org/10.1145/3798166,
C0002,5,SUPERSEDE,6WUJUVEI,P868GNU7,journalArticle,0,Marc,Watanabe,On the use of agentic coding: an empirical study of pull requests on GitHub,acm,00-Queue,10.1145/3798166,https://dl.acm.org/doi/10.1145/3798166,
C0002,5,SUPERSEDE,YKLEPERJ,P868GNU7,journalArticle,0,Marc,Watanabe,On the use of agentic coding: an empirical study of pull requests on GitHub,acm,00-Queue,10.1145/3798166,https://dl.acm.org/doi/10.1145/3798166,
C0002,5,SUPERSEDE,ZM9G7Z4C,P868GNU7,journalArticle,0,Marc,Watanabe,On the use of agentic coding: an empirical study of pull requests on GitHub,acm,00-Queue,10.1145/3798166,https://dl.acm.org/doi/10.1145/3798166,
C0002,5,SUPERSEDE,JRQ6GRWE,P868GNU7,preprint,4,2025,Watanabe,On the use of agentic coding: an empirical study of pull requests on GitHub,arxiv,,,https://arxiv.org/abs/2509.14745,
C0003,4,KEEP_CANONICAL,5YILFYU7,5YILFYU7,journalArticle,0,2026,Koohestani,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark quality",arxiv,00-Queue,10.1109/TSE.2025.3644183,https://www.scopus.com/pages/publications/105025433270?origin=resultslist,
C0003,4,SUPERSEDE,TD6DKXGS,5YILFYU7,journalArticle,0,2026,Koohestani,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark quality",scopus,00-Queue,10.1109/TSE.2025.3644183,https://www.scopus.com/pages/publications/105025433270?origin=resultslist,
C0003,4,SUPERSEDE,EYB6CT6R,5YILFYU7,journalArticle,0,2026,R. Koohestani,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark quality",ieee,00-Queue|03-Discard,10.1109/TSE.2025.3644183,,
