seq,item_key,title,authors,year,item_type,abstract,bin,centrality,reason_code,rationale
1,8L2G3J4Q,♪ with a little help from my (LLM) friends: enhancing static analysis with LLMs to detect software vulnerabilities,A. Munson; J. Gomez; Á. A. Cárdenas,2025,conferencePaper,"This paper explores the integration of Large Language Models (LLMs) with static analysis tools, specifically Semgrep, to enhance vulnerability detection in Java applications. Through a series of experiments, we evaluate the performance of various LLMs in triaging security weaknesses identified by Semgrep. We also study how LLMs perform across different types of vulnerabilities and assess the impact of various prompt engineering strategies. Our results reveal that while some LLM models reduce the accuracy of baseline results with static analysis, they show a consistent improvement with each new model released. In particular, o1-mini significantly outperformed others in our experiments in terms of their accuracy and false positive reduction. Although LLMs might not be ready for prime time in vulnerability detection yet, this study highlights their growing potential to complement existing tools and paves the way for future research to further optimize LLM-based vulnerability detection systems.",context,50,,"This is about LLM in scanning tools, not directly oversight."
2,4VXJUF5I,From tokens to tactics: operationalizing generative AI in enterprise workflows,Hassan; Deshapaga; Bansod et al.,2025,conferencePaper,"Generative Artificial Intelligence (GenAI) has been of great transformative value in terms of its language abilities within businesses, but also its ability to make operations more efficient and even high level. The current paper entails an in-depth discussion of how companies can shift the experimentation to the tactical phase of large-scale implementation of GenAI in various business processes. We explore architectural, integration and governance structures that are required to integrate GenAI into business-critical processes including automation of customer support and document intelligence, personalized marketing and software development at breakneck speed. The operational model is a layered one that suggests alignment between GenAI capabilities, data pipelines, human-in-the-loop systems and the boundaries of compliance. Case studies emphasise the measurable productivity increments and risk preventive measures. This work helps to define a practical stepping stone towards scaling GenAI beyond proof-of-concept to business-ready solutions by narrowing the divide that exists between the results model outputs and something that can be used in concrete business. © 2025 IEEE.",core,80,,Covers software and human oversight.
3,GD3RMX4R,On integrating resilience and human oversight into LLM-assisted modeling workflows for digital twins,P; Karanjkar,2026,preprint,"LLM-assisted modeling holds the potential to rapidly build executable Digital Twins of complex systems from only coarse descriptions and sensor data. However, resilience to LLM hallucination, human oversight, and real-time model adaptability remain challenging and often mutually conflicting requirements. We present three critical design principles for integrating resilience and oversight into such workflows, derived from insights gained through our work on FactoryFlow - an open-source LLM-assisted framework for building simulation-based Digital Twins of manufacturing systems. First, orthogonalize structural modeling and parameter fitting. Structural descriptions (components, interconnections) are LLM-translated from coarse natural language to an intermediate representation (IR) with human visualization and validation, which is algorithmically converted to the final model. Parameter inference, in contrast, operates continuously on sensor data streams with expert-tunable controls. Second, restrict the model IR to interconnections of parameterized, pre-validated library components rather than monolithic simulation code, enabling interpretability and error-resilience. Third, and most important, is to use a density-preserving IR. When IR descriptions expand dramatically from compact inputs hallucination errors accumulate proportionally. We present the case for Python as a density-preserving IR : loops express regularity compactly, classes capture hierarchy and composition, and the result remains highly readable while exploiting LLMs strong code generation capabilities. A key contribution is detailed characterization of LLM-induced errors across model descriptions of varying detail and complexity, revealing how IR choice critically impacts error rates. These insights provide actionable guidance for building resilient and transparent LLM-assisted simulation automation workflows.",context,30,,Separate domain.
4,VFZXPDJX,Enhancing human-machine pair inspection with risk number and code inspection diagram,Dai; Liu; Xu,2024,journalArticle,"Software inspection is a widely-used approach to software quality assurance. Human-Machine Pair Inspection (HMPI) is a novel software inspection technology proposed in our previous work, which is characterized by machine guiding programmers to inspect their own code during programming. While our previous studies have shown the effectiveness of HMPI in telling risky code fragments to the programmer, little attention has been paid to the issue of how the programmer can be effectively guided to carry out inspections. To address this important problem, in this paper we propose to combine Risk Number with Code Inspection Diagram (CID) to provide accurate guidance for the programmer to efficiently carry out inspections of his/her own programs. By following the Code Inspection Diagram, the programmer will inspect every checking item shown in the CID to efficiently determine whether it actually contain bugs. We describe a case study to evaluate the performance of this method by comparing its inspection time and number of detected errors with our previous work. The result shows that the method is likely to guide the programmer to inspect the faulty code earlier and be more efficient in detecting defects than the previous HMPI established based on Cognitive Complexity.",core,80,,includes risk identification and directing the human to the risky code.
5,7V7SRG43,CodeAgent: autonomous communicative agents for code review,Tang; Kim; Song et al.,2024,preprint,"Code review, which aims at ensuring the overall quality and reliability of software, is a cornerstone of software development. Unfortunately, while crucial, Code review is a labor-intensive process that the research community is looking to automate. Existing automated methods rely on single input-output generative models and thus generally struggle to emulate the collaborative nature of code review. This work introduces \tool{}, a novel multi-agent Large Language Model (LLM) system for code review automation. CodeAgent incorporates a supervisory agent, QA-Checker, to ensure that all the agents' contributions address the initial review question. We evaluated CodeAgent on critical code review tasks: (1) detect inconsistencies between code changes and commit messages, (2) identify vulnerability introductions, (3) validate code style adherence, and (4) suggest code revision. The results demonstrate CodeAgent's effectiveness, contributing to a new state-of-the-art in code review automation. Our data and code are publicly available (\url{https://github.com/Code4Agent/codeagent}).",context,60,,Overly focused on the code review process.
6,GCZQTNBD,LLM4VV: exploring LLM-as-a-judge for validation and verification testsuites,Sollenberger; Patel; Munley et al.,2025,conferencePaper,"Large Language Models (LLM) continue to improve and are revolutionizing the landscape of software development. These large models have demonstrated potential to generate, debug, test, analyze, document, and even translate code. Thus they are a valuable tool in the software development cycle. If used correctly, such tools can often accelerate the development cycle. Though the tools are powerful and new, the community is cautious of training using biased or sensitive data, which can lead to biased, dangerous, or incorrect outputs along with the inadvertent release of confidential information. Additionally, the carbon footprints and the un-explainability of these ""black box"" models continue to raise questions about the reliability of LLMs.With these opportunities and these challenges ahead, this paper explores the idea of ""judging"" LLM-generated code to better understand and ""open up"" the un-explainable ""black box"" models used by LLMs. We probe into the black box of one such LLM that has generated the best compiler tests for the directive-based programming models OpenMP and OpenACC in our earlier research. We challenge DeepSeek's deepseek-coder-33B-instruct model with intentionally-erroneous code, and we also define relevant metrics and adopt an agent-based approach to evaluate the LLM and assess its capabilities as an LLM-as-a-judge. We also develop a pipeline-based approach to streamline the entire workflow. Finally, we make use of all of these strategies together to develop a more reliable method for automatically validating LLM-generated compiler tests. Based on our results, utilizing an agent-based prompting approach and setting up a validation pipeline structure drastically increased the quality of deepseek-coder-33B-instruct evaluation of tests which are used to validate compiler implementations of directive-based parallel programming models.",context,50,,Discusses LLM judging in related scenario.
7,GPL5G889,A model for types and levels of human interaction with automation,Parasuraman; Sheridan; Wickens,2000,journalArticle,"We outline a model for types and levels of automation that provides a framework and an objective basis for deciding which system functions should be automated and to what extent. Appropriate selection is important because automation does not merely supplant but changes human activity and can impose new coordination demands on the human operator. We propose that automation can be applied to four broad classes of functions: 1) information acquisition; 2) information analysis; 3) decision and action selection; and 4) action implementation. Within each of these types, automation can be applied across a continuum of levels from low to high, i.e., from fully manual to fully automatic. A particular system can involve automation of all four types at different levels. The human performance consequences of particular types and levels of automation constitute primary evaluative criteria for automation design using our model. Secondary evaluative criteria include automation reliability and the costs of decision/action consequences, among others. Examples of recommended types and levels of automation are provided to illustrate the application of the model to automation design.",context,50,,"Not focused on software and no clear triage of concerns for human review,"
8,82N4MFN7,A situation awareness perspective on human-agent collaboration: tensions and opportunities,Jiang; Karran; Coursaris et al.,2021,conferencePaper,"The rise of automation and artificial intelligence within the organization has come with many benefits. However, in conjunction with these benefits have come various concerns related to user empowerment (e.g., over-reliance, loss of human agency, lack of trust). Human-Computer Interaction researchers are seeking ways to address these concerns by informing user interface and task design. However, an overarching framework providing a holistic perspective is needed to guide such effort. We propose that for the intelligent agents to be utilized optimally within the organization, a contextual perspective is needed to capture various factors related to the user, task, technology, and environment, which can inform the value proposition of human-agent collaboration in the organization. To this end, we propose a situation awareness (SA) approach as a promising lens, which would in turn promote a human-centered artificial intelligence design and development perspective. This paper introduces the theoretical basis for SA and discusses three major tensions and the associated opportunities for developing SA in human-agent collaboration. © 2021, Springer Nature Switzerland AG.",context,50,,None software focus on presenting situation awareness of AI to humans.
9,S7BJA4RD,AI-assisted collaboration: exploring developer experience with GitHub copilot and windsurf,S. C. Winckler; J. F. Ribeiro; L. S. Machado et al.,2026,journalArticle,"AI-assisted tools are reshaping how developers work, yet empirical research examining their impact through developer experience (DevEx) frameworks remains limited. This study investigates the adoption of AI-assisted coding tools, including GitHub Copilot and Windsurf, within software development at a Fintech organization. We conducted a mixed-methods study over a three-month period, combining quantitative usage telemetry with qualitative thematic analysis of practitioner reflections within a 36-person technical unit. The analysis maps the impact of AI tools across three dimensions of DevEx: flow state, feedback loops, and cognitive load. Our findings reveal a productivity–validation tension: while practitioners report accelerated routine tasks and describe AI-assisted tools as “game changers,” they continue to experience substantial validation burdens related to prompt formulation, output verification, and architectural alignment. Additionally, emergent dynamics highlight AI adoption as a socio-technical transformation requiring DevEx monitoring rather than simple tool substitution.",context,50,,AI assisted coding evaluation.
10,RPHK78A9,"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond",Kim; Yegge,2025,book,"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond (2025) by Gene Kim and Steve Yegge provides a comprehensive practitioner guide to AI-assisted software development, from individual productivity techniques to organizational governance at scale. The book introduces a taxonomy of AI coding modes (completions, chat, agentic) and argues that the bottleneck in AI-augmented development is shifting from code generation to oversight, testing, and organizational coordination. Part 4 is particularly relevant to AI governance research: it documents the 2024 DORA anomaly (every 25% increase in GenAI adoption correlating with 7% worse stability and 1.5% throughput reduction), presents empirical case studies from Adidas (700 developers) and Booking.com (3,000+ developers), and frames organizational ""Layer 3 wiring"" — governance structures, standards, and accountability mechanisms — as the critical determinant of whether AI coding amplifies or degrades software delivery performance. The book articulates practitioner-level governance mechanisms including risk-based ownership (""you build it, you run it""), automated code review agents, organizational standards documentation (AGENTS.md), and tiered governance frameworks. Foreword by Dario Amodei, CEO of Anthropic.",core,75,,"Grey literature, but completely on topic."
