item_key,bin,centrality,reason_code,rationale,title
5H6KQCJM,context,65,,"Investigates the long-term evolution and organizational maintainability of AI-generated code, providing empirical context on the aftermath of high code volume.",Will it survive? Deciphering the fate of AI-generated code in open source
79JAXRME,context,45,,Offers a conceptual framework for agentic AI platform governance and epistemic degradation that could transfer to organizational policies for AI code generation.,Self-suppressing correction in agentic AI platforms: a conceptual framework for coupled epistemic degradation
VFE9BX2T,core,80,,Directly addresses human-in-the-loop feedback mechanisms for evaluating and correcting AI-generated infrastructure-as-code within a DevOps pipeline.,"Deployability-centric infrastructure-as-code generation: fail, learn, refine, and succeed through LLM-empowered DevOps simulation"
LJA5AH6N,discard,10,out-of-scope,Focuses on benchmarking LLM generation capabilities for test skeletons without addressing the governance or human oversight of the generated code.,Comparative evaluation of large language models for test-skeleton generation
AYGMC9Y4,context,50,,"Explores human-AI hybrid development and the need for developer intervention in AI-generated applications, providing relevant context for code oversight.","Analyzing the impact of prompt engineering on efficiency, code quality, and security in CRUD application development"
TUYBSBZ2,discard,20,out-of-scope,Focuses on using LLMs to assist human code review intent classification rather than how humans oversee AI-generated code.,On the performance of large language models for code change intent classification
TUE9R2PH,core,85,,Proposes a concrete governance specification and risk-gated lifecycle involving human review for agentic AI actions and write operations.,OpenPort protocol: a security governance specification for AI agent tool access
NKII6YDD,context,60,,"Provides a methodological framework for allocating limited human cognitive resources to oversee AI systems, which is highly transferable to code oversight scalability.",When to delegate to artificial intelligence: a constrained resource optimization framework
FEJLI262,context,40,,"Discusses automated output verification and regulatory compliance for LLMs, offering general AI governance context that plausibly transfers to code generation.",A decontextualized LLM-based safeguard technique for automated jailbreak mitigation
VCI88UZD,core,95,,"Directly addresses governance, scalability, and blended human-automated oversight mechanisms for verifying and certifying AI-assembled software components.",Human-certified module repositories for the AI age
YRBG342S,discard,25,wrong-type,A position paper outlining future research on human-AI cooperation in testing without a concrete evidence base or operationalizable framework.,"Synergizing human-AI cooperation in automated software testing: a balance for enhanced efficiency, reliability, and trust"
Y5LGJ7L7,context,55,,"Examines human-in-the-loop dynamics and automation bias in algorithmic decision-making, offering methodologically strong, transferable insights on human oversight limitations.",Human discernment of algorithmic errors: a case study in child welfare
DY2Y5QE3,context,50,,"Analyzes the liability and intellectual property risks of agentic AI, providing relevant legal and governance context for organizational policies.","Rogue AI agents won't be testifying-you will: agentic AI, IP and liability risks, and a path forward"
EB9D98W5,core,75,,Explores scalable evaluation frameworks combining LLM-in-the-loop with human-in-the-loop oversight for safety-critical industrial code generation.,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming
MPU6HLPS,discard,15,out-of-scope,Focuses on an engineering copilot for information retrieval and question-answering rather than the governance or oversight of AI-generated code.,ENCO: deploying production-scale engineering copilots
Q6SVKUCU,context,45,,"Explores legal liability for generative AI failures, offering broader context on organizational risk and accountability.",Nondeterministic torts: a technical approach to AI liability
5I2W8IC6,core,80,,"Investigates developer trust and over-reliance on LLMs in software engineering, a core aspect of human oversight effectiveness and associated risks.",Mapping the trust terrain: LLMs in software engineering - insights and perspectives
4YKMK4ZI,context,55,,"Presents a formal analysis of AI governance and compliance verification, contributing theoretical grounding for oversight limitations and regulatory audits.",On the impossibility of observability-based authorization: a formal impossibility result for ex-ante AI governance
TFZ594LZ,context,65,,"Critiques the application of major AI governance frameworks and explores human-AI delegation, providing essential policy and risk management context.","Intention, integration, and the implementation gap: why AI governance frameworks are misread as risk checklists"
BP8HVTMW,core,85,,"Introduces an empirical method for identifying and attributing AI-generated code, enabling scalable repository governance and organizational risk measurement.",Fingerprinting AI coding agents on GitHub
TI4RF68X,context,60,,"A systematic review covering the integration of LLMs across the software development life cycle, including discussions on ethical risks and mitigation strategies.",Towards the integration of large language models into the software development life cycle: a systematic literature review
XKEY3YYF,discard,25,out-of-scope,Introduces a framework for evaluating interactive human-LM tasks but lacks focus on code generation governance or oversight workflows.,Evaluating human-language model interaction
I7X7LTNR,discard,25,out-of-scope,"Investigates multi-LLM self-negotiation for software tasks without addressing human oversight, governance, or organizational scalability.",A preliminary study on large language models self-negotiation in software engineering
TTEUEB9V,context,35,,"The abstract is missing, but the title suggests a major AI governance and risk management framework relevant to the broad context of AI oversight.",NIST AI 600-1: Generative Artificial Intelligence Profile
CWUPRIIQ,discard,28,out-of-scope,Evaluates the industry use of AI for automating code reviews rather than organizational practices for scaling human oversight of AI-generated code.,Automated code review In practice
