item_key,title,human_decision,current_buckets,applying
MZ3S3G8J,How ChatGPT and generative AI systems will revolutionize legal services and the ,discard,00-Queue,discard
XQX8GR8R,Bloomberg equity screening (EQS) exercise: environmental social governance (ESG),discard,00-Queue,discard
NDRXKBDP,A turing test: are AI chatbots behaviorally similar to humans?,discard,00-Queue,discard
IYYBVQQT,ChatGPT and academia on accounting assessments,discard,00-Queue,discard
2IYKM87Y,ChatGPT as the marketplace of ideas: should truth-seeking be the goal of AI cont,maybe,00-Queue,maybe
SXDQEG3R,Stress index strategy enhanced with financial news sentiment analysis for the eq,maybe,00-Queue,maybe
SN2KHCWU,Implement FRTB with generative ai models: a case study,discard,00-Queue,discard
R6PKY8NV,Gendering the new international convention on cybercrimes and new norms on artif,discard,00-Queue,discard
ZMWWZQY7,Disciplining banks through disclosure: evidence from CFPB consumer complaints,maybe,00-Queue,maybe
ZA5F8VJ8,The impact of&nbsp;generative ai (chatgpt) on&nbsp;the&nbsp;hr functions related,maybe,00-Queue,maybe
5YXAP8AN,Designing AI to help children flourish,discard,00-Queue,discard
JC8FW6AZ,Investment with new sentiment analysis in japanese stock market: expert knowledg,discard,00-Queue,discard
BHP5MUJA,"Artificial intelligence, audit risk, and regulatory uncertainty: a refined analy",maybe,00-Queue,maybe
GFTSRVCK,Assessing the use of AI tools for EFL exam preparation at saudi universities: ef,discard,00-Queue,discard
E5H4XA9J,A roadmap for agentic AI in financial services industry,keep,00-Queue,keep
DNLEBGHZ,Agentic artificial intelligence as a new frontier in information systems: promis,discard,00-Queue,discard
RSRC9HJ8,Freedom of expression in generative AI models,discard,00-Queue,discard
RZ38QT79,Leveraging AI to promote creativity and innovation in STEM education and problem,discard,00-Queue,discard
DTTZPSYH,Evaluating the accuracy of english-to-uzbek scientific text translation: a compa,discard,00-Queue,discard
I25WQRJR,"Next‑generation AI‑driven fraud management: integrating machine learning, graph ",discard,00-Queue,discard
MT6L8AUG,"The game you didn't know you were playing: manipulation, epistemic asymmetry and",keep,00-Queue,keep
MQ5Q37PX,A security-focused study on automated threat intelligence and risks of autonomou,discard,00-Queue,discard
KL94LN6X,Using sensitive data to debias AI systems: article 10(5) of the EU AI act,discard,00-Queue,discard
ZXEMWZ3J,Enhanced governance for facial recognition technology In the public sector,discard,00-Queue,discard
