item_key,paperId,how,s2_title,our_title
3ZVMBGPB,a8e015713043440e9c8bc08a0b395b6256c61eed,ARXIV,Rethinking Code Review in the Age of AI: A Vision for Agentic Code Review,Rethinking code review in the age of AI: a vision for agentic code review
8MXATG38,78d956b8b95949e17bdef89eb1d2d8455f3e826d,DOI,AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation,AI-augmented software engineering for rapid feature delivery and operations automation
XZEHQYNZ,b7fb51eebda8cc2e832ec4c8f042191db6cd623f,DOI,Architecting Trust: Designing Human Oversight and Accountability for AI-Driven Software Engineering Under the EU AI Act,Architecting trust: designing human oversight and accountability for AI-driven software engineering under the EU AI act
RPHK78A9,,UNRESOLVED,,"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond"
T72TU8B5,090f081830f2a2482be10c3cafe4388c23417412,ARXIV,Hedwig: Dynamic Autonomy for Coding Agents Under Local Oversight,Hedwig: dynamic autonomy for coding agents under local oversight
WH2PIBNQ,9715d83d605da92a5049b343145a874ce1042443,DOI,"Responsible Vibe Coding: Architecture, Opportunities, and Research Agenda","Responsible vibe coding: architecture, opportunities, and research agenda"
XJAXB98T,9b8b4f4ff5e5535998edf7e4c7e3139c0305063f,ARXIV,Beyond Banning AI: A First Look at GenAI Governance in Open Source Software Communities,Beyond banning AI: a first look at GenAI governance in open source software communities
TF56EPIP,79b937dcee3b2583e66df5c99d9f64734bf313c1,ARXIV,Rethinking Autonomy: Preventing Failures in AI-Driven Software Engineering,Rethinking autonomy: preventing failures in AI-driven software engineering
LCPH3THV,04745b236cf9ebdb06f33d14afa5e7541775af6c,DOI,"LLM-as-a-Judge for Software Engineering: Literature Review, Vision, and the Road Ahead","LLM-as-a-judge for software engineering: literature review, vision, and the road ahead"
CI93QRUH,c3ac2edb15b1a78b7818e8cbae5950cfef5e7d3e,DOI,HiLDE: Intentional Code Generation via Human-in-the-Loop Decoding,HiLDE: intentional code generation via human-in-the-loop decoding
3SU9QZ6F,7b529fda5f6e0c020174fe7e38ccd3c96428f967,ARXIV,AIRA: AI-Induced Risk Audit: A Structured Inspection Framework for AI-Generated Code,AIRA: AI-induced risk audit: a structured inspection framework for AI-generated code
27YULT5I,,UNRESOLVED,,"The ethics of AI-assisted code migration in regulated financial systems: accountability, transparency, and human oversig"
WBS9U5N7,,UNRESOLVED,,Cognitive camouflage: specification gaming in LLM-generated code evades holistic evaluation but not adversarial executio
RG4A4D6K,2bcdfd98a79a6373570a4563a0de3af67a869d3d,DOI,From Black Box to Open Book: An Emerging Transparency Imperative in Generative AI Codebases,From black box to open book: an emerging transparency imperative in generative AI codebases
A6ZE2A26,0b90a4d18ecde700e054bb0cde2d67f61042f669,ARXIV,Vibe Coding on Trial: Operating Characteristics of Unanimous LLM Juries,Vibe coding on trial: operating characteristics of unanimous LLM juries
LB84WJKI,36dd0509f4f14cc0643d37d5a89e1ff6063bcdcc,DOI,Human-In-The-Loop Software Development Agents,Human-In-the-loop software development agents
7SH86C2W,e9fce72567603bc8ec4684d51e9bc709a4cee71e,ARXIV,Shift-Up: A Framework for Software Engineering Guardrails in AI-native Software Development - Initial Findings,Shift-up: a framework for software engineering guardrails in AI-native software development -- initial findings
