item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
68K56AUX,Transparent real-time governance of agentic AI systems,"intelligence systems — autonomous, multi-step AI agents capable of planning, tool use, and cascading real-world action — present a qualitatively distinct governance / Third, a tiered implementation pathway classifying agentic systems into four risk tiers (Critical, High-Risk, Standard, Experimental) using an operational / | v2.2: Strengthened evidential base, ZK sequencing, jurisdictional development, AI Governance, Agentic AI, EU AI Act, public immutable audit",maybe,medium,Tiered risk classification (Critical/High-Risk/Standard/Experimental) governance framework for agentic AI that could transfer to SE deployment pipelines but lacks explicit software/code anchor in the abstract,keep_queue
8GRSSX8L,AI-assisted copilot automation for reliable FPGA verification at hyperscale,"Cloud-scale, Artificial Intelligence (AI)-centric deployments are increasingly accelerated and made flexible through Field-Programmable Gate Arrays (FPGAs). Traditional simulation-only verification has often been shown to miss system-level risks that surface late during hardware bring-up. A hybrid verification methodology has therefore been developed in which AI-driven automation is orchestrated with formal connectivity checks to ensure reliable end-to-end signal connectivity and robust reset behavior across heterogeneous FPGA Stock Keeping Unit (SKU) variants. Structured prompts are employed to guide Copilot in generating Python scripts that traverse - Register Transfer Level (RTL) designs, extract signal mappings, and auto-generate timing-aware connectivity assertions in Comma-Separated Values (CSV) format. Precise, context-rich prompts specifying signal roles, hierarchy depth, and reset domains are observed to yield consistent results, whereas generic prompts fail to capture architectural nuances. Reset validation strategies covering Function Level Resets (FLRs), Memory-Mapped Input Output (MMIO) handlers, and firmware-driven resets have been applied in FPGA contexts, while the underlying connectivity assertion framework has been shown to be portable to Application-Specific Integrated Circuit (ASIC) flows with minimal adaptation. Over nine months, the methodology was deployed on multiple hyperscale FPGA platforms, where critical bugs missed by weeks of simulation regressions were surfaced. Integration with commercial formal tools was achieved, scalability to new FPGA variants was demonstrated, and lessons in prompt engineering and cross-domain verification were documented.",maybe,medium,"AI-generated code for hardware verification with prompt engineering and oversight insights, but FPGA domain specificity requires argument to transfer to general software development governance workflows",maybe_queue
248UPC7K,"Independent coder, machine learning system, or silicon participant: what metrics should we use to evaluate data created by generative AI?","We emphasize the importance of transparency in selecting metrics, encouraging the use of multiple validation metrics and stressing the importance of human / review with gold standard responses to evaluate GenAI’s performance. / Generative AI, evaluation metrics, large language models, data generation",maybe,low,"Proposes transparency and multi-metric framework for evaluating GenAI outputs with gold-standard human review, but target domain (research data vs. code) and SE transferability are ambiguous from abstract alone",maybe_queue
5SLHWAUC,AI-driven observability and ERP copilot systems in cloud-native supply chain integration: a conceptual framework for intelligent operational management (AIOS),"integration environments: (1) AI-augmented integration observability, (2) predictive failure management, (3) ERP AI copilot systems, and (4) intelligent compliance / Partner Integration Reference Architecture (PIRA) introduced in prior publications in this series, AIOS extends the PIRA Layer 3 observability and Layer 4 compliance / AI observability, ERP copilot, supply chain integration, anomaly detection, predictive failure management, cloud-native B2B, intelligent automation, NIST / AI RMF",maybe,medium,"AI observability and compliance monitoring framework citing NIST AI RMF, but supply chain ERP integration domain may require argument for transfer to software development pipeline governance",maybe_queue
CUQ7TTY4,The moral crumple zone in agentic AI workflows,"It argues that the current architecture of agentic AI systems, particularly multi-agent systems, gives rise to an epistemic form of the moral crumple zone / The paper concludes by deriving functional minimum requirements for a governance framework grounded in the principle of genealogical transparency. / Epistemic Authority, Responsibility, Epistemology of AI, Philosophy of Artificial Intelligence, Applied Epistemology, Artificial Intelligence, Agentic / AI, AI Governance, Moral Crumple Zone, Responsibility and Accountability, Philosophy of AI, Epistemic Risk, Justification, Reliabilism, AI Regulation,",maybe,medium,"Derives functional minimum governance requirements from agentic AI accountability analysis, but primarily philosophical — whether requirements transfer to operational SE governance cannot be resolved from abstract alone",keep_queue
PB7TLUBD,AI-driven transformation of code review and refactoring in software engineering,"quality. / Drawing from real-world experience and scholarly analysis, it reflects on how these tools impact code quality, developer productivity, and collaboration",keep,low,"Directly addresses AI-driven code review transformation in software engineering, but thin abstract prevents determining whether operationalizable methodology or descriptive reflection is offered",keep_queue
JIG9NY55,MPC-coder: a dual-knowledge enhanced multi-agent system with closed-loop verification for PLC code generation,"Industrial PLC programming faces persistent difficulties: lengthy development cycles, low fault tolerance, and cross-platform incompatibility among vendors. While LLMs show promise for automated code generation, their direct application is hindered by the gap between ambiguous natural language and the strict determinism required by control logic. This paper proposes MPC-Coder, a dual-knowledge enhanced multi-agent system that addresses this gap. The system combines a structured knowledge graph that imposes hard constraints on process parameters and equipment specifications with a vector database that offers implementation references such as code templates and function blocks. These two knowledge sources form a symmetric complementary architecture. A closed-loop “generation–verification–repair” mechanism leverages formal verification tools to iteratively refine the generated code. Experiments demonstrate that MPC-Coder achieves 100% syntactic correctness and 78% functional consistency, significantly outperforming general-purpose LLMs. The results indicate that the complementary fusion of domain knowledge and closed-loop verification effectively enhances the reliability of code generation, offering a viable technical pathway for the reliable application of LLMs in industrial control systems. © 2026 by the authors.",maybe,medium,"Closed-loop generation-verification-repair mechanism for LLM code generation is a transferable verification pattern, but domain is industrial PLC programming with domain-specific formal verification constraints.",maybe_queue
TF2C996H,Human-efficient annotation system via active semi supervised learning and selective review,"annotation effort through calibrated confidence scores: predictions below a minimum threshold are discarded, high-confidence predictions are accepted without human / review, and the remaining uncertain predictions are flagged for manual inspection. / AI-assisted annotation, Human-AI collaboration, Confidence calibration, Instance segmentation",maybe,medium,"Confidence-calibrated selective review routing (auto-approve/flag/discard) is structurally parallel to code review triage at scale, but domain is image annotation and transferability requires argument not resolvable from abstract.",maybe_queue
YX4EPM33,Regulatory thresholds for managing frontier AI risks,"Existing governance frameworks such as the EU AI Act, NIST AI Risk Management Framework, OECD AI Principles, and ISO/IEC 42001 offer high-level safety / in the governance of frontier AI systems. / Frontier AI, AI Governance, Regulatory Thresholds, Risk Management, Large Language Models, Agentic AI, NIST AI RMF, EU AI Act, ISO/IEC 42001",maybe,medium,"Regulatory thresholds for LLMs and agentic AI using NIST AI RMF and EU AI Act are potentially applicable to software orgs, but paper appears to operate at policy governance level without engineering-org operationalization.",keep_queue
WHQ4LZQ8,"Strategies for harmonizing fragmented AI ethics frameworks, standards, and regulations","AI governance is increasingly shaped by a patchwork of ethical frameworks, standards, and regulations, with overlapping demands from technical standards / governance. / AI Governance, AI Ethics, AI Standards, Standards Development Organizations, Auditing and Certification, Human-Centered AI, AI Regulation, Risk Management / , Regulatory Frameworks, Responsible AI",maybe,medium,"Harmonization strategies for fragmented AI governance standards (auditing, certification, risk management) could provide actionable framework for software orgs navigating multi-standard compliance, but primarily operates at policy meta-level.",keep_queue
ZGUIZ7AP,"Artificial intelligence in future conflicts: strategic, ethical, and governance implications a case study of commercial AI integration in contemporary military operations","on the incorporation of commercial AI systems into recent U.S. / governance debates, this study proposes an operationalized framework for meaningful human control, enforceable audit mechanisms, and procurement-based / Artificial Intelligence, Military Decision Systems, Large Language Models, Strategic Stability, International Humanitarian Law, AI Governance Subject Classification / : Security Studies, AI Ethics, International Law, Technology Governance",maybe,medium,Proposes operationalized framework for meaningful human control with enforceable audit mechanisms for military AI — human control and audit components could transfer to software engineering oversight but military procurement domain requires translation,maybe_queue
