item_key,opus_bin,centrality,title,authors,year,item_type,source,has_pdf,doi,arxiv_id,opus_rationale,abstract,human_bin,human_note,new tags
3ZVMBGPB,core,90,Rethinking code review in the age of AI: a vision for agentic code review,Kamal±; Tuna; Haratian et al.,2026,preprint,arxiv,yes,,2605.17548,Directly frames AI-inflated review volume as a bottleneck and proposes an agentic review workflow with human-controlled quality gates.,"Code review has evolved for decades, from informal peer checking to today's pull request (PR) workflows, yet it remains a largely manual, uneven, and cognitively demanding process. The rise of Artificial Intelligence (AI) coding assistants has intensified this challenge: while these tools increase code production velocity, they also expand the volume of code requiring review, turning code review into a growing bottleneck. Current AI support remains fragmented, with tools focusing on isolated tasks such as reviewer recommendation, PR description generation, or comment suggestion rather than the end-to-end PR review workflow. In this paper, we review the historical evolution of code review practices and examine the shift driven by large language models (LLMs) and agentic AI systems. We then present a vision for an AI-powered code review workflow combining specialized agents with human-controlled quality gates. Our framework spans five stages: PR Creation, PR Augmentation, Reviewer Selection, AI-Assisted Code Review, and PR Retrospective, with humans retained at key decision points to preserve judgment, accountability, and team-level understanding. We identify major open challenges for responsible adoption, including reliability, bias, privacy, automation bias, transparency, and evaluation, and offer a research agenda for more effective human-AI collaboration in software engineering.",,,
9M68WEJA,core,90,From industry claims to empirical reality: an empirical study of code review agents in pull requests,Chowdhury; Banik; Ferdous et al.,2026,preprint,arxiv,no,,2604.03196,Empirical evidence that code-review agents without human oversight produce low-signal feedback and should augment not replace human reviewers.,"Autonomous coding agents are generating code at an unprecedented scale, with OpenAI Codex alone creating over 400,000 pull requests (PRs) in two months. As agentic PR volumes increase, code review agents (CRAs) have become routine gatekeepers in development workflows. Industry reports claim that CRAs can manage 80% of PRs in open source repositories without human involvement. As a result, understanding the effectiveness of CRA reviews is crucial for maintaining developmental workflows and preventing wasted effort on abandoned pull requests. However, empirical evidence on how CRA feedback quality affects PR outcomes remains limited. The goal of this paper is to help researchers and practitioners understand when and how CRAs influence PR merge success by empirically analyzing reviewer composition and the signal quality of CRA-generated comments. From AIDev's 19,450 PRs, we analyze 3,109 unique PRs in the commented review state, comparing human-only versus CRA-only reviews. We examine 98 closed CRA-only PRs to assess whether low signal-to-noise ratios contribute to abandonment. CRA-only PRs achieve a 45.20% merge rate, 23.17 percentage points lower than human-only PRs (68.37%), with significantly higher abandonment. Our signal-to-noise analysis reveals that 60.2% of closed CRA-only PRs fall into the 0-30% signal range, and 12 of 13 CRAs exhibit average signal ratios below 60%, indicating substantial noise in automated review feedback. These findings suggest that CRAs without human oversight often generate low-signal feedback associated with higher abandonment. For practitioners, our results indicate that CRAs should augment rather than replace human reviewers and that human involvement remains critical for effective and actionable code review.",context,Measurement of impact of human code reviews vs. AI code reviews.,
CDJ5CGEV,core,90,Deep learning-based code reviews: a paradigm shift or a double-edged sword?,R. Tufano; A. Martin-Lopez; A. Tayeb et al.,2025,conferencePaper,ieee,no,10.1109/ICSE55347.2025.00060,,Controlled experiment on LLM-assisted code review documents automation bias and over-relianceÛÓcore to human oversight of AI in the review pipeline.,"Several techniques have been proposed to (partially) automate code review. Early support consisted in recommending the most suited reviewer for a given change or in prioritizing the review tasks. With the advent of deep learning in software engineering, the level of automation has been pushed to new heights, with approaches able to provide feedback on source code in natural language as a human reviewer would do. Also, recent work documented open source projects adopting Large Language Models (LLMs) as co-reviewers. Although the research in this field is very active, little is known about the actual impact of including automatically generated code reviews in the code review process. While there are many aspects worth investigating (e.g., is knowledge transfer between developers affected?), in this work we focus on three of them: (i) review quality, i.e., the reviewer's ability to identify issues in the code; (ii) review cost, i.e., the time spent reviewing the code; and (iii) reviewer's confidence, i.e., how confident is the reviewer about the provided feedback. We run a controlled experiment with 29 professional developers who reviewed different programs with/without the support of an automatically generated code review. During the experiment we monitored the reviewers' activities, for over 50 hours of recorded code reviews. We show that reviewers consider valid most of the issues automatically identified by the LLM and that the availability of an automated review as a starting point strongly influences their behavior: Reviewers tend to focus on the code locations indicated by the LLM rather than searching for additional issues in other parts of the code. The reviewers who started from an automated review identified a higher number of low-severity issues while, however, not identifying more high-severity issues as compared to a completely manual process. Finally, the automated support did not result in saved time and did not increase the reviewers' confidence.",context,Focus on reaction of humans to AI code reviews.,
8MXATG38,core,90,AI-augmented software engineering for rapid feature delivery and operations automation,S. Karuppuchamy,2026,conferencePaper,"ieee,scopus",no,10.1109/CCWC67433.2026.11393761,,"Enterprise governance-first blueprint embedding human oversight and guardrails across the SDLC with DORA-based measurement, squarely on the core RQ.","Modern software organizations need to deliver new features rapidly without sacrificing reliability. We present a metrics-driven, governance-first blueprint for integrating generative AI assistants across the enterprise software development lifecycle (SDLC). This approach embeds large language model (lLM)-based assistants into every phase-coding, testing, code review, CI/CD, and operations-with multi-layered governance guardrails to ensure safe and effective use. We deployed this blueprint at a global e-commerce company (ÛRetailCoÛ) and achieved a $20 \times$ increase in deployment frequency without any loss of reliability. Our primary contributions are: (1) a reusable governance template for safe AI adoption (combining usage policies, content filtering, security scanning, and human oversight), (2) a holistic integration pattern for AI across the SDLC (demonstrated at enterprise scale with phased rollout guidance), and (3) a quantitative evaluation framework grounded in DORA metrics to measure impact on velocity and quality. Results from production show development cycles accelerated (lead times $\approx 40 \%$ shorter) and throughput increased $(\approx 15 \%$ more work items completed), while defect rates and incident resolution times improved. These findings offer a practical roadmap for safely boosting developer productivity and operational efficiency with AI, demonstrating that with appropriate controls, generative AI tools can dramatically speed up delivery without compromising software quality.",,,
XZEHQYNZ,core,90,Architecting trust: designing human oversight and accountability for AI-driven software engineering under the EU AI act,M. Tuape; Y. Gabrielmichael; J. Kasurinen,2025,conferencePaper,"ieee,scopus,wos",no,10.1109/CONISOFT66928.2025.00048,,Squarely addresses operationalizing human oversight/accountability (HITL architectures) for AI-driven SE under the EU AI Act.,"The dawn of AI-driven Software Engineering, particularly with the emergence of Agentic AI systems, promises transformative advancements in software development. However, this shift occurs amidst a growing global emphasis on responsible AI governance, exemplified by stringent regulations like the EU AI Act, which mandate robust human oversight, transparency, and accountability. A critical barrier to the trustworthy and compliant adoption of Agentic AI in SE is the inherent unpredictability and non-determinism of these systems. This creates significant loopholes and practical implementation gaps in current human oversight and accountability mechanisms, making it challenging to meet the stringent, yet often ambiguous, requirements set forth by the EU AI Act. Existing research often lacks concrete solutions for operationalizing human control over such autonomous and evolving AI. This paper presents a foundational step in a long-term research endeavor to bridge this critical gap. We make three key contributions: (1) We systematically identify and categorize the specific challenges and practical implementation gaps that arise in designing Human Oversight and Accountability for Agentic AI in SE under the EU AI Act. (2) We critically analyze the current state of research in Human-in-the-Loop and AI governance, pinpointing the open research areas and knowledge gaps hindering effective compliance. (3) We propose a comprehensive research road map outlining principled conceptual frameworks and actionable design guidelines for HITL architectures, aimed at developing trustworthy, compliant, and effectively controlled Agentic AI systems in SE that align with EU AI Act mandates.",,,
RPHK78A9,core,88,"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond",Kim; Yegge,2025,book,practitioner,yes,,,"Practitioner book explicitly on organizational governance of AI coding at scale with DORA data, case studies, and tiered governance mechanisms.","Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond (2025) by Gene Kim and Steve Yegge provides a comprehensive practitioner guide to AI-assisted software development, from individual productivity techniques to organizational governance at scale. The book introduces a taxonomy of AI coding modes (completions, chat, agentic) and argues that the bottleneck in AI-augmented development is shifting from code generation to oversight, testing, and organizational coordination. Part 4 is particularly relevant to AI governance research: it documents the 2024 DORA anomaly (every 25% increase in GenAI adoption correlating with 7% worse stability and 1.5% throughput reduction), presents empirical case studies from Adidas (700 developers) and Booking.com (3,000+ developers), and frames organizational ""Layer 3 wiring"" ÛÓ governance structures, standards, and accountability mechanisms ÛÓ as the critical determinant of whether AI coding amplifies or degrades software delivery performance. The book articulates practitioner-level governance mechanisms including risk-based ownership (""you build it, you run it""), automated code review agents, organizational standards documentation (AGENTS.md), and tiered governance frameworks. Foreword by Dario Amodei, CEO of Anthropic.",,,
424WFD9R,core,88,Human-AI synergy in agentic code review,Zhong; Noei; Zou et al.,2026,preprint,arxiv,yes,,2603.15911,Large-scale empirical comparison of human vs AI-agent code review concluding human oversight remains critical while AI scales defect screeningÛÓsquarely on the RQ.,"Code review is a critical software engineering practice where developers review code changes before integration to ensure code quality, detect defects, and improve maintainability. In recent years, AI agents that can understand code context, plan review actions, and interact with development environments have been increasingly integrated into the code review process. However, there is limited empirical evidence to compare the effectiveness of AI agents and human reviewers in collaborative workflows. To address this gap, we conduct a large-scale empirical analysis of 278,790 code review conversations across 300 open-source GitHub projects. In our study, we aim to compare the feedback differences provided by human reviewers and AI agents. We investigate human-AI collaboration patterns in review conversations to understand how interaction shapes review outcomes. Moreover, we analyze the adoption of code suggestions provided by human reviewers and AI agents into the codebase and how adopted suggestions change code quality. We find that human reviewers provide additional feedback than AI agents, including understanding, testing, and knowledge transfer. Human reviewers exchange 11.8% more rounds when reviewing AI-generated code than human-written code. Moreover, code suggestions made by AI agents are adopted into the codebase at a significantly lower rate than suggestions proposed by human reviewers. Over half of unadopted suggestions from AI agents are either incorrect or addressed through alternative fixes by developers. When adopted, suggestions provided by AI agents produce significantly larger increases in code complexity and code size than suggestions provided by human reviewers. Our findings suggest that while AI agents can scale defect screening, human oversight remains critical for ensuring suggestion quality and providing contextual feedback that AI agents lack.",context,Study of the type of feedback from human vs. ai code reviewers,
9D9QSWGZ,core,88,These aren't the reviews you're looking for how humans review AI-generated pull requests,Duma; WrÌ_blewski; Bobiãska et al.,2026,preprint,arxiv,yes,,2605.02273,"Empirical study of how humans actually review AI-generated PRs, directly probing whether oversight keeps pace with agentic volume.","We analyze code review interactions for AI-generated pull requests (PRs) on GitHub using the AIDev dataset and compare them to human-authored PRs within the same repositories. We find that most AI-generated PRs receive no review and, when reviewed, are largely dominated by AI agents rather than humans. Human-authored PRs are more likely to receive human-only review and to attract direct human feedback. In contrast, reviews of AI-generated PRs more often take the form of automation-mediated interaction, with human involvement frequently expressed through agent steering rather than standalone evaluation. These results indicate systematic differences in how review activity is structured in agentic workflows and raise challenges for interpreting review metrics as indicators of human oversight in large-scale mining studies.",context,Discussion of humans review of AI generated code.,
NV5QU9G2,core,88,Security in the age of AI teammates: an empirical study of agentic pull requests on GitHub,Mohammed Latif Siddiq; Xinye Zhao; Vinicius Carvalho Lopes et al.,2026,journalArticle,ssrn,no,,,Empirical study of autonomous coding agents authoring production PRs at scale with security focus ÛÓ squarely on scalable oversight of AI-generated code.,"Context.Autonomous coding agents are increasingly deployed as AI teammates in modern software engineering, independently authoring pull requests (PRs) / that modify production code at scale. / Large Language Models (LLMs), AI Agent, security, GitHub",context,No discussion of oversight.,
T72TU8B5,core,86,Hedwig: dynamic autonomy for coding agents under local oversight,Shukla; Feng; Wang et al.,2026,preprint,arxiv,yes,,2605.11495,"Directly about calibrating oversight/autonomy of coding agents based on developer trust, with a formative survey and system.","Despite coding agents' advances in handling increasingly complex tasks, their continued tendency to introduce unintended edits, subtle bugs, and scope drift that slip past code review means developers must still decide how much autonomy to grant them. However, existing approaches for setting an agent's level of autonomy, such as static permission settings or instruction files, cannot account for how developers' preferences for agent autonomy can shift across tasks and over time. We conducted a formative survey with 21 software engineers who use coding agents and found that they experience frustration with calibrating autonomy and have evolving preferences for level of oversight. Building on these insights, we present Hedwig, a CLI coding agent that dynamically adjusts its autonomy level based on developer-agent interactions across sessions. Rather than operating on a global, fixed autonomy configuration, Hedwig learns an evolving set of behavioral guidelines from developer decisions and feedback, reducing friction on work for which the agent has earned trust, while tightening oversight when the agent operates outside familiar territory. Hedwig demonstrates the potential of a new paradigm where agents intelligently adapt their level of autonomy based on user trust through active, longitudinal collaboration.",,,
