item_key,title,sources,decisions,queue_only_in,superseded,superseded_collections,current_tags,tags_to_add,all_desired_tags
KDVYPBWW,Transforming software architecture design with intelligent assistants-a comparative analysis,ieee,ieee:maybe,,,,Artificial intelligence|BlackboxAI|ChatGPT|Chatbots|Gen AI|Generative AI|Github Copilot|Productivity|Security|Software Architecture|Software architecture|Software design|Software development management|Transformers|Unified modeling language,s1:human:maybe|source:ieee,s1:human:maybe|source:ieee
Y4F6UMNC,Research of evaluating the effectiveness of large language models in identifying and correcting code anomalies,ieee,ieee:maybe,,,,Accuracy|Codes|Computer bugs|Data models|Large language models|Measurement|Technological innovation|anomaly detection|code anomalies|code assistance|code generation|large language models,s1:human:maybe|source:ieee,s1:human:maybe|source:ieee
HN2SE9PL,Generative artificial intelligence for AgileRE: a systematic mapping,ieee,ieee:maybe,,,,Agile Requirements Engineering|Agile Software Development|Agile software development|Computer science|Databases|Documentation|Ethics|Generative AI|Generative Artificial Intelligence|Large Language Models|Large language models|Productivity|Requirements engineering|Systematics,s1:human:maybe|source:ieee,s1:human:maybe|source:ieee
2VJTDVL3,"Evaluating large language models for code generation: assessing accuracy, quality, and performance",ieee,ieee:maybe,,,,Accuracy|C++ languages|Code Generation|Codes|Complexity theory|Error analysis|Indexes|Java|Large Language Models|Large language models|Natural Language Processing|Natural language processing|Software Quality|Syntactics,s1:human:maybe|source:ieee,s1:human:maybe|source:ieee
FQZWY343,"Automated program repair with the GPT family, including GPT-2, GPT-3 and CodeX",ieee,ieee:maybe,,,,Automated Program Repair|Codex|Computer bugs|GPT-3|JavaScript|Large language models|Machine learning|Maintenance engineering|Neural networks|Source coding|Static analysis|Transformers,s1:human:maybe|source:ieee,s1:human:maybe|source:ieee
TN2MR8S8,Assertion-aware test code summarization with large language models,ieee,ieee:maybe,,,,Assertion Messages|Benchmark testing|Codes|Java|Large Language Models (LLMs)|Large language models|Measurement|Pipelines|Semantics|Software|Standards|Systematics|Test Code Summarization|Unit Testing,s1:human:maybe|source:ieee,s1:human:maybe|source:ieee
5GJUE79U,An evaluation of the effectiveness of OpenAI's ChatGPT for automated python program bug fixing using QuixBugs,ieee,ieee:maybe,,,,APR|Automatic program repair|Bug fixing|ChatGPT|Chatbots|Codes|Computer bugs|GPT-3.5|Maintenance engineering|Natural languages|Python|QuixBug|Seminars|Software,s1:human:maybe|source:ieee,s1:human:maybe|source:ieee
FHUGCNKY,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research agenda",arxiv|coursework|ieee,arxiv:keep|coursework:keep|ieee:keep,,yes,04-Superseded,Artificial intelligence|Codes|Computer Science - Artificial Intelligence|Computer Science - Human-Computer Interaction|Computer Science - Software Engineering|Encoding|Hardware|History|Mediation|Programming|Software|Software development management|Tier 1|Translation|Vibe coding|cognitive work|generative artificial intelligence|history of software development|human–computer interaction|intent mediation|large language models (LLM),s1:human:keep|source:arxiv|source:coursework|source:ieee,s1:human:keep|source:arxiv|source:coursework|source:ieee
VG6CIDQW,Lumen: developer agency through transparent context control in AI-assisted programming,arxiv|ieee|scopus,ieee:keep|scopus:keep,arxiv,,,AI-assisted development|Artificial intelligence|Artificial intelligence-assisted development|Assembly|Automation|Black boxes|Codes|Codes (symbols)|Computer aided software engineering|Computer interaction|Computer systems programming|Context-aware systems|Copying|Developer tool|Developer tools|Development workflow|Encoding|Human computer interaction|Human-computer interaction|Intelligence decision|Lumen|Open source software|Open systems|Rapid transformations|Scalability|Security|Software development management|Software engineering|Transparent AI|Transparent artificial intelligence|Uncertainty|User interfaces,s1:human:keep|source:arxiv|source:ieee|source:scopus,s1:human:keep|source:arxiv|source:ieee|source:scopus
C4DWC33F,What guides our choices? Modeling developers' trust and behavioral intentions towards genai,ieee,ieee:keep,,,,Behavioral Intentions|Cognitive Styles|Generative AI|LLM|Maintenance|Mathematical models|PLS-SEM|Productivity|Refining|Software|Software Engineering|Software development management|Software engineering|Trust|Usability|User experience,s1:human:keep|source:ieee,s1:human:keep|source:ieee
N2IDSH4J,Who wrote this code? Investigating human and AI programming patterns,ieee,ieee:keep,,,,Code Generation|Code Generation Models|Codes|Computational modeling|Data models|Encoding|Generative AI|Human-Written Code|Large Language Models|Medical services|Quantum computing|Real-time systems|Training|Training data,s1:human:keep|source:ieee,s1:human:keep|source:ieee
8MDVQP3F,Unlocking code simplicity: the role of prompt patterns in managing LLM code complexity,ieee,ieee:keep,,,,Code Complexity|Codes|Complexity theory|Empirical Software Engineering|Large language models|Measurement|Prompt Engineering|Prompt Patterns|Prompt engineering|Python|Software|Software engineering|Statistical analysis,s1:human:keep|source:ieee,s1:human:keep|source:ieee
X2PTNJS2,User acceptance test case generation using LLMs,ieee,ieee:keep,,,,Automation|LLMs|Measurement|Prompt Engineering|Prompt engineering|SRS Analysis|Semantics|Software|Software Requirements|Software development management|Software engineering|Tag clouds|Test Case Automation|Testing|User Acceptance Testing|Zero shot learning|Zero-Shot Learning,s1:human:keep|source:ieee,s1:human:keep|source:ieee
R9CDT9KB,Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows,ieee,ieee:keep,,,,Adaptation models|CI/CD|Computer architecture|Conferences|Confidence Calibration|DevSecOps|Ensembles|Large Language Models|Large language models|Organizations|Pipelines|Routing|Security|Testing|Uncertainty|Uncertainty Quantification|Vulnerability Detection,s1:human:keep|source:ieee,s1:human:keep|source:ieee
SHAIEC8U,Transformer models for code review comment generation: a performance comparison on GitHub data,ieee,ieee:keep,,,,Artificial intelligence|Automated code review|CodeBERT|CodeT5-Base|Codes|Machine vision|Measurement|Metadata|Python|Reviews|Software development management|Software engineering|T5-Base|T5-Small|Text-to-Text Transfer Transformer|Transformers|code quality|fine-tuning|structured metadata|transformer based models,s1:human:keep|source:ieee,s1:human:keep|source:ieee
ZPAZL9I7,Trustworthiness of large language models for code,ieee,ieee:keep,,,,Codes|LLM|LLM4SE|Large language models|Pressing|Reliability engineering|Reviews|Security|Software Engineering|Software development management|Software engineering|Software reliability|Translation|trust,s1:human:keep|source:ieee,s1:human:keep|source:ieee
PMSYQJQQ,"Towards just-In-time, inclusive clone refactoring",ieee,ieee:keep,,,,/unread|Cloning|Code Clone|Codes|Encoding|IDE|Intellectual property|Large language models|Law|Maintenance|Productivity|RAG|Ranking|Redundancy|Software maintenance|Tool|Trustworthy|automatic maintenance|large language model|refactoring,s1:human:keep|source:ieee,s1:human:keep|source:ieee
TI4RF68X,Towards the integration of large language models into the software development life cycle: a systematic literature review,ieee,ieee:keep,,,,/unread|Automation|Generative AI|LLM Challenges|Large Language Models|Large language models|Requirements engineering|Risk mitigation|SDLC|Software|Software Automation|Software Development Life Cycle|Software Engineering|Software engineering|Software reliability|Stress|Systematic Literature Review|Systematic literature review|Testing,s1:human:keep|source:ieee,s1:human:keep|source:ieee
