[20:31:58] Fetching Queue items from Zotero...
[20:34:25]   Queue size: 3864
[20:37:13]   [3660/3864] discard=821 maybe=1616 keep=1223 err=1 rate=0.03/s eta=130min
[20:40:09]   [10/3864] discard=9 maybe=1 keep=0 err=0 rate=0.03/s eta=2209min
[20:43:30]   [3670/3864] discard=823 maybe=1621 keep=1226 err=1 rate=0.03/s eta=123min
[20:46:00]   [20/3864] discard=18 maybe=2 keep=0 err=0 rate=0.03/s eta=2227min
[20:49:53]   [3680/3864] discard=827 maybe=1626 keep=1227 err=1 rate=0.03/s eta=117min
[20:51:45]   [30/3864] discard=23 maybe=5 keep=2 err=0 rate=0.03/s eta=2216min
[20:56:09]   [3690/3864] discard=827 maybe=1634 keep=1229 err=1 rate=0.03/s eta=111min
[20:57:34]   [40/3864] discard=31 maybe=7 keep=2 err=0 rate=0.03/s eta=2213min
[21:02:24]   [3700/3864] discard=827 maybe=1639 keep=1234 err=1 rate=0.03/s eta=104min
[21:03:21]   [50/3864] discard=35 maybe=10 keep=5 err=0 rate=0.03/s eta=2207min
[21:08:41]   [3710/3864] discard=828 maybe=1646 keep=1236 err=1 rate=0.03/s eta=98min
[21:11:01] [60/3864] FHV5ZN8M CLAUDE ERROR: claude-timeout
[21:11:40]   [60/3864] discard=40 maybe=15 keep=5 err=1 rate=0.03/s eta=2361min
[21:14:59]   [3720/3864] discard=828 maybe=1655 keep=1237 err=1 rate=0.03/s eta=92min
[21:17:26]   [70/3864] discard=46 maybe=19 keep=5 err=1 rate=0.03/s eta=2331min
[21:21:15]   [3730/3864] discard=834 maybe=1658 keep=1238 err=1 rate=0.03/s eta=85min
[21:23:10]   [80/3864] discard=51 maybe=23 keep=6 err=1 rate=0.03/s eta=2306min
[21:27:32]   [3740/3864] discard=835 maybe=1662 keep=1243 err=1 rate=0.03/s eta=79min
[21:29:02]   [90/3864] discard=55 maybe=29 keep=6 err=1 rate=0.03/s eta=2291min
[21:33:55]   [3750/3864] discard=836 maybe=1668 keep=1246 err=1 rate=0.03/s eta=73min
[21:34:49]   [100/3864] discard=60 maybe=33 keep=7 err=1 rate=0.03/s eta=2273min
[21:40:12]   [3760/3864] discard=838 maybe=1674 keep=1248 err=1 rate=0.03/s eta=66min
[21:40:42]   [110/3864] discard=68 maybe=34 keep=8 err=1 rate=0.03/s eta=2262min
[21:46:29]   [3770/3864] discard=842 maybe=1679 keep=1249 err=1 rate=0.03/s eta=60min
[21:46:33]   [120/3864] discard=73 maybe=38 keep=9 err=1 rate=0.03/s eta=2250min
[21:52:17]   [130/3864] discard=79 maybe=42 keep=9 err=1 rate=0.03/s eta=2237min
[21:52:48]   [3780/3864] discard=842 maybe=1684 keep=1254 err=1 rate=0.03/s eta=53min
[21:58:06]   [140/3864] discard=81 maybe=47 keep=12 err=1 rate=0.03/s eta=2226min
[21:59:06]   [3790/3864] discard=843 maybe=1691 keep=1256 err=1 rate=0.03/s eta=47min
[22:03:52]   [150/3864] discard=87 maybe=51 keep=12 err=1 rate=0.03/s eta=2215min
[22:05:24]   [3800/3864] discard=845 maybe=1697 keep=1258 err=1 rate=0.03/s eta=41min
[22:09:40]   [160/3864] discard=94 maybe=54 keep=12 err=1 rate=0.03/s eta=2205min
[22:11:41]   [3810/3864] discard=849 maybe=1699 keep=1262 err=1 rate=0.03/s eta=34min
[22:15:25]   [170/3864] discard=101 maybe=56 keep=13 err=1 rate=0.03/s eta=2195min
[22:17:57]   [3820/3864] discard=852 maybe=1702 keep=1266 err=1 rate=0.03/s eta=28min
[22:21:08]   [180/3864] discard=108 maybe=58 keep=14 err=1 rate=0.03/s eta=2184min
[22:24:12]   [3830/3864] discard=854 maybe=1704 keep=1272 err=1 rate=0.03/s eta=22min
[22:27:01]   [190/3864] discard=116 maybe=60 keep=14 err=1 rate=0.03/s eta=2177min
[22:30:26]   [3840/3864] discard=856 maybe=1706 keep=1278 err=1 rate=0.03/s eta=15min
[22:32:48]   [200/3864] discard=124 maybe=62 keep=14 err=1 rate=0.03/s eta=2169min
[22:36:43]   [3850/3864] discard=856 maybe=1708 keep=1286 err=1 rate=0.03/s eta=9min
[22:38:32]   [210/3864] discard=129 maybe=65 keep=16 err=1 rate=0.03/s eta=2160min
[22:43:01]   [3860/3864] discard=858 maybe=1709 keep=1293 err=1 rate=0.03/s eta=3min
[22:44:16]   [220/3864] discard=135 maybe=69 keep=16 err=1 rate=0.03/s eta=2151min
[22:44:57] 
=== DONE ===
[22:44:57] Total processed: 3863
[22:44:57] Discarded: 858
[22:44:57] Maybe: 1710
[22:44:57] Kept: 1295
[22:44:57] Errors: 1
[22:44:57] 
CSV: /home/scott/slr/ssrn/discards.csv
[22:44:57] Decisions: /home/scott/slr/ssrn/decisions.jsonl
[22:50:04]   [230/3864] discard=141 maybe=73 keep=16 err=1 rate=0.03/s eta=2143min
[22:55:53]   [240/3864] discard=144 maybe=78 keep=18 err=1 rate=0.03/s eta=2136min
[23:01:38]   [250/3864] discard=148 maybe=82 keep=20 err=1 rate=0.03/s eta=2128min
[23:07:23]   [260/3864] discard=154 maybe=86 keep=20 err=1 rate=0.03/s eta=2120min
[23:13:05]   [270/3864] discard=161 maybe=87 keep=22 err=1 rate=0.03/s eta=2112min
[23:18:49]   [280/3864] discard=169 maybe=88 keep=23 err=1 rate=0.03/s eta=2104min
[23:24:36]   [290/3864] discard=176 maybe=91 keep=23 err=1 rate=0.03/s eta=2097min
[23:30:34]   [300/3864] discard=179 maybe=96 keep=25 err=1 rate=0.03/s eta=2093min
[23:36:27]   [310/3864] discard=184 maybe=99 keep=27 err=1 rate=0.03/s eta=2087min
[23:42:15]   [320/3864] discard=188 maybe=104 keep=28 err=1 rate=0.03/s eta=2080min
[23:48:04]   [330/3864] discard=192 maybe=106 keep=32 err=1 rate=0.03/s eta=2074min
[23:53:58]   [340/3864] discard=198 maybe=109 keep=33 err=1 rate=0.03/s eta=2068min
[23:59:43]   [350/3864] discard=203 maybe=111 keep=36 err=1 rate=0.03/s eta=2061min
[00:05:39]   [360/3864] discard=208 maybe=115 keep=37 err=1 rate=0.03/s eta=2056min
[00:11:34]   [370/3864] discard=214 maybe=118 keep=38 err=1 rate=0.03/s eta=2051min
[00:17:18]   [380/3864] discard=219 maybe=120 keep=41 err=1 rate=0.03/s eta=2043min
[00:23:07]   [390/3864] discard=221 maybe=128 keep=41 err=1 rate=0.03/s eta=2037min
[00:28:55]   [400/3864] discard=225 maybe=130 keep=45 err=1 rate=0.03/s eta=2031min
[00:34:39]   [410/3864] discard=231 maybe=131 keep=48 err=1 rate=0.03/s eta=2024min
[00:40:32]   [420/3864] discard=236 maybe=135 keep=49 err=1 rate=0.03/s eta=2018min
[00:46:17]   [430/3864] discard=241 maybe=138 keep=51 err=1 rate=0.03/s eta=2011min
[00:52:01]   [440/3864] discard=245 maybe=142 keep=53 err=1 rate=0.03/s eta=2005min
[00:57:46]   [450/3864] discard=248 maybe=146 keep=56 err=1 rate=0.03/s eta=1998min
[01:03:34]   [460/3864] discard=250 maybe=150 keep=60 err=1 rate=0.03/s eta=1992min
[01:09:21]   [470/3864] discard=256 maybe=152 keep=62 err=1 rate=0.03/s eta=1985min
[01:15:07]   [480/3864] discard=260 maybe=156 keep=64 err=1 rate=0.03/s eta=1979min
[01:21:01]   [490/3864] discard=264 maybe=160 keep=66 err=1 rate=0.03/s eta=1973min
[01:26:57]   [500/3864] discard=268 maybe=164 keep=68 err=1 rate=0.03/s eta=1968min
[01:32:41]   [510/3864] discard=273 maybe=166 keep=71 err=1 rate=0.03/s eta=1962min
[01:38:24]   [520/3864] discard=280 maybe=168 keep=72 err=1 rate=0.03/s eta=1955min
[01:44:13]   [530/3864] discard=282 maybe=172 keep=76 err=1 rate=0.03/s eta=1949min
[01:50:14]   [540/3864] discard=287 maybe=175 keep=78 err=1 rate=0.03/s eta=1944min
[01:56:06]   [550/3864] discard=289 maybe=179 keep=82 err=1 rate=0.03/s eta=1938min
[02:01:55]   [560/3864] discard=290 maybe=182 keep=88 err=1 rate=0.03/s eta=1932min
[02:07:45]   [570/3864] discard=295 maybe=184 keep=91 err=1 rate=0.03/s eta=1926min
[02:13:45]   [580/3864] discard=299 maybe=188 keep=93 err=1 rate=0.03/s eta=1921min
[02:19:41]   [590/3864] discard=305 maybe=190 keep=95 err=1 rate=0.03/s eta=1916min
[02:25:30]   [600/3864] discard=308 maybe=194 keep=98 err=1 rate=0.03/s eta=1910min
[02:31:18]   [610/3864] discard=310 maybe=199 keep=101 err=1 rate=0.03/s eta=1904min
[02:37:03]   [620/3864] discard=314 maybe=203 keep=103 err=1 rate=0.03/s eta=1897min
[02:43:17]   [630/3864] discard=316 maybe=206 keep=108 err=1 rate=0.03/s eta=1894min
[02:49:18]   [640/3864] discard=317 maybe=210 keep=113 err=1 rate=0.03/s eta=1888min
[02:55:07]   [650/3864] discard=320 maybe=214 keep=116 err=1 rate=0.03/s eta=1882min
[03:01:01]   [660/3864] discard=322 maybe=218 keep=120 err=1 rate=0.03/s eta=1877min
[03:06:47]   [670/3864] discard=325 maybe=220 keep=125 err=1 rate=0.03/s eta=1870min
[03:12:40]   [680/3864] discard=326 maybe=223 keep=131 err=1 rate=0.03/s eta=1865min
[03:18:31]   [690/3864] discard=328 maybe=225 keep=137 err=1 rate=0.03/s eta=1859min
[03:24:42]   [700/3864] discard=329 maybe=228 keep=143 err=1 rate=0.03/s eta=1854min
[03:30:29]   [710/3864] discard=332 maybe=233 keep=145 err=1 rate=0.03/s eta=1848min
[03:36:13]   [720/3864] discard=334 maybe=237 keep=149 err=1 rate=0.03/s eta=1842min
[03:41:58]   [730/3864] discard=334 maybe=241 keep=155 err=1 rate=0.03/s eta=1836min
[03:47:46]   [740/3864] discard=335 maybe=247 keep=158 err=1 rate=0.03/s eta=1829min
[03:53:34]   [750/3864] discard=335 maybe=250 keep=165 err=1 rate=0.03/s eta=1823min
[03:59:18]   [760/3864] discard=335 maybe=257 keep=168 err=1 rate=0.03/s eta=1817min
[04:05:02]   [770/3864] discard=336 maybe=263 keep=171 err=1 rate=0.03/s eta=1811min
[04:11:02]   [780/3864] discard=336 maybe=265 keep=179 err=1 rate=0.03/s eta=1805min
[04:16:47]   [790/3864] discard=338 maybe=270 keep=182 err=1 rate=0.03/s eta=1799min
[04:22:28]   [800/3864] discard=338 maybe=275 keep=187 err=1 rate=0.03/s eta=1793min
[04:28:10]   [810/3864] discard=341 maybe=276 keep=193 err=1 rate=0.03/s eta=1786min
[04:33:59]   [820/3864] discard=345 maybe=281 keep=194 err=1 rate=0.03/s eta=1780min
[04:39:48]   [830/3864] discard=347 maybe=286 keep=197 err=1 rate=0.03/s eta=1774min
[04:45:40]   [840/3864] discard=351 maybe=289 keep=200 err=1 rate=0.03/s eta=1768min
[04:51:24]   [850/3864] discard=355 maybe=292 keep=203 err=1 rate=0.03/s eta=1762min
[04:57:11]   [860/3864] discard=359 maybe=297 keep=204 err=1 rate=0.03/s eta=1756min
[05:03:00]   [870/3864] discard=361 maybe=302 keep=207 err=1 rate=0.03/s eta=1750min
[05:08:45]   [880/3864] discard=365 maybe=307 keep=208 err=1 rate=0.03/s eta=1744min
[05:14:33]   [890/3864] discard=367 maybe=315 keep=208 err=1 rate=0.03/s eta=1738min
[05:20:18]   [900/3864] discard=371 maybe=320 keep=209 err=1 rate=0.03/s eta=1732min
[05:26:06]   [910/3864] discard=374 maybe=326 keep=210 err=1 rate=0.03/s eta=1726min
[05:31:57]   [920/3864] discard=378 maybe=332 keep=210 err=1 rate=0.03/s eta=1720min
[05:39:07] [930/3864] MKD59G5Y CLAUDE ERROR: claude-timeout
[05:40:19]   [930/3864] discard=379 maybe=340 keep=211 err=2 rate=0.03/s eta=1722min
[05:46:16]   [940/3864] discard=383 maybe=345 keep=212 err=2 rate=0.03/s eta=1717min
[05:51:04] [947/3864] KP29J7TD CLAUDE ERROR: claude-timeout
[05:54:32]   [950/3864] discard=384 maybe=351 keep=215 err=3 rate=0.03/s eta=1718min
[06:01:19]   [960/3864] discard=389 maybe=354 keep=217 err=3 rate=0.03/s eta=1715min
[06:07:12]   [970/3864] discard=391 maybe=357 keep=222 err=3 rate=0.03/s eta=1709min
[06:12:57]   [980/3864] discard=397 maybe=360 keep=223 err=3 rate=0.03/s eta=1703min
[06:18:46]   [990/3864] discard=402 maybe=363 keep=225 err=3 rate=0.03/s eta=1696min
[06:24:45]   [1000/3864] discard=407 maybe=366 keep=227 err=3 rate=0.03/s eta=1691min
[06:30:36]   [1010/3864] discard=407 maybe=374 keep=229 err=3 rate=0.03/s eta=1685min
[06:36:23]   [1020/3864] discard=409 maybe=378 keep=233 err=3 rate=0.03/s eta=1678min
[06:42:06]   [1030/3864] discard=410 maybe=383 keep=237 err=3 rate=0.03/s eta=1672min
[06:47:59]   [1040/3864] discard=413 maybe=386 keep=241 err=3 rate=0.03/s eta=1666min
